worker_id,terminal_status,missing_reason,affected_stage,assigned_count,submitted_count,missing_count,disposition_basis
W018,closed_partial_insufficient,lost_to_followup_after_C1_before_C2B_completion,C2-B,8,0,8,user_confirmed_mid_stage_withdrawal_20260806
W027,closed_partial_insufficient,lost_to_followup_after_C1_before_C2B_completion,C2-B,8,0,8,user_confirmed_mid_stage_withdrawal_20260806
