image_id,building,condition,Bi_policy,target,n_workers,n_same_topology_pairs,model_disagreement,human_disagreement,training_model_q25,training_model_q75,training_human_q25,training_human_q75,quadrant,reference_error,point_disagreement
7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,7y3sRwLe3Va,manual,enclosed,point_count_disagreement,5,6,0.0460114982532,0.4,0.0219060922169,0.0597170772792,0,0.7,middle,0.165170960042,0.4
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,manual,enclosed,point_count_disagreement,24,276,0.011625543635,0,0.0219060922169,0.0597170772792,0,0.7,both_low_disagreement,0.0137944452385,0
7y3sRwLe3Va_9e4c92fd7eb74504baecf55a3264716e,7y3sRwLe3Va,manual,enclosed,point_count_disagreement,5,6,0.0337250318241,0.4,0.0219060922169,0.0597170772792,0,0.7,middle,0.170542389057,0.4
7y3sRwLe3Va_a775c7668ca9419daaf506e76851821e,7y3sRwLe3Va,manual,enclosed,point_count_disagreement,6,6,0.0796116703441,0.6,0.0219060922169,0.0597170772792,0,0.7,middle,0.271584581168,0.6
7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,7y3sRwLe3Va,manual,enclosed,point_count_disagreement,6,6,0.0178013899313,0.6,0.0219060922169,0.0597170772792,0,0.7,middle,0.181316303182,0.6
7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,7y3sRwLe3Va,manual,enclosed,point_count_disagreement,5,3,0.124422366927,0.7,0.0219060922169,0.0597170772792,0,0.7,both_high_disagreement,0.0790185295057,0.7
7y3sRwLe3Va_b564162b2c7d4033bfe6ef3dfb959c9e,7y3sRwLe3Va,manual,enclosed,point_count_disagreement,5,6,0.043913184207,0.4,0.0219060922169,0.0597170772792,0,0.7,middle,0.14958282604,0.4
7y3sRwLe3Va_bbcc19afdad742eba89290ad2b5dbf6b,7y3sRwLe3Va,manual,enclosed,point_count_disagreement,5,10,0.022127936111,0,0.0219060922169,0.0597170772792,0,0.7,middle,0.0668537514732,0
7y3sRwLe3Va_fdab6422162e49db822a37178ab70481,7y3sRwLe3Va,manual,enclosed,point_count_disagreement,5,6,0.0168511457585,0.4,0.0219060922169,0.0597170772792,0,0.7,middle,0.0668997523701,0.4
B6ByNegPMKs_4b983544c13946e3a3a518c565ad1086,B6ByNegPMKs,manual,enclosed,point_count_disagreement,24,253,0.0820424879085,0.0833333333333,0.0215687972222,0.0586773190841,0,0.7,middle,0.120791586108,0.0833333333333
B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9,B6ByNegPMKs,manual,enclosed,point_count_disagreement,5,6,0.0551795368183,0.4,0.0215687972222,0.0586773190841,0,0.7,middle,0.266063052253,0.4
B6ByNegPMKs_7018ca302c584d0d85024187f3568460,B6ByNegPMKs,manual,enclosed,point_count_disagreement,5,10,0.0172904217549,0,0.0215687972222,0.0586773190841,0,0.7,both_low_disagreement,0.0404898119122,0
B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993,B6ByNegPMKs,manual,enclosed,point_count_disagreement,24,231,0.0221756599552,0.0869565217391,0.0215687972222,0.0586773190841,0,0.7,middle,0.200336528656,0.0869565217391
B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,B6ByNegPMKs,manual,enclosed,point_count_disagreement,6,10,0.0274932278879,0.333333333333,0.0215687972222,0.0586773190841,0,0.7,middle,0.238625419501,0.333333333333
B6ByNegPMKs_cee80ced97274e248d4ccaa582e12624,B6ByNegPMKs,manual,enclosed,point_count_disagreement,24,232,0.0718811149226,0.159420289855,0.0215687972222,0.0586773190841,0,0.7,middle,0.314744058749,0.159420289855
