resolved_payload_class,reference_status,all_rows,main_rows,quality_pairs,planned_trace_conflicts,zero_initial_reference_error,median_initial_error,mean_net_reference_change,median_edit,actual_view_event_verified,bound_checkpoint
C1_reference_source_payload_checkpoint_unbound,adjudicated_reference,4,4,4,4,0,0.0341807424138,-0.0889818899213,0.0855626388287,0,0
C1_reference_source_payload_checkpoint_unbound,public_dataset_reference_not_quality_assumed,102,102,100,102,100,0,-0.0565400293676,0.0285787972999,0,0
control_natural,adjudicated_reference,156,144,144,0,0,0.0233909551001,-0.0116896494032,0.00787857302729,0,0
trap_natural,adjudicated_reference,156,144,140,0,0,0.0964193168433,0.019587481888,0.0762393693881,0,0
trap_synthetic_disjoint_source,public_dataset_reference_not_quality_assumed,156,144,144,0,0,0.0289148969587,-0.0211039084871,0.0214006991773,0,0
