omitted_worker,rho,kind
1,0.45963665471925463,sensitivity_not_CI
10,0.48847248962001344,sensitivity_not_CI
11,0.474611628071126,sensitivity_not_CI
12,0.4723178684767475,sensitivity_not_CI
13,0.48571997810675915,sensitivity_not_CI
14,0.4911758491419596,sensitivity_not_CI
15,0.5003836555136791,sensitivity_not_CI
17,0.48760413777357015,sensitivity_not_CI
18,0.4837702824515374,sensitivity_not_CI
19,0.49250295290727863,sensitivity_not_CI
2,0.4922899609449435,sensitivity_not_CI
21,0.4952882324147383,sensitivity_not_CI
26,0.4849171622487267,sensitivity_not_CI
27,0.46655070149659567,sensitivity_not_CI
28,0.48668663393581874,sensitivity_not_CI
29,0.486227882016943,sensitivity_not_CI
30,0.4993678476933115,sensitivity_not_CI
31,0.49718877607865186,sensitivity_not_CI
32,0.4930436248116678,sensitivity_not_CI
33,0.487718825753289,sensitivity_not_CI
34,0.4653055177167902,sensitivity_not_CI
35,0.494583720539322,sensitivity_not_CI
36,0.48667024993871605,sensitivity_not_CI
37,0.4880301216982404,sensitivity_not_CI
6,0.49327300077110575,sensitivity_not_CI
8,0.49389559266100846,sensitivity_not_CI
