worker_id,location,missing,extra,quality,rows,buildings,cohort,experiment,scope,metric,model,label,status,edit,time
1,1.2341078592903114,-0.06158601119418447,0.01464389289271689,-0.3020759476004842,62,17,all26,rule,all_reference,ospa30,quality2,0,singleton_rejected,,
10,-0.5452045763719531,0.011821743414251192,-0.027498114533199874,-0.15320094846222634,63,17,all26,rule,all_reference,ospa30,quality2,0,singleton_rejected,,
11,-0.8381487789263692,-0.010095962574267607,-0.002191995892810495,-0.9021363733958931,64,17,all26,rule,all_reference,ospa30,quality2,0,singleton_rejected,,
12,1.7093945445440564,-0.030795902458143145,-0.011336356369915751,0.28589343184388133,59,16,all26,rule,all_reference,ospa30,quality2,0,singleton_rejected,,
13,-0.33386201080547406,0.014679928403626408,-0.015875500828404873,0.090917468293548,61,17,all26,rule,all_reference,ospa30,quality2,0,singleton_rejected,,
14,-0.5766689458080659,0.02836468274701316,-0.023903430187883025,0.28168210700345114,53,12,all26,rule,all_reference,ospa30,quality2,0,singleton_rejected,,
15,-1.330400602926593,-0.02140341998103647,-0.006745161851932698,-1.3630300161675983,63,18,all26,rule,all_reference,ospa30,quality2,0,singleton_rejected,,
17,-0.4523898628619859,-0.0496544608279371,0.003357011078206554,-1.391739313095365,63,19,all26,rule,all_reference,ospa30,quality2,0,singleton_rejected,,
18,-2.149789686088714,-0.010459154722432494,-0.008425835326373579,-2.0105095846560763,53,12,all26,rule,all_reference,ospa30,quality2,0,singleton_rejected,,
19,12.39531649598726,0.10960037640686436,0.0830290796772578,9.896920107046698,27,11,all26,rule,all_reference,ospa30,quality2,0,singleton_rejected,,
2,-2.9192295589329813,-0.07343375102331703,0.0065941597060382995,-4.050542706384012,58,15,all26,rule,all_reference,ospa30,quality2,0,singleton_rejected,,
21,-0.9601863244800758,-0.02798041990929226,-0.012321704536925921,-1.3860511389208405,28,11,all26,rule,all_reference,ospa30,quality2,0,singleton_rejected,,
27,-2.7479488765335085,-0.046751106087441874,0.029412011948009836,-2.819892706107857,53,12,all26,rule,all_reference,ospa30,quality2,0,singleton_rejected,,
28,-0.7752648280378178,-0.012595248995365243,0.015352657490027942,-0.35964199158516424,60,16,all26,rule,all_reference,ospa30,quality2,0,singleton_rejected,,
29,-0.6088646398390373,0.05430757042513236,-0.026190580830289988,0.8327502329432648,60,16,all26,rule,all_reference,ospa30,quality2,0,singleton_rejected,,
30,-0.3735660912264379,0.020868351285933423,0.010304376978647872,0.6475871756753238,63,16,all26,rule,all_reference,ospa30,quality2,0,singleton_rejected,,
31,-0.3235849423836147,0.016747231589002015,-0.017193033744925947,-0.11718932663410961,68,19,all26,rule,all_reference,ospa30,quality2,0,singleton_rejected,,
32,-0.6762994496353995,0.007916715036917049,0.020584505223589847,0.23644013688962875,65,17,all26,rule,all_reference,ospa30,quality2,0,singleton_rejected,,
33,0.3245651222793539,-0.03048655302079297,-0.018357977779262277,-0.7798935134572407,65,17,all26,rule,all_reference,ospa30,quality2,0,singleton_rejected,,
34,0.06999123099325091,0.059020671871478386,-0.017700643843466635,1.5192981060961064,79,19,all26,rule,all_reference,ospa30,quality2,0,singleton_rejected,,
35,0.9747177731909639,0.01271879225842639,-0.0004248793821234356,0.6133774660079958,61,18,all26,rule,all_reference,ospa30,quality2,0,singleton_rejected,,
36,-0.3974877181161391,0.01577275611613476,-0.012320251123995209,0.1234945585092542,64,18,all26,rule,all_reference,ospa30,quality2,0,singleton_rejected,,
37,0.44079539265579326,0.033180955483766046,0.04126330584910381,2.1262953256808856,63,17,all26,rule,all_reference,ospa30,quality2,0,singleton_rejected,,
6,0.14512624883144265,-0.02835736057329687,0.006682641510815885,-0.4379591263661038,63,17,all26,rule,all_reference,ospa30,quality2,0,singleton_rejected,,
8,-1.2851177747982656,0.018599576328961958,-0.030738176122905032,-0.5807934231570683,61,17,all26,rule,all_reference,ospa30,quality2,0,singleton_rejected,,
