cohort,model,rows,workers,buildings,group_gain,manual_continuous_gain
all26,edit_quality2,1133,20,21,-0.03753073967288456,0.1802586887109462
all26,quality2,1133,20,21,-0.011726002351508225,0.1802586887109462
all26,time_quality2,1133,20,21,-0.03383547450382429,0.1802586887109462
all26,triad2,1133,20,21,-0.042408630503521394,0.1802586887109462
all26,triad3,1133,20,21,-0.03651599499988478,0.1802586887109462
current20,edit_quality2,972,16,21,0.0033839416926368937,0.07629435197269674
current20,quality2,972,16,21,-0.0028355371584913858,0.07629435197269674
current20,time_quality2,972,16,21,0.024325897019399245,0.07629435197269674
current20,triad2,972,16,21,0.0033839416926368937,0.07629435197269674
current20,triad3,972,16,21,0.03475299660245523,0.07629435197269674
