cohort,experiment,scope,metric,model,repeat,left_buildings,right_buildings,status,workers,ari,edit_rho,time_rho,quality_rho,location_rho,missing_rho,extra_rho
all26,rule,all_reference,ospa30,quality2,0,7y3sRwLe3Va|S9hNv5qa7GM|VFuaQ6m2Qom|Z6MFQCViBuw|b8cTxDM8gDG|e9zR4mvMWw7|jtcxE69GiFV|rPc6DW4iMge|uNb9QFRL6hY|x8F5xyUWy9e|zsNo4HB9uLZ,2t7WUuJeko7|B6ByNegPMKs|UwV83HsGsw3|VLzqgDo317F|X7HyMhZNoso|jh4fc5c5qoQ|pRbA3pwrgk9|pa4otMbVnkk|q9vSo1VnCiC|wc2JMjhGNzB|yqstnuAEVhm,unavailable_classification,25,,,,,,,
all26,rule,all_reference,ospa30,rule_vector2,0,7y3sRwLe3Va|S9hNv5qa7GM|VFuaQ6m2Qom|Z6MFQCViBuw|b8cTxDM8gDG|e9zR4mvMWw7|jtcxE69GiFV|rPc6DW4iMge|uNb9QFRL6hY|x8F5xyUWy9e|zsNo4HB9uLZ,2t7WUuJeko7|B6ByNegPMKs|UwV83HsGsw3|VLzqgDo317F|X7HyMhZNoso|jh4fc5c5qoQ|pRbA3pwrgk9|pa4otMbVnkk|q9vSo1VnCiC|wc2JMjhGNzB|yqstnuAEVhm,unavailable_classification,25,,,,,,,
all26,rule,all_reference,ospa30,rule_vector3,0,7y3sRwLe3Va|S9hNv5qa7GM|VFuaQ6m2Qom|Z6MFQCViBuw|b8cTxDM8gDG|e9zR4mvMWw7|jtcxE69GiFV|rPc6DW4iMge|uNb9QFRL6hY|x8F5xyUWy9e|zsNo4HB9uLZ,2t7WUuJeko7|B6ByNegPMKs|UwV83HsGsw3|VLzqgDo317F|X7HyMhZNoso|jh4fc5c5qoQ|pRbA3pwrgk9|pa4otMbVnkk|q9vSo1VnCiC|wc2JMjhGNzB|yqstnuAEVhm,unavailable_classification,25,,,,,,,
all26,rule,all_reference,ospa30,quality2,1,2t7WUuJeko7|S9hNv5qa7GM|UwV83HsGsw3|Z6MFQCViBuw|b8cTxDM8gDG|e9zR4mvMWw7|pa4otMbVnkk|rPc6DW4iMge|uNb9QFRL6hY|x8F5xyUWy9e|zsNo4HB9uLZ,7y3sRwLe3Va|B6ByNegPMKs|VFuaQ6m2Qom|VLzqgDo317F|X7HyMhZNoso|jh4fc5c5qoQ|jtcxE69GiFV|pRbA3pwrgk9|q9vSo1VnCiC|wc2JMjhGNzB|yqstnuAEVhm,unavailable_classification,25,,,,,,,
all26,rule,all_reference,ospa30,rule_vector2,1,2t7WUuJeko7|S9hNv5qa7GM|UwV83HsGsw3|Z6MFQCViBuw|b8cTxDM8gDG|e9zR4mvMWw7|pa4otMbVnkk|rPc6DW4iMge|uNb9QFRL6hY|x8F5xyUWy9e|zsNo4HB9uLZ,7y3sRwLe3Va|B6ByNegPMKs|VFuaQ6m2Qom|VLzqgDo317F|X7HyMhZNoso|jh4fc5c5qoQ|jtcxE69GiFV|pRbA3pwrgk9|q9vSo1VnCiC|wc2JMjhGNzB|yqstnuAEVhm,unavailable_classification,25,,,,,,,
all26,rule,all_reference,ospa30,rule_vector3,1,2t7WUuJeko7|S9hNv5qa7GM|UwV83HsGsw3|Z6MFQCViBuw|b8cTxDM8gDG|e9zR4mvMWw7|pa4otMbVnkk|rPc6DW4iMge|uNb9QFRL6hY|x8F5xyUWy9e|zsNo4HB9uLZ,7y3sRwLe3Va|B6ByNegPMKs|VFuaQ6m2Qom|VLzqgDo317F|X7HyMhZNoso|jh4fc5c5qoQ|jtcxE69GiFV|pRbA3pwrgk9|q9vSo1VnCiC|wc2JMjhGNzB|yqstnuAEVhm,unavailable_classification,25,,,,,,,
all26,rule,all_reference,ospa30,quality2,2,2t7WUuJeko7|UwV83HsGsw3|VFuaQ6m2Qom|VLzqgDo317F|Z6MFQCViBuw|jh4fc5c5qoQ|pRbA3pwrgk9|pa4otMbVnkk|q9vSo1VnCiC|uNb9QFRL6hY|x8F5xyUWy9e,7y3sRwLe3Va|B6ByNegPMKs|S9hNv5qa7GM|X7HyMhZNoso|b8cTxDM8gDG|e9zR4mvMWw7|jtcxE69GiFV|rPc6DW4iMge|wc2JMjhGNzB|yqstnuAEVhm|zsNo4HB9uLZ,unavailable_classification,25,,,,,,,
all26,rule,all_reference,ospa30,rule_vector2,2,2t7WUuJeko7|UwV83HsGsw3|VFuaQ6m2Qom|VLzqgDo317F|Z6MFQCViBuw|jh4fc5c5qoQ|pRbA3pwrgk9|pa4otMbVnkk|q9vSo1VnCiC|uNb9QFRL6hY|x8F5xyUWy9e,7y3sRwLe3Va|B6ByNegPMKs|S9hNv5qa7GM|X7HyMhZNoso|b8cTxDM8gDG|e9zR4mvMWw7|jtcxE69GiFV|rPc6DW4iMge|wc2JMjhGNzB|yqstnuAEVhm|zsNo4HB9uLZ,unavailable_classification,25,,,,,,,
all26,rule,all_reference,ospa30,rule_vector3,2,2t7WUuJeko7|UwV83HsGsw3|VFuaQ6m2Qom|VLzqgDo317F|Z6MFQCViBuw|jh4fc5c5qoQ|pRbA3pwrgk9|pa4otMbVnkk|q9vSo1VnCiC|uNb9QFRL6hY|x8F5xyUWy9e,7y3sRwLe3Va|B6ByNegPMKs|S9hNv5qa7GM|X7HyMhZNoso|b8cTxDM8gDG|e9zR4mvMWw7|jtcxE69GiFV|rPc6DW4iMge|wc2JMjhGNzB|yqstnuAEVhm|zsNo4HB9uLZ,unavailable_classification,25,,,,,,,
all26,rule,all_reference,ospa30,quality2,3,2t7WUuJeko7|7y3sRwLe3Va|B6ByNegPMKs|S9hNv5qa7GM|Z6MFQCViBuw|jh4fc5c5qoQ|jtcxE69GiFV|pRbA3pwrgk9|rPc6DW4iMge|x8F5xyUWy9e|zsNo4HB9uLZ,UwV83HsGsw3|VFuaQ6m2Qom|VLzqgDo317F|X7HyMhZNoso|b8cTxDM8gDG|e9zR4mvMWw7|pa4otMbVnkk|q9vSo1VnCiC|uNb9QFRL6hY|wc2JMjhGNzB|yqstnuAEVhm,unavailable_classification,25,,,,,,,
