worker_id,source_group,rows,unchanged,improved,worsened,median_edit,median_seconds,median_final_deviation
11,control_natural,6,5,0,1,0.0,49.0,1.1558714625546007
11,recovered_c1_import,4,4,0,0,0.0,108.5,0.0
11,trap_natural,6,6,0,0,0.0,62.5,12.475704668926952
11,trap_synthetic_disjoint_source,5,5,0,0,0.0,30.0,7.481208792140582
6,control_natural,6,6,0,0,0.0,42.0,1.1249645933595174
6,recovered_c1_import,4,3,0,1,0.0,20.0,0.0
6,trap_natural,6,4,2,0,0.0,62.5,8.587675203644665
6,trap_synthetic_disjoint_source,5,4,1,0,0.0,36.0,6.977766390790326
