stage,analysis_cohort,epsilon,metric,numerator,denominator,missing,metric_value,threshold_grid_status,diagnostic_pre_stage3,development_only,scientific_conclusion_prohibited,formal_profile_frozen,reviewer_policy_frozen,main_launch_authorized
P1,all26_sensitivity,0.0,unmodified_trap_submission,47,312,0,0.15064102564102563,fixed_full_grid_no_posthoc_selection,true,true,true,false,false,false
P1,all26_sensitivity,0.0,strict_blind_trust,18,312,0,0.057692307692307696,fixed_full_grid_no_posthoc_selection,true,true,true,false,false,false
P1,all26_sensitivity,0.0,issue_reported_without_quality_improvement,114,312,0,0.36538461538461536,fixed_full_grid_no_posthoc_selection,true,true,true,false,false,false
P1,all26_sensitivity,0.0,quality_improving_correction,133,312,0,0.42628205128205127,fixed_full_grid_no_posthoc_selection,true,true,true,false,false,false
P1,all26_sensitivity,0.0,harmful_correction,198,468,0,0.4230769230769231,fixed_full_grid_no_posthoc_selection,true,true,true,false,false,false
P1,all26_sensitivity,0.0,control_false_alarm,35,156,0,0.22435897435897437,fixed_full_grid_no_posthoc_selection,true,true,true,false,false,false
P1,all26_sensitivity,0.0,control_overcorrection,67,156,0,0.42948717948717946,fixed_full_grid_no_posthoc_selection,true,true,true,false,false,false
P1,all26_sensitivity,0.0,non_harmful_control_handling,89,156,0,0.5705128205128205,fixed_full_grid_no_posthoc_selection,true,true,true,false,false,false
P1,all26_sensitivity,0.01,unmodified_trap_submission,47,312,0,0.15064102564102563,fixed_full_grid_no_posthoc_selection,true,true,true,false,false,false
P1,all26_sensitivity,0.01,strict_blind_trust,18,312,0,0.057692307692307696,fixed_full_grid_no_posthoc_selection,true,true,true,false,false,false
P1,all26_sensitivity,0.01,issue_reported_without_quality_improvement,158,312,0,0.5064102564102564,fixed_full_grid_no_posthoc_selection,true,true,true,false,false,false
P1,all26_sensitivity,0.01,quality_improving_correction,84,312,0,0.2692307692307692,fixed_full_grid_no_posthoc_selection,true,true,true,false,false,false
P1,all26_sensitivity,0.01,harmful_correction,123,468,0,0.26282051282051283,fixed_full_grid_no_posthoc_selection,true,true,true,false,false,false
