worker_id,profile_status,final_pooled_profile_status,final_profile_producer,final_profile_producer_sha256,historical_post_c2b_profile_source,historical_post_c2b_profile_sha256,historical_profile_is_final_pooled,post_block2_profile_substitution_allowed,observed_submission_count,observed_stage_counts,owner_valid_block2_active_time_count,profile_exclusion_reason,profile_exclusion_source_artifact,profile_exclusion_source_sha256,profile_exclusion_stage,profile_exclusion_time_or_version
1,source_absent,source_absent,tools/thesis_main/analysis/materialize_final_pooled_profile_freeze.py,ff12279441023a3a44cc7a3a719fd30cc50fc279f03e16819d4f8929db4c2a69,analysis_results/c2b_closeout_20260806_final/post_c2b_worker_profile.csv,6da53747227c291e3307f8a813a74d62d59220c60c4deb993b20836d7b9d1903,false,false,105,"{""C1"":36,""C2-B"":8,""C2A-RP-B1"":2,""C2A-RP-B2"":2,""P1"":57}",2,post_block2_final_pooled_profile_source_absent,tools/thesis_main/analysis/materialize_final_pooled_profile_freeze.py,ff12279441023a3a44cc7a3a719fd30cc50fc279f03e16819d4f8929db4c2a69,post-Block2,2026-08-17_v2
10,source_absent,source_absent,tools/thesis_main/analysis/materialize_final_pooled_profile_freeze.py,ff12279441023a3a44cc7a3a719fd30cc50fc279f03e16819d4f8929db4c2a69,analysis_results/c2b_closeout_20260806_final/post_c2b_worker_profile.csv,6da53747227c291e3307f8a813a74d62d59220c60c4deb993b20836d7b9d1903,false,false,102,"{""C1"":33,""C2-B"":8,""C2A-RP-B1"":2,""C2A-RP-B2"":2,""P1"":57}",2,post_block2_final_pooled_profile_source_absent,tools/thesis_main/analysis/materialize_final_pooled_profile_freeze.py,ff12279441023a3a44cc7a3a719fd30cc50fc279f03e16819d4f8929db4c2a69,post-Block2,2026-08-17_v2
11,source_absent,source_absent,tools/thesis_main/analysis/materialize_final_pooled_profile_freeze.py,ff12279441023a3a44cc7a3a719fd30cc50fc279f03e16819d4f8929db4c2a69,analysis_results/c2b_closeout_20260806_final/post_c2b_worker_profile.csv,6da53747227c291e3307f8a813a74d62d59220c60c4deb993b20836d7b9d1903,false,false,102,"{""C1"":33,""C2-B"":8,""C2A-RP-B1"":2,""C2A-RP-B2"":2,""P1"":57}",2,post_block2_final_pooled_profile_source_absent,tools/thesis_main/analysis/materialize_final_pooled_profile_freeze.py,ff12279441023a3a44cc7a3a719fd30cc50fc279f03e16819d4f8929db4c2a69,post-Block2,2026-08-17_v2
12,source_absent,source_absent,tools/thesis_main/analysis/materialize_final_pooled_profile_freeze.py,ff12279441023a3a44cc7a3a719fd30cc50fc279f03e16819d4f8929db4c2a69,analysis_results/c2b_closeout_20260806_final/post_c2b_worker_profile.csv,6da53747227c291e3307f8a813a74d62d59220c60c4deb993b20836d7b9d1903,false,false,101,"{""C1"":32,""C2-B"":8,""C2A-RP-B1"":2,""C2A-RP-B2"":2,""P1"":57}",2,post_block2_final_pooled_profile_source_absent,tools/thesis_main/analysis/materialize_final_pooled_profile_freeze.py,ff12279441023a3a44cc7a3a719fd30cc50fc279f03e16819d4f8929db4c2a69,post-Block2,2026-08-17_v2
13,source_absent,source_absent,tools/thesis_main/analysis/materialize_final_pooled_profile_freeze.py,ff12279441023a3a44cc7a3a719fd30cc50fc279f03e16819d4f8929db4c2a69,analysis_results/c2b_closeout_20260806_final/post_c2b_worker_profile.csv,6da53747227c291e3307f8a813a74d62d59220c60c4deb993b20836d7b9d1903,false,false,102,"{""C1"":33,""C2-B"":8,""C2A-RP-B1"":2,""C2A-RP-B2"":2,""P1"":57}",2,post_block2_final_pooled_profile_source_absent,tools/thesis_main/analysis/materialize_final_pooled_profile_freeze.py,ff12279441023a3a44cc7a3a719fd30cc50fc279f03e16819d4f8929db4c2a69,post-Block2,2026-08-17_v2
14,source_absent,source_absent,tools/thesis_main/analysis/materialize_final_pooled_profile_freeze.py,ff12279441023a3a44cc7a3a719fd30cc50fc279f03e16819d4f8929db4c2a69,analysis_results/c2b_closeout_20260806_final/post_c2b_worker_profile.csv,6da53747227c291e3307f8a813a74d62d59220c60c4deb993b20836d7b9d1903,false,false,89,"{""C1"":32,""P1"":57}",0,post_block2_final_pooled_profile_source_absent,tools/thesis_main/analysis/materialize_final_pooled_profile_freeze.py,ff12279441023a3a44cc7a3a719fd30cc50fc279f03e16819d4f8929db4c2a69,post-Block2,2026-08-17_v2
15,source_absent,source_absent,tools/thesis_main/analysis/materialize_final_pooled_profile_freeze.py,ff12279441023a3a44cc7a3a719fd30cc50fc279f03e16819d4f8929db4c2a69,analysis_results/c2b_closeout_20260806_final/post_c2b_worker_profile.csv,6da53747227c291e3307f8a813a74d62d59220c60c4deb993b20836d7b9d1903,false,false,102,"{""C1"":33,""C2-B"":8,""C2A-RP-B1"":2,""C2A-RP-B2"":2,""P1"":57}",2,post_block2_final_pooled_profile_source_absent,tools/thesis_main/analysis/materialize_final_pooled_profile_freeze.py,ff12279441023a3a44cc7a3a719fd30cc50fc279f03e16819d4f8929db4c2a69,post-Block2,2026-08-17_v2
17,source_absent,source_absent,tools/thesis_main/analysis/materialize_final_pooled_profile_freeze.py,ff12279441023a3a44cc7a3a719fd30cc50fc279f03e16819d4f8929db4c2a69,analysis_results/c2b_closeout_20260806_final/post_c2b_worker_profile.csv,6da53747227c291e3307f8a813a74d62d59220c60c4deb993b20836d7b9d1903,false,false,101,"{""C1"":32,""C2-B"":8,""C2A-RP-B1"":2,""C2A-RP-B2"":2,""P1"":57}",2,post_block2_final_pooled_profile_source_absent,tools/thesis_main/analysis/materialize_final_pooled_profile_freeze.py,ff12279441023a3a44cc7a3a719fd30cc50fc279f03e16819d4f8929db4c2a69,post-Block2,2026-08-17_v2
18,source_absent,source_absent,tools/thesis_main/analysis/materialize_final_pooled_profile_freeze.py,ff12279441023a3a44cc7a3a719fd30cc50fc279f03e16819d4f8929db4c2a69,analysis_results/c2b_closeout_20260806_final/post_c2b_worker_profile.csv,6da53747227c291e3307f8a813a74d62d59220c60c4deb993b20836d7b9d1903,false,false,89,"{""C1"":32,""P1"":57}",0,post_block2_final_pooled_profile_source_absent,tools/thesis_main/analysis/materialize_final_pooled_profile_freeze.py,ff12279441023a3a44cc7a3a719fd30cc50fc279f03e16819d4f8929db4c2a69,post-Block2,2026-08-17_v2
19,source_absent,source_absent,tools/thesis_main/analysis/materialize_final_pooled_profile_freeze.py,ff12279441023a3a44cc7a3a719fd30cc50fc279f03e16819d4f8929db4c2a69,analysis_results/c2b_closeout_20260806_final/post_c2b_worker_profile.csv,6da53747227c291e3307f8a813a74d62d59220c60c4deb993b20836d7b9d1903,false,false,57,"{""P1"":57}",0,post_block2_final_pooled_profile_source_absent,tools/thesis_main/analysis/materialize_final_pooled_profile_freeze.py,ff12279441023a3a44cc7a3a719fd30cc50fc279f03e16819d4f8929db4c2a69,post-Block2,2026-08-17_v2
2,source_absent,source_absent,tools/thesis_main/analysis/materialize_final_pooled_profile_freeze.py,ff12279441023a3a44cc7a3a719fd30cc50fc279f03e16819d4f8929db4c2a69,analysis_results/c2b_closeout_20260806_final/post_c2b_worker_profile.csv,6da53747227c291e3307f8a813a74d62d59220c60c4deb993b20836d7b9d1903,false,false,102,"{""C1"":33,""C2-B"":8,""C2A-RP-B1"":2,""C2A-RP-B2"":2,""P1"":57}",2,post_block2_final_pooled_profile_source_absent,tools/thesis_main/analysis/materialize_final_pooled_profile_freeze.py,ff12279441023a3a44cc7a3a719fd30cc50fc279f03e16819d4f8929db4c2a69,post-Block2,2026-08-17_v2
21,source_absent,source_absent,tools/thesis_main/analysis/materialize_final_pooled_profile_freeze.py,ff12279441023a3a44cc7a3a719fd30cc50fc279f03e16819d4f8929db4c2a69,analysis_results/c2b_closeout_20260806_final/post_c2b_worker_profile.csv,6da53747227c291e3307f8a813a74d62d59220c60c4deb993b20836d7b9d1903,false,false,57,"{""P1"":57}",0,post_block2_final_pooled_profile_source_absent,tools/thesis_main/analysis/materialize_final_pooled_profile_freeze.py,ff12279441023a3a44cc7a3a719fd30cc50fc279f03e16819d4f8929db4c2a69,post-Block2,2026-08-17_v2
26,source_absent,source_absent,tools/thesis_main/analysis/materialize_final_pooled_profile_freeze.py,ff12279441023a3a44cc7a3a719fd30cc50fc279f03e16819d4f8929db4c2a69,analysis_results/c2b_closeout_20260806_final/post_c2b_worker_profile.csv,6da53747227c291e3307f8a813a74d62d59220c60c4deb993b20836d7b9d1903,false,false,56,"{""P1"":56}",0,post_block2_final_pooled_profile_source_absent,tools/thesis_main/analysis/materialize_final_pooled_profile_freeze.py,ff12279441023a3a44cc7a3a719fd30cc50fc279f03e16819d4f8929db4c2a69,post-Block2,2026-08-17_v2
27,source_absent,source_absent,tools/thesis_main/analysis/materialize_final_pooled_profile_freeze.py,ff12279441023a3a44cc7a3a719fd30cc50fc279f03e16819d4f8929db4c2a69,analysis_results/c2b_closeout_20260806_final/post_c2b_worker_profile.csv,6da53747227c291e3307f8a813a74d62d59220c60c4deb993b20836d7b9d1903,false,false,90,"{""C1"":33,""P1"":57}",0,post_block2_final_pooled_profile_source_absent,tools/thesis_main/analysis/materialize_final_pooled_profile_freeze.py,ff12279441023a3a44cc7a3a719fd30cc50fc279f03e16819d4f8929db4c2a69,post-Block2,2026-08-17_v2
28,source_absent,source_absent,tools/thesis_main/analysis/materialize_final_pooled_profile_freeze.py,ff12279441023a3a44cc7a3a719fd30cc50fc279f03e16819d4f8929db4c2a69,analysis_results/c2b_closeout_20260806_final/post_c2b_worker_profile.csv,6da53747227c291e3307f8a813a74d62d59220c60c4deb993b20836d7b9d1903,false,false,102,"{""C1"":33,""C2-B"":8,""C2A-RP-B1"":2,""C2A-RP-B2"":2,""P1"":57}",2,post_block2_final_pooled_profile_source_absent,tools/thesis_main/analysis/materialize_final_pooled_profile_freeze.py,ff12279441023a3a44cc7a3a719fd30cc50fc279f03e16819d4f8929db4c2a69,post-Block2,2026-08-17_v2
29,source_absent,source_absent,tools/thesis_main/analysis/materialize_final_pooled_profile_freeze.py,ff12279441023a3a44cc7a3a719fd30cc50fc279f03e16819d4f8929db4c2a69,analysis_results/c2b_closeout_20260806_final/post_c2b_worker_profile.csv,6da53747227c291e3307f8a813a74d62d59220c60c4deb993b20836d7b9d1903,false,false,102,"{""C1"":33,""C2-B"":8,""C2A-RP-B1"":2,""C2A-RP-B2"":2,""P1"":57}",2,post_block2_final_pooled_profile_source_absent,tools/thesis_main/analysis/materialize_final_pooled_profile_freeze.py,ff12279441023a3a44cc7a3a719fd30cc50fc279f03e16819d4f8929db4c2a69,post-Block2,2026-08-17_v2
30,source_absent,source_absent,tools/thesis_main/analysis/materialize_final_pooled_profile_freeze.py,ff12279441023a3a44cc7a3a719fd30cc50fc279f03e16819d4f8929db4c2a69,analysis_results/c2b_closeout_20260806_final/post_c2b_worker_profile.csv,6da53747227c291e3307f8a813a74d62d59220c60c4deb993b20836d7b9d1903,false,false,102,"{""C1"":33,""C2-B"":8,""C2A-RP-B1"":2,""C2A-RP-B2"":2,""P1"":57}",2,post_block2_final_pooled_profile_source_absent,tools/thesis_main/analysis/materialize_final_pooled_profile_freeze.py,ff12279441023a3a44cc7a3a719fd30cc50fc279f03e16819d4f8929db4c2a69,post-Block2,2026-08-17_v2
31,source_absent,source_absent,tools/thesis_main/analysis/materialize_final_pooled_profile_freeze.py,ff12279441023a3a44cc7a3a719fd30cc50fc279f03e16819d4f8929db4c2a69,analysis_results/c2b_closeout_20260806_final/post_c2b_worker_profile.csv,6da53747227c291e3307f8a813a74d62d59220c60c4deb993b20836d7b9d1903,false,false,108,"{""C1"":39,""C2-B"":8,""C2A-RP-B1"":2,""C2A-RP-B2"":2,""P1"":57}",2,post_block2_final_pooled_profile_source_absent,tools/thesis_main/analysis/materialize_final_pooled_profile_freeze.py,ff12279441023a3a44cc7a3a719fd30cc50fc279f03e16819d4f8929db4c2a69,post-Block2,2026-08-17_v2
32,source_absent,source_absent,tools/thesis_main/analysis/materialize_final_pooled_profile_freeze.py,ff12279441023a3a44cc7a3a719fd30cc50fc279f03e16819d4f8929db4c2a69,analysis_results/c2b_closeout_20260806_final/post_c2b_worker_profile.csv,6da53747227c291e3307f8a813a74d62d59220c60c4deb993b20836d7b9d1903,false,false,103,"{""C1"":34,""C2-B"":8,""C2A-RP-B1"":2,""C2A-RP-B2"":2,""P1"":57}",2,post_block2_final_pooled_profile_source_absent,tools/thesis_main/analysis/materialize_final_pooled_profile_freeze.py,ff12279441023a3a44cc7a3a719fd30cc50fc279f03e16819d4f8929db4c2a69,post-Block2,2026-08-17_v2
