classification_variant,evaluation_building,evaluation_building_excluded_from_training,worker_id,worker_effect_centered,probability_effect_positive_building_bootstrap,evidence_stratum,quality_task_support,quality_building_support,training_row_count,training_task_count,training_building_count,bootstrap_replicates,bootstrap_attempts,bootstrap_cluster,worker_task_graph_connected,class_counts
augmented_authorized,7y3sRwLe3Va,True,1,0.04191521123942943,0.981,H_higher_manual_quality_evidence,13,9,276,61,12,1000,1002,building_then_task_conditioned_on_two_outer_clusters_complete_worker_support_and_connected_graph,True,"{'H_higher_manual_quality_evidence': 2, 'U_unclassified': 16, 'L_lower_manual_quality_evidence': 2}"
augmented_authorized,7y3sRwLe3Va,True,2,0.0256083690556117,0.761,U_unclassified,12,7,276,61,12,1000,1002,building_then_task_conditioned_on_two_outer_clusters_complete_worker_support_and_connected_graph,True,"{'H_higher_manual_quality_evidence': 2, 'U_unclassified': 16, 'L_lower_manual_quality_evidence': 2}"
augmented_authorized,7y3sRwLe3Va,True,6,0.010862904018333674,0.655,U_unclassified,13,9,276,61,12,1000,1002,building_then_task_conditioned_on_two_outer_clusters_complete_worker_support_and_connected_graph,True,"{'H_higher_manual_quality_evidence': 2, 'U_unclassified': 16, 'L_lower_manual_quality_evidence': 2}"
augmented_authorized,7y3sRwLe3Va,True,8,0.03526334962809097,0.85,H_higher_manual_quality_evidence,12,9,276,61,12,1000,1002,building_then_task_conditioned_on_two_outer_clusters_complete_worker_support_and_connected_graph,True,"{'H_higher_manual_quality_evidence': 2, 'U_unclassified': 16, 'L_lower_manual_quality_evidence': 2}"
augmented_authorized,7y3sRwLe3Va,True,10,0.01577839515245638,0.778,U_unclassified,12,9,276,61,12,1000,1002,building_then_task_conditioned_on_two_outer_clusters_complete_worker_support_and_connected_graph,True,"{'H_higher_manual_quality_evidence': 2, 'U_unclassified': 16, 'L_lower_manual_quality_evidence': 2}"
augmented_authorized,7y3sRwLe3Va,True,11,-0.006054423091412797,0.286,U_unclassified,15,10,276,61,12,1000,1002,building_then_task_conditioned_on_two_outer_clusters_complete_worker_support_and_connected_graph,True,"{'H_higher_manual_quality_evidence': 2, 'U_unclassified': 16, 'L_lower_manual_quality_evidence': 2}"
augmented_authorized,7y3sRwLe3Va,True,12,0.01655132254222269,0.726,U_unclassified,13,8,276,61,12,1000,1002,building_then_task_conditioned_on_two_outer_clusters_complete_worker_support_and_connected_graph,True,"{'H_higher_manual_quality_evidence': 2, 'U_unclassified': 16, 'L_lower_manual_quality_evidence': 2}"
augmented_authorized,7y3sRwLe3Va,True,13,5.456218154886727e-05,0.479,U_unclassified,14,9,276,61,12,1000,1002,building_then_task_conditioned_on_two_outer_clusters_complete_worker_support_and_connected_graph,True,"{'H_higher_manual_quality_evidence': 2, 'U_unclassified': 16, 'L_lower_manual_quality_evidence': 2}"
augmented_authorized,7y3sRwLe3Va,True,15,0.002909480412501164,0.535,U_unclassified,13,9,276,61,12,1000,1002,building_then_task_conditioned_on_two_outer_clusters_complete_worker_support_and_connected_graph,True,"{'H_higher_manual_quality_evidence': 2, 'U_unclassified': 16, 'L_lower_manual_quality_evidence': 2}"
augmented_authorized,7y3sRwLe3Va,True,17,0.00932341009752502,0.658,U_unclassified,13,9,276,61,12,1000,1002,building_then_task_conditioned_on_two_outer_clusters_complete_worker_support_and_connected_graph,True,"{'H_higher_manual_quality_evidence': 2, 'U_unclassified': 16, 'L_lower_manual_quality_evidence': 2}"
augmented_authorized,7y3sRwLe3Va,True,28,0.015266772802774997,0.696,U_unclassified,12,7,276,61,12,1000,1002,building_then_task_conditioned_on_two_outer_clusters_complete_worker_support_and_connected_graph,True,"{'H_higher_manual_quality_evidence': 2, 'U_unclassified': 16, 'L_lower_manual_quality_evidence': 2}"
augmented_authorized,7y3sRwLe3Va,True,29,-0.014261986936293658,0.273,U_unclassified,12,7,276,61,12,1000,1002,building_then_task_conditioned_on_two_outer_clusters_complete_worker_support_and_connected_graph,True,"{'H_higher_manual_quality_evidence': 2, 'U_unclassified': 16, 'L_lower_manual_quality_evidence': 2}"
augmented_authorized,7y3sRwLe3Va,True,30,-0.006878911208475613,0.358,U_unclassified,14,9,276,61,12,1000,1002,building_then_task_conditioned_on_two_outer_clusters_complete_worker_support_and_connected_graph,True,"{'H_higher_manual_quality_evidence': 2, 'U_unclassified': 16, 'L_lower_manual_quality_evidence': 2}"
augmented_authorized,7y3sRwLe3Va,True,31,0.007243579768481889,0.747,U_unclassified,14,10,276,61,12,1000,1002,building_then_task_conditioned_on_two_outer_clusters_complete_worker_support_and_connected_graph,True,"{'H_higher_manual_quality_evidence': 2, 'U_unclassified': 16, 'L_lower_manual_quality_evidence': 2}"
