layout_id,corner_adjacency_changed,coordinate_values_changed,endpoint_role_map,role_swaps,pair_dx_max,floor_ok,floor_failure,band_ok,band_failure,role_failure
0f006ad814591f20f1d7,False,False,"[0, 1, 2, 3, 4, 5, 6, 7]",0.0,0.0,True,,True,,
a5582527e1e55759fca4,False,False,"[0, 1, 2, 3, 4, 5, 6, 7]",0.0,0.0,True,,True,,
ddc38d03eaf0ed686dbe,False,False,"[0, 1, 2, 3, 4, 5, 6, 7]",0.0,0.0,True,,True,,
762aad63d41c0473582f,False,False,"[0, 1, 2, 3, 4, 5, 6, 7]",0.0,6.660162601625871,True,,True,,
944fc693a5243b08b5ee,False,False,,,,False,adjacent_pair_same_hemisphere,False,adjacent_pair_same_hemisphere,adjacent_pair_same_hemisphere
d37f314fba3b67c55956,False,False,,,,False,adjacent_pair_same_hemisphere,False,adjacent_pair_same_hemisphere,adjacent_pair_same_hemisphere
9e082eaf47377454a352,False,False,"[0, 1, 2, 3, 4, 5, 6, 7]",0.0,7.869724861016607,True,,True,,
779f777343654b55ad95,False,False,"[1, 0, 2, 3, 4, 5, 6, 7]",1.0,5.755162331074416,True,,True,,
3e053dc275632e30f220,False,False,"[0, 1, 3, 2, 4, 5, 6, 7]",1.0,9.188949969523264,True,,True,,
beebb1979f052693f701,False,False,"[1, 0, 2, 3, 4, 5, 6, 7]",1.0,6.433918686609104,True,,True,,
1623fbedf957f0be9421,False,False,"[1, 0, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",1.0,7.925696594427166,False,invalid_original_order_polygon,False,non_single_valued_or_nonstar_boundary,
3c91745dff848ace0009,False,False,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",0.0,0.0,True,,True,,
0f5e3fb0af36b839fed2,False,False,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",0.0,0.0,False,invalid_original_order_polygon,False,non_single_valued_or_nonstar_boundary,
9fe10525cafa9b114fa8,False,False,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",0.0,4.298006295907726,True,,True,,
4bee42371b5ecdf799ee,False,False,"[0, 1, 3, 2, 4, 5, 6, 7, 8, 9]",1.0,8.32520325203268,True,,True,,
169fc30c432425281989,False,False,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",0.0,7.349282296650699,True,,True,,
e4c35e7a0869954598a0,False,False,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",0.0,4.841898860963852,False,invalid_original_order_polygon,False,non_single_valued_or_nonstar_boundary,
f4fb215d725bea31d572,False,False,"[1, 0, 2, 3, 5, 4, 6, 7, 8, 9, 11, 10]",3.0,5.976129348509517,False,invalid_original_order_polygon,False,non_single_valued_or_nonstar_boundary,
a56ee6d45d0f25f3eed8,False,False,"[0, 1, 3, 2, 4, 5, 6, 7]",1.0,8.337919112581176,True,,True,,
a7cd831fc464ecea2892,False,False,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",0.0,2.046004220147097,False,invalid_original_order_polygon,False,non_single_valued_or_nonstar_boundary,
f52f3c5633b4d227b132,False,False,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",0.0,3.4546233477632313,True,,True,,
7ac0106c722944ffcdb5,False,False,"[0, 1, 2, 3, 4, 5, 6, 7]",0.0,6.340557275541755,True,,True,,
78dc36e89fc34111fd75,False,False,"[0, 1, 2, 3, 4, 5, 6, 7]",0.0,0.0,True,,True,,
036f0b79fcb891d33e1d,False,False,"[0, 1, 2, 3, 4, 5, 6, 7]",0.0,0.0,True,,True,,
e4af7c47e67b1c37bb93,False,False,"[0, 1, 2, 3, 4, 5, 6, 7]",0.0,0.5148195288123816,True,,True,,
ad2a6827eaaf625d72c4,False,False,,,,False,adjacent_pair_same_hemisphere,False,adjacent_pair_same_hemisphere,adjacent_pair_same_hemisphere
f2617cc49b4c3cd19938,False,False,"[0, 1, 2, 3, 4, 5, 6, 7]",0.0,12.883790652781158,True,,True,,
27d6bc8646fb2b446424,False,False,"[0, 1, 2, 3, 4, 5, 6, 7]",0.0,2.5344223081777955,True,,True,,
48a03efd0568d764b14c,False,False,"[0, 1, 3, 2, 4, 5, 6, 7]",1.0,4.72683691127861,False,invalid_original_order_polygon,False,non_single_valued_or_nonstar_boundary,
23f6609f87c66a85d17b,False,False,"[0, 1, 2, 3, 5, 4, 7, 6]",2.0,14.053048271062835,False,invalid_original_order_polygon,False,non_single_valued_or_nonstar_boundary,
9971c6aae0055fa67213,False,False,"[0, 1, 2, 3, 4, 5, 6, 7]",0.0,2.615581098339703,True,,True,,
f447db699b5c09a195ce,False,False,"[0, 1, 2, 3, 4, 5, 6, 7]",0.0,6.265530641352996,True,,True,,
4f044fa1f2070a2eeaa3,False,False,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",0.0,9.51083591331269,False,invalid_original_order_polygon,False,non_single_valued_or_nonstar_boundary,
d9c1add75dab8315cd34,False,False,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",0.0,0.0,True,,True,,
2de8896d2c2ea564fd37,False,False,"[0, 1, 2, 3, 4, 5, 6, 7]",0.0,0.0,True,,True,,
42264e54a01908d81bbe,False,False,"[0, 1, 2, 3, 4, 5, 6, 7]",0.0,0.0,True,,True,,
acb3d20a4fb6e211d3b1,False,False,,,,False,adjacent_pair_same_hemisphere,False,adjacent_pair_same_hemisphere,adjacent_pair_same_hemisphere
b7393a16aa19bd7f1989,False,False,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.0,4.683415655532144,True,,True,,
88b2b69f04caf44309bc,False,False,"[0, 1, 2, 3, 4, 5, 6, 7]",0.0,1.3315221867649143,True,,True,,
93cf3ac259facb9e83dc,False,False,"[0, 1, 2, 3, 5, 4, 6, 7]",1.0,2.534676683611224,False,invalid_original_order_polygon,False,non_single_valued_or_nonstar_boundary,
c53730832245059ca129,False,False,"[1, 0, 2, 3, 4, 5, 6, 7]",1.0,1.207096026607644,True,,True,,
0e09f3e9552514dbad74,False,False,,,,False,adjacent_pair_same_hemisphere,False,adjacent_pair_same_hemisphere,adjacent_pair_same_hemisphere
45865dabe049ebace6d2,False,False,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 10]",1.0,4.483956763583478,True,,False,non_single_valued_or_nonstar_boundary,
432c6ebaa6bb7a54b3a9,False,False,,,,False,adjacent_pair_same_hemisphere,False,adjacent_pair_same_hemisphere,adjacent_pair_same_hemisphere
cbd801dc08d6ed3f53b9,False,False,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]",0.0,0.0,True,,True,,
a8f02e5f6ff661b1a6ea,False,False,"[0, 1, 2, 3, 4, 5, 6, 7]",0.0,1.1368683772161603e-13,True,,True,,
7554850145efa35545ae,False,False,"[0, 1, 2, 3, 4, 5, 6, 7]",0.0,0.0,True,,True,,
4cec1169f91d22cfd064,False,False,,,,False,adjacent_pair_same_hemisphere,False,adjacent_pair_same_hemisphere,adjacent_pair_same_hemisphere
87633c987c28cc7b24da,False,False,"[0, 1, 2, 3, 4, 5, 6, 7]",0.0,0.5864532501291251,True,,True,,
e41654f88d1993dc3e61,False,False,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",0.0,5.180438448566633,False,invalid_original_order_polygon,False,non_single_valued_or_nonstar_boundary,
94b9a12a91240fae6082,False,False,,,,False,adjacent_pair_same_hemisphere,False,adjacent_pair_same_hemisphere,adjacent_pair_same_hemisphere
d07650e36d67becee157,False,False,"[1, 0, 2, 3, 5, 4, 7, 6]",3.0,10.46080986749746,True,,True,,
c8ea10e8b26d4fa2d90b,False,False,,,,False,adjacent_pair_same_hemisphere,False,adjacent_pair_same_hemisphere,adjacent_pair_same_hemisphere
ad5f99c1a3eb5c22dcef,False,False,"[0, 1, 3, 2, 4, 5, 7, 6]",2.0,4.055638338054678,True,,True,,
0b276bc0087988e64912,False,False,"[0, 1, 2, 3, 4, 5, 6, 7]",0.0,11.09597523219827,True,,True,,
f155c5b328bfdbe59187,False,False,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]",0.0,2.797814207650333,False,invalid_original_order_polygon,False,non_single_valued_or_nonstar_boundary,
00df94cb0e7cc21280ba,False,False,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.0,0.0,False,invalid_original_order_polygon,False,non_single_valued_or_nonstar_boundary,
1d1473ea45cef547d01e,False,False,"[0, 1, 2, 3, 4, 5, 6, 7]",0.0,4.298006295907669,True,,True,,
4203b3767e3303cffd5c,False,False,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",0.0,3.330081300813049,True,,True,,
063a5ec4d91eccc8b4c3,False,False,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",0.0,2.765652174043339,False,invalid_original_order_polygon,False,non_single_valued_or_nonstar_boundary,
8b3873aaa11c92de279f,False,False,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.0,4.717745553415284,True,,True,,
511d41c2a1ae8135d56a,False,False,"[1, 0, 3, 2, 4, 5, 6, 7, 8, 9, 10, 11]",2.0,2.683057865667706,True,,True,,
1892d2228413184cfbd6,False,False,"[0, 1, 3, 2, 5, 4, 7, 6]",3.0,1.6636063431572552,True,,True,,
b341f546633829a990db,False,False,,,,False,adjacent_pair_same_hemisphere,False,adjacent_pair_same_hemisphere,adjacent_pair_same_hemisphere
90b1682c716df1046edd,False,False,"[0, 1, 3, 2, 4, 5, 6, 7, 8, 9, 10, 11]",1.0,2.9522464435292477,False,invalid_original_order_polygon,False,non_single_valued_or_nonstar_boundary,
74ec5ab0599eaeaf4719,False,False,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",0.0,27.379679144384568,False,invalid_original_order_polygon,False,non_single_valued_or_nonstar_boundary,
98f815cef49de82c7449,False,False,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.0,0.0,True,,True,,
eb7401f8c6a2d74124c0,False,False,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",0.0,4.120236686390626,False,invalid_original_order_polygon,False,non_single_valued_or_nonstar_boundary,
a2dd65d0b594bb9212ac,False,False,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.0,11.819531490185454,True,,True,,
1b06bf8a8b92fca18545,False,False,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",0.0,8.325203252032566,True,,True,,
fc858eb54d55668285a1,False,False,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",0.0,7.349282296650699,False,invalid_original_order_polygon,False,non_single_valued_or_nonstar_boundary,
100cc9a45d0a0f994238,False,False,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.0,3.8921400815677316,False,invalid_original_order_polygon,False,non_single_valued_or_nonstar_boundary,
