worker_id,effect,fit_status,component,layer_value,label,training_rows,training_images,training_buildings,cohort,metric,evaluation
1,-0.1551791466473721,usable,0,0.0,not_classified,85,85,18,all26,ospa30,pooled_image_LOBO
10,-0.37662577037852757,usable,0,0.0,not_classified,83,83,17,all26,ospa30,pooled_image_LOBO
11,-0.1705633119575728,usable,0,0.0,not_classified,83,83,17,all26,ospa30,pooled_image_LOBO
12,0.20975418216220196,usable,0,0.0,not_classified,78,78,17,all26,ospa30,pooled_image_LOBO
13,-0.2479474832732954,usable,0,0.0,not_classified,81,81,18,all26,ospa30,pooled_image_LOBO
14,-0.6011142341347251,usable,0,0.0,not_classified,74,74,13,all26,ospa30,pooled_image_LOBO
15,-1.2949523660237297,usable,0,0.0,not_classified,82,82,19,all26,ospa30,pooled_image_LOBO
17,-1.484843488322923,usable,0,0.0,not_classified,82,82,19,all26,ospa30,pooled_image_LOBO
18,-2.0407163485460615,usable,0,0.0,not_classified,74,74,13,all26,ospa30,pooled_image_LOBO
19,7.6006990408147574,usable,0,0.0,not_classified,45,45,13,all26,ospa30,pooled_image_LOBO
2,-3.3668945155616887,usable,0,0.0,not_classified,78,78,16,all26,ospa30,pooled_image_LOBO
21,-0.665481453588765,usable,0,0.0,not_classified,45,45,13,all26,ospa30,pooled_image_LOBO
26,5.182339149797497,usable,0,0.0,not_classified,22,22,12,all26,ospa30,pooled_image_LOBO
27,-2.3057479141917008,usable,0,0.0,not_classified,75,75,13,all26,ospa30,pooled_image_LOBO
28,-1.4690816379968499,usable,0,0.0,not_classified,80,80,17,all26,ospa30,pooled_image_LOBO
29,0.37479117659656236,usable,0,0.0,not_classified,81,81,17,all26,ospa30,pooled_image_LOBO
30,0.14758120273261113,usable,0,0.0,not_classified,84,84,17,all26,ospa30,pooled_image_LOBO
31,-0.08908076748496406,usable,0,0.0,not_classified,89,89,19,all26,ospa30,pooled_image_LOBO
32,-0.16181019712796535,usable,0,0.0,not_classified,87,87,18,all26,ospa30,pooled_image_LOBO
33,-1.2392833006582018,usable,0,0.0,not_classified,86,86,18,all26,ospa30,pooled_image_LOBO
34,1.560915314561005,usable,0,0.0,not_classified,101,101,19,all26,ospa30,pooled_image_LOBO
35,0.3934042375466836,usable,0,0.0,not_classified,79,79,18,all26,ospa30,pooled_image_LOBO
36,-0.589332533773844,usable,0,0.0,not_classified,85,85,19,all26,ospa30,pooled_image_LOBO
37,2.0798191358035543,usable,0,0.0,not_classified,83,83,18,all26,ospa30,pooled_image_LOBO
6,-0.4107148605801291,usable,0,0.0,not_classified,83,83,18,all26,ospa30,pooled_image_LOBO
8,-0.879934109766557,usable,0,0.0,not_classified,80,80,18,all26,ospa30,pooled_image_LOBO
