partition_id,cluster_id,context_key,image_id,rank,original_support,floor_support,partition_status,structure_status,semantic_label,representative_status,representative_id,within_floor,medoid_enclosed,medoid_extended
extended73|C1|manual|UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,extended73|C1|manual|UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972|cluster1,C1|0|UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972|manual,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,1,21,15,unique,dominant_with_dissent,,new_display_medoid_not_archived,5370cc8259dd087bb93c,0.08952549094317186,0.09246129870682962,0.09628317438279854
extended73|C1|manual|UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,extended73|C1|manual|UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972|cluster2,C1|0|UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972|manual,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,2,1,0,unique,dominant_with_dissent,,new_display_medoid_not_archived,,,,
extended73|C1|manual|UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,extended73|C1|manual|UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972|cluster3,C1|0|UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972|manual,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,3,1,1,unique,dominant_with_dissent,,new_display_medoid_not_archived,beebb1979f052693f701,,0.365878123374311,0.35645364032564353
extended73|C1|manual|rPc6DW4iMge_0012f6dcce9645778ac459e189cf0db3,extended73|C1|manual|rPc6DW4iMge_0012f6dcce9645778ac459e189cf0db3|cluster1,C1|0|rPc6DW4iMge_0012f6dcce9645778ac459e189cf0db3|manual,rPc6DW4iMge_0012f6dcce9645778ac459e189cf0db3,1,21,9,unique,supported_multimodal,,new_display_medoid_not_archived,0309b9293bdaeefba16c,0.09507064892204115,0.06946488078257829,0.06946488078257829
extended73|C1|manual|rPc6DW4iMge_0012f6dcce9645778ac459e189cf0db3,extended73|C1|manual|rPc6DW4iMge_0012f6dcce9645778ac459e189cf0db3|cluster2,C1|0|rPc6DW4iMge_0012f6dcce9645778ac459e189cf0db3|manual,rPc6DW4iMge_0012f6dcce9645778ac459e189cf0db3,2,2,2,unique,supported_multimodal,,new_display_medoid_not_archived,8cc976464d74ba775b9e,0.17845083571135045,0.1659792555388131,0.1659792555388131
extended73|C1|manual|rPc6DW4iMge_9d3eb9f5d38844bfb4e5fb2cd05fd3fd,extended73|C1|manual|rPc6DW4iMge_9d3eb9f5d38844bfb4e5fb2cd05fd3fd|cluster1,C1|0|rPc6DW4iMge_9d3eb9f5d38844bfb4e5fb2cd05fd3fd|manual,rPc6DW4iMge_9d3eb9f5d38844bfb4e5fb2cd05fd3fd,1,22,20,unique,dominant_with_dissent,,new_display_medoid_not_archived,6d2129c626d211543587,0.1836910120580712,0.18434359112472987,0.18267923196087088
extended73|C1|manual|rPc6DW4iMge_9d3eb9f5d38844bfb4e5fb2cd05fd3fd,extended73|C1|manual|rPc6DW4iMge_9d3eb9f5d38844bfb4e5fb2cd05fd3fd|cluster2,C1|0|rPc6DW4iMge_9d3eb9f5d38844bfb4e5fb2cd05fd3fd|manual,rPc6DW4iMge_9d3eb9f5d38844bfb4e5fb2cd05fd3fd,2,1,1,unique,dominant_with_dissent,,new_display_medoid_not_archived,454169e6fe8a9b1ba08c,,0.10417961029167588,0.09400930692442111
extended73|C1|manual|uNb9QFRL6hY_1096f195d3294cefa462add5ab0c342e,extended73|C1|manual|uNb9QFRL6hY_1096f195d3294cefa462add5ab0c342e|cluster1,C1|0|uNb9QFRL6hY_1096f195d3294cefa462add5ab0c342e|manual,uNb9QFRL6hY_1096f195d3294cefa462add5ab0c342e,1,22,19,unique,dominant_with_dissent,,new_display_medoid_not_archived,0a6c2ab575a7b36f82bd,0.1283685416534298,0.11758620309533019,0.11758620309533019
extended73|C1|manual|uNb9QFRL6hY_1096f195d3294cefa462add5ab0c342e,extended73|C1|manual|uNb9QFRL6hY_1096f195d3294cefa462add5ab0c342e|cluster2,C1|0|uNb9QFRL6hY_1096f195d3294cefa462add5ab0c342e|manual,uNb9QFRL6hY_1096f195d3294cefa462add5ab0c342e,2,1,1,unique,dominant_with_dissent,,new_display_medoid_not_archived,b7e7d86f528066fab226,,0.13977861754181986,0.13977861754181986
extended73|C1|manual|uNb9QFRL6hY_8b6f1b0b025848b482e747ab6a027b97,extended73|C1|manual|uNb9QFRL6hY_8b6f1b0b025848b482e747ab6a027b97|cluster1,C1|0|uNb9QFRL6hY_8b6f1b0b025848b482e747ab6a027b97|manual,uNb9QFRL6hY_8b6f1b0b025848b482e747ab6a027b97,1,12,6,unique,supported_multimodal,,new_display_medoid_not_archived,c53730832245059ca129,0.09416501335964331,0.05964929419021936,0.06762458169959462
extended73|C1|manual|uNb9QFRL6hY_8b6f1b0b025848b482e747ab6a027b97,extended73|C1|manual|uNb9QFRL6hY_8b6f1b0b025848b482e747ab6a027b97|cluster2,C1|0|uNb9QFRL6hY_8b6f1b0b025848b482e747ab6a027b97|manual,uNb9QFRL6hY_8b6f1b0b025848b482e747ab6a027b97,2,8,6,unique,supported_multimodal,,new_display_medoid_not_archived,561446db19099c48c68e,0.1305089747432367,0.15567544516993626,0.1488660659100427
extended73|C1|manual|uNb9QFRL6hY_8b6f1b0b025848b482e747ab6a027b97,extended73|C1|manual|uNb9QFRL6hY_8b6f1b0b025848b482e747ab6a027b97|cluster3,C1|0|uNb9QFRL6hY_8b6f1b0b025848b482e747ab6a027b97|manual,uNb9QFRL6hY_8b6f1b0b025848b482e747ab6a027b97,3,2,1,unique,supported_multimodal,,new_display_medoid_not_archived,b7393a16aa19bd7f1989,,0.12460557949026418,0.13223572142839057
extended73|C1|manual|uNb9QFRL6hY_8b6f1b0b025848b482e747ab6a027b97,extended73|C1|manual|uNb9QFRL6hY_8b6f1b0b025848b482e747ab6a027b97|cluster4,C1|0|uNb9QFRL6hY_8b6f1b0b025848b482e747ab6a027b97|manual,uNb9QFRL6hY_8b6f1b0b025848b482e747ab6a027b97,4,1,1,unique,supported_multimodal,,new_display_medoid_not_archived,d6f4c71d3816fc9fef4a,,0.13142967272127615,0.12423901921290403
extended73|C1|manual|uNb9QFRL6hY_9f199750b00c4f5484a546d79e06a0f8,extended73|C1|manual|uNb9QFRL6hY_9f199750b00c4f5484a546d79e06a0f8|cluster1,C1|0|uNb9QFRL6hY_9f199750b00c4f5484a546d79e06a0f8|manual,uNb9QFRL6hY_9f199750b00c4f5484a546d79e06a0f8,1,5,1,unique,supported_multimodal,,new_display_medoid_not_archived,8b3873aaa11c92de279f,,0.3115252857765003,0.3106470419841745
extended73|C1|manual|uNb9QFRL6hY_9f199750b00c4f5484a546d79e06a0f8,extended73|C1|manual|uNb9QFRL6hY_9f199750b00c4f5484a546d79e06a0f8|cluster2,C1|0|uNb9QFRL6hY_9f199750b00c4f5484a546d79e06a0f8|manual,uNb9QFRL6hY_9f199750b00c4f5484a546d79e06a0f8,2,5,4,unique,supported_multimodal,,new_display_medoid_not_archived,4aa250b1a35849403e62,0.17488337267327747,0.14654656691962753,0.1550841602490055
extended73|C1|manual|uNb9QFRL6hY_9f199750b00c4f5484a546d79e06a0f8,extended73|C1|manual|uNb9QFRL6hY_9f199750b00c4f5484a546d79e06a0f8|cluster3,C1|0|uNb9QFRL6hY_9f199750b00c4f5484a546d79e06a0f8|manual,uNb9QFRL6hY_9f199750b00c4f5484a546d79e06a0f8,3,4,4,unique,supported_multimodal,,new_display_medoid_not_archived,dc3b60d3ab46195c79f2,0.011801606024676356,0.86737859305442,0.8676726645627932
extended73|C1|manual|uNb9QFRL6hY_9f199750b00c4f5484a546d79e06a0f8,extended73|C1|manual|uNb9QFRL6hY_9f199750b00c4f5484a546d79e06a0f8|cluster4,C1|0|uNb9QFRL6hY_9f199750b00c4f5484a546d79e06a0f8|manual,uNb9QFRL6hY_9f199750b00c4f5484a546d79e06a0f8,4,4,2,unique,supported_multimodal,,new_display_medoid_not_archived,4203b3767e3303cffd5c,0.20931984808667092,0.3032801441947691,0.30450717368861535
extended73|C1|manual|uNb9QFRL6hY_9f199750b00c4f5484a546d79e06a0f8,extended73|C1|manual|uNb9QFRL6hY_9f199750b00c4f5484a546d79e06a0f8|cluster5,C1|0|uNb9QFRL6hY_9f199750b00c4f5484a546d79e06a0f8|manual,uNb9QFRL6hY_9f199750b00c4f5484a546d79e06a0f8,5,3,1,unique,supported_multimodal,,new_display_medoid_not_archived,f0749422e452eec8ab7d,,0.15492826101484558,0.15669175588744988
extended73|C1|manual|uNb9QFRL6hY_9f199750b00c4f5484a546d79e06a0f8,extended73|C1|manual|uNb9QFRL6hY_9f199750b00c4f5484a546d79e06a0f8|cluster6,C1|0|uNb9QFRL6hY_9f199750b00c4f5484a546d79e06a0f8|manual,uNb9QFRL6hY_9f199750b00c4f5484a546d79e06a0f8,6,1,0,unique,supported_multimodal,,new_display_medoid_not_archived,,,,
extended73|C1|manual|uNb9QFRL6hY_9f199750b00c4f5484a546d79e06a0f8,extended73|C1|manual|uNb9QFRL6hY_9f199750b00c4f5484a546d79e06a0f8|cluster7,C1|0|uNb9QFRL6hY_9f199750b00c4f5484a546d79e06a0f8|manual,uNb9QFRL6hY_9f199750b00c4f5484a546d79e06a0f8,7,1,1,unique,supported_multimodal,,new_display_medoid_not_archived,1892d2228413184cfbd6,,0.32129079223906143,0.3205290739681026
