worker_id,n_valid_tasks,n_exact_duplicate_tasks,n_exact_copy_low_time_events,exact_copy_low_time_rate,max_same_hash_cluster_size,active_time_source_coverage,manual_review_required,fail_recommended,recommended_action,reason
1,57,0,0,0.0,1,1.0,False,False,no_action,no_exact_copy_low_time_events
10,57,18,0,0.0,8,1.0,False,False,no_action,no_exact_copy_low_time_events
11,57,18,0,0.0,8,1.0,False,False,no_action,no_exact_copy_low_time_events
12,57,0,0,0.0,1,0.0,False,False,no_action,no_exact_copy_low_time_events
13,57,44,9,0.157895,8,1.0,True,False,manual_review,event_count>=5
14,57,28,0,0.0,6,0.0,False,False,no_action,no_exact_copy_low_time_events
15,57,26,0,0.0,8,1.0,False,False,no_action,no_exact_copy_low_time_events
17,57,24,0,0.0,8,1.0,False,False,no_action,no_exact_copy_low_time_events
18,57,32,0,0.0,8,1.0,False,False,no_action,no_exact_copy_low_time_events
19,57,7,6,0.105263,8,1.0,True,False,manual_review,event_count>=5
2,57,29,0,0.0,8,1.0,False,False,no_action,no_exact_copy_low_time_events
21,57,24,5,0.087719,8,1.0,True,False,manual_review,event_count>=5
26,25,10,0,0.0,5,0.0,False,False,no_action,no_exact_copy_low_time_events
27,57,13,0,0.0,5,1.0,False,False,no_action,no_exact_copy_low_time_events
28,57,2,0,0.0,2,1.0,False,False,no_action,no_exact_copy_low_time_events
29,57,0,0,0.0,1,1.0,False,False,no_action,no_exact_copy_low_time_events
30,57,0,0,0.0,1,0.824561,False,False,no_action,no_exact_copy_low_time_events
31,57,0,0,0.0,1,0.0,False,False,no_action,no_exact_copy_low_time_events
32,57,0,0,0.0,1,1.0,False,False,no_action,no_exact_copy_low_time_events
33,57,10,1,0.017544,5,1.0,False,False,warning,exact_copy_low_time_events_below_review_threshold
34,57,0,0,0.0,2,0.0,False,False,no_action,no_exact_copy_low_time_events
35,57,0,0,0.0,1,0.0,False,False,no_action,no_exact_copy_low_time_events
36,57,7,0,0.0,5,1.0,False,False,no_action,no_exact_copy_low_time_events
37,57,7,0,0.0,5,1.0,False,False,no_action,no_exact_copy_low_time_events
6,57,43,4,0.070175,8,1.0,False,False,warning,exact_copy_low_time_events_below_review_threshold
8,57,10,0,0.0,8,1.0,False,False,no_action,no_exact_copy_low_time_events
