building_id,config,source_n,folds,target_appearances,common_people_budget,k_max,outside_pool_n,outside_group_n_min,outside_group_n_max,prediction_identified_folds,prediction_not_reached_folds,prediction_unknown_folds,prediction_lower_onset_finite_folds,prediction_both_onsets_finite_folds,prediction_onset_width_le2_folds,prediction_lower_crossing_lt5_folds,prediction_onset_width_mean_among_both_finite,prediction_lower_onset_mean_among_finite,same_error_lower,same_error_upper,outside_error_lower,outside_error_upper,benefit_lower,benefit_upper,same_prediction_unknown_mean,target_unknown_mean,outside_prediction_unknown_mean,outside_N_identified_prediction_fraction,target_N_identified_n,target_N_not_reached_n,target_N_unknown_n,target_N_both_finite_n,target_N_interval_width_le2_n,target_N_lower_crossing_lt5_n,N_identified_pairs,N_absolute_error_sum,outside_N_identified_pairs,outside_N_absolute_error_sum,N_MAE_identified,outside_N_MAE_identified
7y3sRwLe3Va,q_0.925,all,6,9,25,20,34,34,50,1,3,2,1,1,1,0,0.0,5.0,0.2853125,0.7718125000000001,0.18818813725490194,0.6408706862745098,-0.583624362745098,0.35555818627450986,0.29975,0.29974999999999996,0.3251872058823529,0.22647058823529417,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,29.0,87.0,,3.0
7y3sRwLe3Va,q_0.925,1,3,6,25,20,34,34,34,1,1,1,1,1,1,0,0.0,5.0,0.3124166666666666,0.8076666666666666,0.2035612745098039,0.6508063725490197,-0.6041053921568628,0.338389705882353,0.29975,0.29975,0.3101544117647058,0.35294117647058826,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,24.0,78.0,,3.25
7y3sRwLe3Va,q_0.925,2,3,3,25,20,34,50,50,0,2,1,0,0,0,0,,,0.2582083333333333,0.7359583333333334,0.17281500000000002,0.630935,-0.5631433333333333,0.37272666666666665,0.29975,0.29975,0.34022,0.10000000000000002,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,5.0,9.0,,1.8
7y3sRwLe3Va,q_0.950,all,6,9,25,20,34,34,50,1,3,2,1,1,1,0,0.0,5.0,0.2946666666666667,0.7911250000000001,0.1908399264705882,0.6506336764705882,-0.6002850735294117,0.35596700980392154,0.305,0.305,0.32896845588235296,0.21176470588235297,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,27.0,109.0,,4.037037037037037
7y3sRwLe3Va,q_0.950,1,3,6,25,20,34,34,34,1,1,1,1,1,1,0,0.0,5.0,0.31950000000000006,0.8316666666666667,0.2061740196078431,0.6555906862745099,-0.6254926470588236,0.33609068627450983,0.305,0.305,0.30615441176470587,0.3235294117647059,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,22.0,88.0,,4.0
7y3sRwLe3Va,q_0.950,2,3,3,25,20,34,50,50,0,2,1,0,0,0,0,,,0.2698333333333333,0.7505833333333333,0.17550583333333328,0.6456766666666666,-0.5750775,0.37584333333333325,0.305,0.30500000000000005,0.35178250000000005,0.10000000000000002,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,5.0,21.0,,4.2
7y3sRwLe3Va,q_0.975,all,6,9,25,20,34,34,50,1,3,2,1,1,1,0,0.0,5.0,0.23131250000000003,0.8799791666666666,0.11714519607843138,0.7857291176470588,-0.7628339705882353,0.5544166176470587,0.4104166666666667,0.41041666666666665,0.5309363235294119,0.07352941176470588,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,10.0,34.0,,3.4
7y3sRwLe3Va,q_0.975,1,3,6,25,20,34,34,34,1,1,1,1,1,1,0,0.0,5.0,0.2444166666666667,0.9354999999999999,0.12602205882352943,0.7850049019607841,-0.8094779411764707,0.5405882352941175,0.4104166666666667,0.41041666666666665,0.5088676470588236,0.14705882352941177,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,10.0,34.0,,3.4
7y3sRwLe3Va,q_0.975,2,3,3,25,20,34,50,50,0,2,1,0,0,0,0,,,0.21820833333333334,0.8244583333333333,0.10826833333333334,0.7864533333333333,-0.7161900000000001,0.568245,0.41041666666666665,0.41041666666666665,0.5530050000000001,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,
B6ByNegPMKs,ospa30_t6,all,6,9,25,20,34,34,50,0,0,6,0,0,0,0,,,0.0007916666666666666,0.6367708333333334,0.06040392156862745,0.6366454901960786,-0.5763669117647058,0.6358538235294119,0.4998333333333334,0.49983333333333335,0.2941603676470588,0.21235294117647055,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
