condition,target_building,worker_id,axis,qualified,training_responses,training_buildings,score,source_condition
manual,2t7WUuJeko7,W001,Q,True,64,16,0.019075143102,manual
manual,2t7WUuJeko7,W002,Q,True,61,16,-0.0393486390331,manual
manual,2t7WUuJeko7,W006,Q,True,66,17,0.000944288161314,manual
manual,2t7WUuJeko7,W008,Q,True,64,16,0.00692313306816,manual
manual,2t7WUuJeko7,W010,Q,True,64,15,-0.00415936945057,manual
manual,2t7WUuJeko7,W011,Q,True,64,16,0.00638390522495,manual
manual,2t7WUuJeko7,W012,Q,True,63,18,0.0230001633076,manual
manual,2t7WUuJeko7,W013,Q,True,65,16,0.0129863676549,manual
manual,2t7WUuJeko7,W014,Q,True,58,12,0.0182689579325,manual
manual,2t7WUuJeko7,W015,Q,True,65,18,-0.01056590039,manual
manual,2t7WUuJeko7,W017,Q,True,64,17,-0.00522231485621,manual
manual,2t7WUuJeko7,W018,Q,True,57,12,-0.0253407997226,manual
manual,2t7WUuJeko7,W021,Q,True,30,12,-0.00254353577273,manual
manual,2t7WUuJeko7,W027,Q,True,57,12,-0.0477560392543,manual
manual,2t7WUuJeko7,W028,Q,True,65,15,0.016067655691,manual
manual,2t7WUuJeko7,W029,Q,True,63,16,0.0200116691274,manual
manual,2t7WUuJeko7,W030,Q,True,64,17,0.00425407382096,manual
manual,2t7WUuJeko7,W031,Q,True,66,16,-0.00345842769478,manual
manual,2t7WUuJeko7,W032,Q,True,64,17,0.0138466376932,manual
manual,2t7WUuJeko7,W033,Q,True,65,15,0.00836738972427,manual
manual,2t7WUuJeko7,W034,Q,True,82,17,0.035985949345,manual
manual,2t7WUuJeko7,W035,Q,True,64,17,0.0261584235033,manual
manual,2t7WUuJeko7,W036,Q,True,66,17,0.0103801476243,manual
manual,2t7WUuJeko7,W037,Q,True,66,18,0.0322802316958,manual
manual,2t7WUuJeko7,W001,T,True,70,20,-0.62889907711,manual
manual,2t7WUuJeko7,W002,T,True,67,19,-0.261333100838,manual
manual,2t7WUuJeko7,W006,T,True,70,19,-1.37588223608,manual
manual,2t7WUuJeko7,W008,T,True,68,19,0.387897248232,manual
manual,2t7WUuJeko7,W010,T,True,70,19,-0.400389266171,manual
manual,2t7WUuJeko7,W011,T,True,67,17,-0.0689188415402,manual
manual,2t7WUuJeko7,W012,T,True,40,17,-0.779207178643,manual
manual,2t7WUuJeko7,W013,T,True,70,19,-0.988075476826,manual
manual,2t7WUuJeko7,W015,T,True,71,21,0.355786549464,manual
manual,2t7WUuJeko7,W017,T,True,70,20,-0.286198897102,manual
manual,2t7WUuJeko7,W018,T,True,58,12,-0.518038737126,manual
