condition,axis,n_people,composition_a,composition_b,measure,n,groups,delta,lo,hi,group_macro
manual,Q,4,lower_axis,higher_axis,point_count_disagreement,46,15,-0.18115942029,-0.316095638078,-0.0849657787643,-0.252356902357
manual,Q,4,lower_axis,higher_axis,singleton_mass,46,15,-0.204710144928,-0.295146780303,-0.107626488095,-0.242676767677
manual,Q,4,lower_axis,higher_axis,within_mode_median,29,12,-0.0152240132425,-0.0256977453593,-0.00768162094129,-0.0170806026591
manual,Q,4,lower_axis,higher_axis,mode_entropy,46,15,-0.467729098681,-0.657570108269,-0.308306239484,-0.486053778468
manual,Q,4,lower_axis,higher_axis,n_supported_modes,46,15,0.173913043478,0,0.322071286142,0.235353535354
manual,Q,4,lower_axis,higher_axis,p_early7,42,14,0.269841269841,0.165624159946,0.378148065476,0.230833333333
manual,Q,4,lower_axis,higher_axis,p_by19,42,14,0.269841269841,0.165624159946,0.378148065476,0.230833333333
manual,Q,4,lower_axis,higher_axis,p_tail,42,14,0.19126984127,0.104579980843,0.280857954545,0.174087301587
manual,Q,4,lower_axis,higher_axis,late_new,42,14,-0.22380952381,-0.328768429487,-0.12872297637,-0.265496031746
manual,Q,4,mixed_axis,lower_axis,point_count_disagreement,46,15,0.177536231884,0.108839840284,0.281612616311,0.229461279461
manual,Q,4,mixed_axis,lower_axis,singleton_mass,46,15,0.141304347826,0.0370316537468,0.225694444444,0.126136363636
manual,Q,4,mixed_axis,lower_axis,within_mode_median,34,14,0.00310260637273,-0.00208799554404,0.00733888169741,0.00109256423307
manual,Q,4,mixed_axis,lower_axis,mode_entropy,46,15,0.349673097842,0.202138979547,0.476012557811,0.377232107097
manual,Q,4,mixed_axis,lower_axis,n_supported_modes,46,15,-0.0869565217391,-0.227881065401,0.0883021390374,-0.00757575757576
manual,Q,4,mixed_axis,lower_axis,p_early7,43,15,-0.199224806202,-0.282270057624,-0.117083333333,-0.15962962963
manual,Q,4,mixed_axis,lower_axis,p_by19,43,15,-0.199224806202,-0.282270057624,-0.117083333333,-0.15962962963
manual,Q,4,mixed_axis,lower_axis,p_tail,43,15,-0.140310077519,-0.207627846791,-0.0724045235447,-0.116407407407
manual,Q,4,mixed_axis,lower_axis,late_new,43,15,0.172480620155,0.111105072464,0.242194640457,0.216148148148
manual,Q,4,mixed_axis,random_same_panel,point_count_disagreement,46,15,0.0875603864734,-0.00112612612613,0.154075346488,0.0164842873176
manual,Q,4,mixed_axis,random_same_panel,singleton_mass,46,15,0.0307971014493,-0.0625051062092,0.097617247184,-0.0456895342312
manual,Q,4,mixed_axis,random_same_panel,within_mode_median,36,14,0.00277457410115,-0.00311236910276,0.00825717096956,0.00260362776181
manual,Q,4,mixed_axis,random_same_panel,mode_entropy,46,15,0.0840198369931,-0.0574529270057,0.19370538148,-0.00315818992758
manual,Q,4,mixed_axis,random_same_panel,n_supported_modes,46,15,0.0036231884058,-0.0914634146341,0.155436936937,0.131439393939
manual,Q,4,mixed_axis,random_same_panel,p_early7,43,15,-0.0552971576227,-0.105363371414,0.0060976062468,-0.0362808641975
manual,Q,4,mixed_axis,random_same_panel,p_by19,43,15,-0.0552971576227,-0.105363371414,0.0060976062468,-0.0362808641975
manual,Q,4,mixed_axis,random_same_panel,p_tail,43,15,-0.0494186046512,-0.095474420009,0.0148451309975,-0.0251635802469
manual,Q,4,mixed_axis,random_same_panel,late_new,43,15,0.0420844099914,-0.0376276371769,0.0943544460563,-0.0162937242798
manual,Q,6,lower_axis,higher_axis,point_count_disagreement,46,15,-0.1,-0.203434343434,-0.0242346542347,-0.112626262626
manual,Q,6,lower_axis,higher_axis,singleton_mass,46,15,-0.148550724638,-0.234030257937,-0.0728203203203,-0.141212121212
manual,Q,6,lower_axis,higher_axis,within_mode_median,39,14,-0.0108489213027,-0.0190660550845,-0.00526787030187,-0.0109837996396
manual,Q,6,lower_axis,higher_axis,mode_entropy,46,15,-0.465388736111,-0.660571493648,-0.258102764658,-0.362525584473
manual,Q,6,lower_axis,higher_axis,n_supported_modes,46,15,0.0652173913043,-0.0980392156863,0.30303030303,0.133333333333
manual,Q,6,lower_axis,higher_axis,p_early7,42,14,0.315079365079,0.190273085586,0.418762731481,0.180952380952
manual,Q,6,lower_axis,higher_axis,p_by19,42,14,0.315079365079,0.190273085586,0.418762731481,0.180952380952
manual,Q,6,lower_axis,higher_axis,p_tail,42,14,0.243650793651,0.132368530021,0.346499582289,0.157936507937
manual,Q,6,lower_axis,higher_axis,late_new,42,14,-0.155291005291,-0.249471706454,-0.0846096096096,-0.162764550265
manual,Q,6,mixed_axis,lower_axis,point_count_disagreement,46,15,0.115217391304,0.0566602564103,0.173965435606,0.0761616161616
manual,Q,6,mixed_axis,lower_axis,singleton_mass,46,15,0.11231884058,0.0259387703252,0.177506944444,0.061835016835
manual,Q,6,mixed_axis,lower_axis,within_mode_median,42,15,0.000123944896508,-0.00744721809451,0.0110678678789,0.000327788433541
manual,Q,6,mixed_axis,lower_axis,mode_entropy,46,15,0.305918933537,0.128272208331,0.423063551778,0.1602666897
manual,Q,6,mixed_axis,lower_axis,n_supported_modes,46,15,-0.0869565217391,-0.294151069519,0.102678571429,-0.0666666666667
manual,Q,6,mixed_axis,lower_axis,p_early7,43,15,-0.195348837209,-0.292692242547,-0.0583091085271,-0.0654074074074
manual,Q,6,mixed_axis,lower_axis,p_by19,43,15,-0.195348837209,-0.292692242547,-0.0583091085271,-0.0654074074074
manual,Q,6,mixed_axis,lower_axis,p_tail,43,15,-0.16976744186,-0.258712000707,-0.0753532608696,-0.0875925925926
manual,Q,6,mixed_axis,lower_axis,late_new,43,15,0.132816537468,0.0739316239316,0.191437301587,0.10350617284
manual,Q,6,mixed_axis,random_same_panel,point_count_disagreement,46,15,0.0687198067633,0.000367724867725,0.111541666667,0.000774410774411
manual,Q,6,mixed_axis,random_same_panel,singleton_mass,46,15,0.0227053140097,-0.0456051982022,0.0650007122507,-0.0403759820426
manual,Q,6,mixed_axis,random_same_panel,within_mode_median,43,15,-0.0070218346375,-0.0103784133386,-0.00248903512292,-0.00490733248398
manual,Q,6,mixed_axis,random_same_panel,mode_entropy,46,15,0.0380541962317,-0.0920053795207,0.120857406827,-0.081496865575
manual,Q,6,mixed_axis,random_same_panel,n_supported_modes,46,15,-0.0398550724638,-0.150273833919,0.093029023625,0.0441498316498
manual,Q,6,mixed_axis,random_same_panel,p_early7,43,15,-0.0196813092162,-0.0807756129319,0.0626491431124,0.0330576131687
manual,Q,6,mixed_axis,random_same_panel,p_by19,43,15,-0.0196813092162,-0.0807756129319,0.0626491431124,0.0330576131687
manual,Q,6,mixed_axis,random_same_panel,p_tail,43,15,-0.0247416020672,-0.0903150406504,0.0395113863864,0.0130864197531
manual,Q,6,mixed_axis,random_same_panel,late_new,43,15,0.042499282228,-0.012333704394,0.0768938045051,-0.0101570644719
manual,Q,8,lower_axis,higher_axis,point_count_disagreement,46,15,-0.0865942028986,-0.164898214286,-0.0245660694289,-0.106717171717
manual,Q,8,lower_axis,higher_axis,singleton_mass,46,15,-0.149844720497,-0.214302884615,-0.080344012605,-0.155961399711
manual,Q,8,lower_axis,higher_axis,within_mode_median,40,14,-0.0118994379327,-0.0183971635451,-0.00500992593081,-0.00988332930341
manual,Q,8,lower_axis,higher_axis,mode_entropy,46,15,-0.535141003971,-0.668864808207,-0.330728296167,-0.449626144339
manual,Q,8,lower_axis,higher_axis,n_supported_modes,46,15,0.0652173913043,-0.155572916667,0.375,0.188383838384
manual,Q,8,lower_axis,higher_axis,p_early7,40,13,0.360833333333,0.244433962264,0.501188257223,0.351752136752
manual,Q,8,lower_axis,higher_axis,p_by19,40,13,0.360833333333,0.244433962264,0.501188257223,0.351752136752
manual,Q,8,lower_axis,higher_axis,p_tail,40,13,0.3325,0.202842532468,0.473345238095,0.300384615385
manual,Q,8,lower_axis,higher_axis,late_new,40,13,-0.145,-0.208338414634,-0.0734095982143,-0.149807692308
manual,Q,8,mixed_axis,lower_axis,point_count_disagreement,46,15,0.0856107660455,0.0168016548725,0.137044890873,0.0358621933622
manual,Q,8,mixed_axis,lower_axis,singleton_mass,46,15,0.125776397516,0.0398853291317,0.179316284938,0.0916666666667
manual,Q,8,mixed_axis,lower_axis,within_mode_median,43,15,0.00159634788412,-0.00422509588382,0.0110214469235,0.004108380343
manual,Q,8,mixed_axis,lower_axis,mode_entropy,46,15,0.409295833869,0.181137848812,0.541279048583,0.269155890754
manual,Q,8,mixed_axis,lower_axis,n_supported_modes,46,15,-0.0652173913043,-0.238095238095,0.105291153415,-0.100505050505
manual,Q,8,mixed_axis,lower_axis,p_early7,41,14,-0.270731707317,-0.369633680556,-0.144407894737,-0.171865079365
manual,Q,8,mixed_axis,lower_axis,p_by19,41,14,-0.270731707317,-0.369633680556,-0.144407894737,-0.171865079365
manual,Q,8,mixed_axis,lower_axis,p_tail,41,14,-0.251219512195,-0.362053657946,-0.123914930556,-0.174285714286
manual,Q,8,mixed_axis,lower_axis,late_new,41,14,0.120731707317,0.0478391232423,0.173192934783,0.0857341269841
manual,Q,8,mixed_axis,random_same_panel,point_count_disagreement,46,15,0.0428743961353,-0.0191185791446,0.0808119691072,-0.0142210798461
manual,Q,8,mixed_axis,random_same_panel,singleton_mass,46,15,0.057582815735,-0.00983527612434,0.1029984958,0.0110051406926
manual,Q,8,mixed_axis,random_same_panel,within_mode_median,44,15,-0.00199027546565,-0.00533381547028,0.00280585064204,0.000484529750372
manual,Q,8,mixed_axis,random_same_panel,mode_entropy,46,15,0.150205699062,0.0287968024199,0.222987275977,0.0460229503727
