annotator_id,n_tasks,ru_median_iou,ru_ci_level,ru_ci_low,ru_ci_high,ru_mean_iou,bootstrap_iters
1,18,1.0,0.95,0.9215719699859619,1.0,0.943507045507431,1000
2,18,1.0,0.95,0.9427791833877563,1.0,0.9558903144465553,1000
3,18,0.998672366142273,0.95,0.9416698217391968,1.0,0.9491497609350417,1000
4,10,0.9520657062530518,0.95,0.8453549742698669,1.0,0.9313476622104645,1000
