task_id,condition,annotator_id,active_time,iou,iou_manual,iou_corner,rmse_px,layout_2d_iou,layout_3d_iou,layout_depth_rmse,layout_delta1,layout_used,layout_gate_reason,pointwise_rmse_px,pointwise_rmse_used,pointwise_best_shift,pointwise_gate_reason,boundary_mse,boundary_rmse_px,pred_n_points,pred_n_pairs,pred_pair_coverage,pred_odd_points,ann_n_points,ann_n_pairs,ann_pair_coverage,ann_odd_points,pairing_warning,pairing_failure_reason,boundary_method_used,consensus_uid,iou_to_consensus,consensus_uid_loo,iou_to_consensus_loo,iou_to_others_median,quality,scope,difficulty,model_issue,tool_issue,is_oos,is_occlusion,is_fail,is_residual,is_normal,n_corners,has_manual_poly,task_scope_n_total,task_scope_n_in_scope,task_scope_n_oos,task_scope_oos_rate,task_scope_majority,task_scope_is_mixed
459,semi,2,188.28199999999998,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,True,,0.0,True,0,,0.0,0.0,8,4,1.0,False,8,4,1.0,False,False,,connect,,,,,,normal,,,,,False,False,False,False,True,8,True,1,1,0,0.0,in_scope,False
461,semi,2,7.509,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,True,,0.0,True,0,,0.0,0.0,8,4,1.0,False,8,4,1.0,False,False,,connect,,,,,,normal,,,,,False,False,False,False,True,8,True,1,1,0,0.0,in_scope,False
462,semi,2,2121.889,0.8862438676752229,0.0,0.8862438676752229,9.109371777684927,,,,,False,n_pairs_mismatch,,False,,n_pairs_mismatch,101.96075439453125,10.097561804442261,12,6,1.0,False,8,4,1.0,False,False,,connect,,,,,,complex,,,,,False,False,False,False,False,8,False,1,1,0,0.0,in_scope,False
463,semi,2,80.294,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,True,,0.0,True,0,,0.0,0.0,12,6,1.0,False,12,6,1.0,False,False,,connect,,,,,,normal,,,,,False,False,False,False,True,12,True,1,1,0,0.0,in_scope,False
464,semi,2,320.776,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,True,,0.0,True,0,,0.0,0.0,8,4,1.0,False,8,4,1.0,False,False,,connect,,,,,,unknown,,,,,False,False,False,False,False,8,True,1,1,0,0.0,in_scope,False
465,semi,2,147.437,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,True,,0.0,True,0,,0.0,0.0,8,4,1.0,False,8,4,1.0,False,False,,connect,,,,,,unknown,,,,,False,False,False,False,False,8,True,1,1,0,0.0,in_scope,False
474,semi,1,27.499,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,True,,0.0,True,0,,0.0,0.0,12,6,1.0,False,12,6,1.0,False,False,,connect,,,,,,normal,normal,,,,False,False,False,False,True,12,True,4,3,1,0.25,in_scope,True
474,semi,2,628.372,1.0,1.0,1.0,0.0,,,,,False,out_of_scope,0.0,True,0,,0.0,0.0,12,6,1.0,False,12,6,1.0,False,False,,connect,,,,,,occlusion;oos_insufficient;residual,oos_insufficient,occlusion;residual,,,True,True,False,True,False,12,True,4,3,1,0.25,in_scope,True
474,semi,3,1124.848,0.9604076246752072,1.0,0.9604076246752072,3.376038620624595,0.9945566253640641,0.992865990271136,0.01961585134267807,1.0,True,,3.3200874521618315,True,0,,2.0254862308502197,1.4231957809276345,12,6,1.0,False,12,6,1.0,False,False,,connect,,,,,,corner_drift;normal;occlusion,normal,occlusion,corner_drift,,False,True,False,False,True,12,True,4,3,1,0.25,in_scope,True
474,semi,4,14.729,1.0,1.0,1.0,5.84207588922869,0.9549285581803598,0.9509160409068775,0.0769195556640625,1.0,True,,4.29627237428994,True,0,,9.500301361083984,3.082255888320109,12,6,1.0,False,12,6,1.0,False,False,,connect,,,,,,normal,normal,,,,False,False,False,False,True,12,True,4,3,1,0.25,in_scope,True
