dataset_group,condition,n_tasks,n_scope_preview_rows,n_geometry_preview_rows,dry_run,provisional_only
PreScreen_manual,manual,60,600,263,True,True
PreScreen_oos,oos,18,0,0,True,True
PreScreen_semi,semi,36,360,0,True,True
