condition,cut,rule,state,expected_images,images_with_state
manual,0.05,D10_distribution,cannot_judge_invalid,9,9
manual,0.05,D10_distribution,cannot_judge_low_n,54,54
manual,0.05,D10_distribution,cannot_judge_singletons,105,105
manual,0.05,D10_distribution,current_changes,10.54,15
manual,0.05,D10_distribution,observed_unified,4,4
manual,0.05,D10_distribution,stable_multicluster,4.46,9
manual,0.05,D20_distribution,cannot_judge_invalid,9,9
manual,0.05,D20_distribution,cannot_judge_low_n,54,54
manual,0.05,D20_distribution,cannot_judge_singletons,105,105
manual,0.05,D20_distribution,current_changes,10.45,15
manual,0.05,D20_distribution,observed_unified,4,4
manual,0.05,D20_distribution,stable_multicluster,4.55,9
manual,0.05,G10_geometry,cannot_judge_invalid,9,9
manual,0.05,G10_geometry,cannot_judge_low_n,54,54
manual,0.05,G10_geometry,cannot_judge_singletons,105,105
manual,0.05,G10_geometry,current_changes,10.6,16
manual,0.05,G10_geometry,observed_unified,3.94,4
manual,0.05,G10_geometry,stable_multicluster,4.46,9
manual,0.05,P_pattern,cannot_judge_invalid,9,9
manual,0.05,P_pattern,cannot_judge_low_n,54,54
manual,0.05,P_pattern,cannot_judge_singletons,105,105
manual,0.05,P_pattern,current_changes,10.45,15
manual,0.05,P_pattern,observed_unified,4,4
manual,0.05,P_pattern,stable_multicluster,4.55,9
manual,0.1,D10_distribution,cannot_judge_invalid,9,9
manual,0.1,D10_distribution,cannot_judge_low_n,54,54
manual,0.1,D10_distribution,cannot_judge_singletons,82,82
manual,0.1,D10_distribution,current_changes,17,28
manual,0.1,D10_distribution,observed_unified,16.27,17
manual,0.1,D10_distribution,stable_multicluster,8.73,14
manual,0.1,D20_distribution,cannot_judge_invalid,9,9
manual,0.1,D20_distribution,cannot_judge_low_n,54,54
manual,0.1,D20_distribution,cannot_judge_singletons,82,82
manual,0.1,D20_distribution,current_changes,16.99,28
manual,0.1,D20_distribution,observed_unified,16.27,17
manual,0.1,D20_distribution,stable_multicluster,8.74,14
manual,0.1,G10_geometry,cannot_judge_invalid,9,9
manual,0.1,G10_geometry,cannot_judge_low_n,54,54
manual,0.1,G10_geometry,cannot_judge_singletons,82,82
manual,0.1,G10_geometry,current_changes,20.05,36
manual,0.1,G10_geometry,observed_unified,13.46,17
manual,0.1,G10_geometry,stable_multicluster,8.49,14
manual,0.1,P_pattern,cannot_judge_invalid,9,9
manual,0.1,P_pattern,cannot_judge_low_n,54,54
manual,0.1,P_pattern,cannot_judge_singletons,82,82
manual,0.1,P_pattern,current_changes,16.72,28
manual,0.1,P_pattern,observed_unified,16.27,17
manual,0.1,P_pattern,stable_multicluster,9.01,15
manual,0.2,D10_distribution,cannot_judge_invalid,9,9
manual,0.2,D10_distribution,cannot_judge_low_n,54,54
manual,0.2,D10_distribution,cannot_judge_singletons,65,65
manual,0.2,D10_distribution,current_changes,15.61,30
manual,0.2,D10_distribution,observed_unified,35.78,37
manual,0.2,D10_distribution,stable_multicluster,7.61,11
manual,0.2,D20_distribution,cannot_judge_invalid,9,9
manual,0.2,D20_distribution,cannot_judge_low_n,54,54
manual,0.2,D20_distribution,cannot_judge_singletons,65,65
manual,0.2,D20_distribution,current_changes,15.48,30
manual,0.2,D20_distribution,observed_unified,35.78,37
manual,0.2,D20_distribution,stable_multicluster,7.74,11
manual,0.2,G10_geometry,cannot_judge_invalid,9,9
manual,0.2,G10_geometry,cannot_judge_low_n,54,54
manual,0.2,G10_geometry,cannot_judge_singletons,65,65
manual,0.2,G10_geometry,current_changes,26.62,49
manual,0.2,G10_geometry,observed_unified,25.3,36
manual,0.2,G10_geometry,stable_multicluster,7.08,11
manual,0.2,P_pattern,cannot_judge_invalid,9,9
manual,0.2,P_pattern,cannot_judge_low_n,54,54
manual,0.2,P_pattern,cannot_judge_singletons,65,65
manual,0.2,P_pattern,current_changes,15.22,30
manual,0.2,P_pattern,observed_unified,35.78,37
manual,0.2,P_pattern,stable_multicluster,8,12
semi,0.05,D10_distribution,cannot_judge_invalid,3,3
