image_id,building,condition,n,n_observed,half_k,mean_medoid_reference_error_half,mean_medoid_reference_error_full,reference_delta,new_modes_late,late_support_promotions,half_TV,within_geometry_half,within_geometry_full
7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,7y3sRwLe3Va,manual,5,5,3,0.170077901392,0.172606953043,0.002529051651,0.22,0,0.162666666667,0.058640265729,0.0626401137484
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,manual,24,24,12,0.0123471714649,0.0120260742317,-0.0003210972332,0,0,0,0.0228374443128,0.022511757592
7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,7y3sRwLe3Va,semi,24,24,12,0.0314609716006,0.0324866563198,0.0010256847192,0.23,0.055,0.168333333333,0.0257225100885,0.0227007242427
7y3sRwLe3Va_9e4c92fd7eb74504baecf55a3264716e,7y3sRwLe3Va,manual,5,5,3,0.163152264102,0.170542389057,0.007390124955,0.665,0.335,0.321333333333,0,0
7y3sRwLe3Va_a775c7668ca9419daaf506e76851821e,7y3sRwLe3Va,manual,6,6,3,0.296973412224,0.487380805906,0.190407393682,0.716666666667,0.283333333333,0.401666666667,0.0871720435997,0.0871720435997
7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,7y3sRwLe3Va,manual,6,6,3,0.175364783081,0.188559419736,0.013194636655,0.353333333333,0.0466666666667,0.223333333333,0.0169791925938,0.0177253478985
7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,7y3sRwLe3Va,semi,4,4,2,0,0,0,0,0,0,0,0
7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,7y3sRwLe3Va,manual,5,5,3,0.0421370427945,0.0323553181367,-0.0097817246578,0.375,0.165,0.238,0.063115813866,0.059708590451
7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,7y3sRwLe3Va,semi,4,4,2,0.0166971723277,0.0197431687581,0.0030459964304,0.56,0.44,0.3275,0,0
7y3sRwLe3Va_b564162b2c7d4033bfe6ef3dfb959c9e,7y3sRwLe3Va,manual,5,5,3,0.175443099354,0.144107041855,-0.031336057499,0.405,0.15,0.242,0.045463421696,0.0489397819144
7y3sRwLe3Va_bbcc19afdad742eba89290ad2b5dbf6b,7y3sRwLe3Va,manual,5,5,3,0.0480669554892,0.0277895501604,-0.0202774053288,0.195,0,0.159333333333,0.0611466689401,0.0498200930069
7y3sRwLe3Va_fdab6422162e49db822a37178ab70481,7y3sRwLe3Va,manual,5,5,3,0.0475487813265,0.0441817472567,-0.0033670340698,0.175,0,0.156666666667,0.0530164721044,0.0499534341062
B6ByNegPMKs_48ee619d38b142f88914e7e2582bc1d8,B6ByNegPMKs,semi,24,24,12,0.10138458468,0.101249351375,-0.000135233305,0.125833333333,0.245,0.1675,0.0401376937375,0.0823840309565
B6ByNegPMKs_4b983544c13946e3a3a518c565ad1086,B6ByNegPMKs,manual,24,24,12,0.122924896275,0.096967575373,-0.025957320902,0.0508333333333,0.103333333333,0.160833333333,0.0546311896953,0.0794073947257
B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9,B6ByNegPMKs,manual,5,5,3,0.244818188166,0.243669061385,-0.001149126781,0.445,0.24,0.317333333333,0.0668441816134,0.0664213357058
B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9,B6ByNegPMKs,semi,4,4,2,0.0403140454995,0,-0.0403140454995,0.24,0.26,0.25,0.000579064154469,0.000794145126129
B6ByNegPMKs_7018ca302c584d0d85024187f3568460,B6ByNegPMKs,manual,5,5,3,0.0365602649905,0.0404898119122,0.0039295469217,0,0,0,0.0479241518314,0.0481958237761
B6ByNegPMKs_7018ca302c584d0d85024187f3568460,B6ByNegPMKs,semi,4,4,2,0.0469582671199,0.0428401304102,-0.0041181367097,0.245,0.255,0.25,0.0484407519875,0.0428401304102
B6ByNegPMKs_75327de9719945aa8b893a6404667884,B6ByNegPMKs,semi,24,24,12,4.87782324248e-05,4.62352913979e-05,-2.5429410269e-06,0.169166666667,0.165833333333,0.1925,0.046649768186,0.0945328213567
B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993,B6ByNegPMKs,manual,23,24,12,0.206728644309,0.308153171528,0.101424527219,0.214545454545,0.214545454545,0.255688405797,0.0732220307922,0.0902451309604
B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,B6ByNegPMKs,manual,6,6,3,0.231252458704,0.271905056894,0.04065259819,0.48,0.52,0.313333333333,0.0274853281051,0.0296620246809
B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,B6ByNegPMKs,semi,4,4,2,0.0537824908181,0.0782274530635,0.0244449622454,0.575,0.425,0.3275,0.0267439092136,0.0267439092136
B6ByNegPMKs_cee80ced97274e248d4ccaa582e12624,B6ByNegPMKs,manual,24,24,12,0.327435327542,0.314744058749,-0.012691268793,0.460833333333,0.250833333333,0.312916666667,0.0628277848711,0.0835475578406
B6ByNegPMKs_e26e2cb761894264a4a34b1046701f6b,B6ByNegPMKs,manual,5,5,3,0.0797462577106,0.0403092591443,-0.0394369985663,0.38,0.16,0.237333333333,0.0833400966027,0.0812562313061
B6ByNegPMKs_e52609aae11f42a79f6cf50360180fd5,B6ByNegPMKs,manual,6,6,3,0.372125054733,0.367492775199,-0.004632279534,0.563333333333,0.136666666667,0.36,0.00567787693021,0.00728249432353
B6ByNegPMKs_ee063d1562c147f586ebb9f6fdb05ca6,B6ByNegPMKs,manual,5,5,3,0.184531067588,0.217624483965,0.033093416377,0.055,0.5,0.147333333333,0.049318555846,0.0661293412115
S9hNv5qa7GM_0c2a97f049db4a429776940850fedf2e,S9hNv5qa7GM,manual,19,20,10,0.130343603892,0.124657924998,-0.005685678894,0.182222222222,0.207777777778,0.224210526316,0.0763386627367,0.097113490016
S9hNv5qa7GM_bd9faec23bb3462c94a5fbc6c0a3d5cf,S9hNv5qa7GM,manual,20,20,10,0.0274717983701,0.0262161945555,-0.0012556038146,0,0.012,0.05,0.0371377182297,0.0360594464715
UwV83HsGsw3_0f1385fc03994285ad8253b49516d77b,UwV83HsGsw3,manual,4,5,2,0.237903475053,0.228957443267,-0.008946031786,1,0,0.5,,
UwV83HsGsw3_0f1385fc03994285ad8253b49516d77b,UwV83HsGsw3,semi,4,4,2,0.213116241384,0.175938606848,-0.037177634536,0.595,0.405,0.34,0.00902094649736,0.00902094649736
UwV83HsGsw3_16af52545aff47afb4d7b330a49091a2,UwV83HsGsw3,manual,5,5,3,0.358024895797,0.359548276411,0.001523380614,0.18,0,0.157333333333,0.0461667495194,0.0493877253044
UwV83HsGsw3_7482b1a2655e4655ae4ab58749f43f65,UwV83HsGsw3,manual,24,24,12,0.182968735842,0.184053867777,0.001085131935,0.205833333333,0.1825,0.235,0.0402895445785,0.0533910068111
UwV83HsGsw3_8e9c912f525744eeaea21083a20a1596,UwV83HsGsw3,manual,24,24,12,0.0938315446243,0.0901417345786,-0.0036898100457,0.101666666667,0.1325,0.2,0.0523474991029,0.0527088124171
UwV83HsGsw3_a3630444bbd94cd6ac4edbe2dc1221de,UwV83HsGsw3,manual,6,7,3,0.131742776587,0.08701219588,-0.044730580707,0.466666666667,0.533333333333,0.305,0.0253270693135,0.0467829540047
UwV83HsGsw3_a3630444bbd94cd6ac4edbe2dc1221de,UwV83HsGsw3,semi,4,4,2,0.100061177914,0.179639874319,0.079578696405,0.58,0.42,0.32,0.0339200933769,0.0339200933769
UwV83HsGsw3_b979526475874ad68ae33f02d407a1fc,UwV83HsGsw3,manual,5,5,3,0.111911859907,0.148085073935,0.036173214028,0.655,0.345,0.313333333333,0.0807933801821,0.0807933801821
UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,UwV83HsGsw3,manual,23,23,12,0.0152046832879,0.0126179303941,-0.0025867528938,0.0818181818182,0,0.0630434782609,0.0240589833489,0.023919853283
UwV83HsGsw3_f9641b59487a4b0ca0fe41a82edc0980,UwV83HsGsw3,manual,5,5,3,0.147974106376,0.175903474056,0.02792936768,0.055,0.5,0.161333333333,0.0400655768072,0.0511403046723
VFuaQ6m2Qom_5fb269a812f349b4bc2ad5dfac000b85,VFuaQ6m2Qom,manual,7,7,4,,,,0.156666666667,0.29,0.204285714286,0.0578141168428,0.0565653472616
VFuaQ6m2Qom_ad4c387f8175498491966703c8441e0d,VFuaQ6m2Qom,manual,19,20,10,,,,0.101111111111,0.177777777778,0.188,0.045861225947,0.0525850640742
VFuaQ6m2Qom_f0be18aa2f1d4aa2b6adf355a86f34b8,VFuaQ6m2Qom,manual,5,5,3,,,,0.65,0.35,0.32,0.0794784990697,0.0794784990697
X7HyMhZNoso_28ada927582d4d6ea7cf44cabf31527a,X7HyMhZNoso,semi,24,24,12,0.0205819922459,0.0205819922459,0,0.134166666667,0.0641666666667,0.1175,0.0157147313346,0.0343876255339
X7HyMhZNoso_2b16acff0dc042a1a75816a1fbd0a302,X7HyMhZNoso,manual,5,5,3,0.0636162401562,0.0565484485321,-0.0070677916241,0.205,0.58,0.26,0.0597278784953,0.0822094312721
X7HyMhZNoso_987fd31155514f6facb131bd5c14881d,X7HyMhZNoso,manual,24,24,12,0.0161016285904,0.0170027956205,0.0009011670301,0,0.0841666666667,0.0691666666667,0.0377552255363,0.034037773799
X7HyMhZNoso_b6f452209a62499795e5bd137214a7f9,X7HyMhZNoso,manual,5,5,3,0.0895753576297,0.0832267391705,-0.0063486184592,0.37,0.17,0.238666666667,0.0472185326682,0.0597743087537
X7HyMhZNoso_b6f452209a62499795e5bd137214a7f9,X7HyMhZNoso,semi,4,4,2,0.0963535031204,0.0637134246994,-0.032640078421,0.275,0.225,0.25,0.0589085368911,0.0696778568214
Z6MFQCViBuw_2008e72476f84104858e908beeac0193,Z6MFQCViBuw,manual,5,5,3,0.0438579811863,0.0280924699202,-0.0157655112661,0.02,0,0.155333333333,0.0575937474729,0.0575182402261
Z6MFQCViBuw_2008e72476f84104858e908beeac0193,Z6MFQCViBuw,semi,4,4,2,0,0,0,0,0,0,0.000657436577682,0.000842867407285
Z6MFQCViBuw_22fff6c74efb476592569c18718feb41,Z6MFQCViBuw,manual,5,5,3,0.0262663627259,0.0309521732213,0.0046858104954,0,0,0.165333333333,0.0605481482237,0.0572270208612
Z6MFQCViBuw_22fff6c74efb476592569c18718feb41,Z6MFQCViBuw,semi,5,5,3,0.0275057282151,0,-0.0275057282151,0,0,0,0.0689509928965,0.0764048005976
Z6MFQCViBuw_59aed460238643f48f593e9b9ba1c17d,Z6MFQCViBuw,manual,5,5,3,0.0845530036351,0.0851672535211,0.000614249886,0,0,0.154,0.0581783618388,0.0389265898881
Z6MFQCViBuw_fbef2c9afec642c88d01cf09c90aec12,Z6MFQCViBuw,semi,24,24,12,0.0416945374031,0.0416846088998,-9.9285033e-06,0.0183333333333,0.06,0.131666666667,0.0463704542555,0.052959413473
