condition,mean_half,mean_full,images_improved,images_worsened,n,groups,delta,lo,hi
manual,0.114657824286,0.112972563105,69,55,124,19,-0.00168526118057,-0.00954249483987,0.00661860118999
semi,0.0462524860809,0.0430914196134,25,12,42,12,-0.00316106646748,-0.00812625058163,0.00101914244843
