feature,stratum,excluded,reason,n_test,result_file
dinov3__block11__faces_local16,储藏与家务辅助,uNb9QFRL6hY,no_training_in_stratum,2,cv/within_coarse/dinov3__block11__faces_local16.failures.csv
dinov3__block11__faces_local16,复合／待定,e9zR4mvMWw7;wc2JMjhGNzB,no_training_in_stratum,4,cv/within_coarse/dinov3__block11__faces_local16.failures.csv
dinov3__block11__faces_local16,工作与学习,uNb9QFRL6hY,no_training_in_stratum,7,cv/within_coarse/dinov3__block11__faces_local16.failures.csv
dinov3__block11__faces_local16,开放复合空间,7y3sRwLe3Va,no_training_in_stratum,4,cv/within_coarse/dinov3__block11__faces_local16.failures.csv
dinov3__block11__faces_local16,无法判断,wc2JMjhGNzB,no_training_in_stratum,1,cv/within_coarse/dinov3__block11__faces_local16.failures.csv
dinov3__block11__faces_local16,起居与休闲,pa4otMbVnkk;uNb9QFRL6hY,no_training_in_stratum,17,cv/within_coarse/dinov3__block11__faces_local16.failures.csv
dinov3__block11__faces_local16,通行与连接,B6ByNegPMKs,no_training_in_stratum,3,cv/within_coarse/dinov3__block11__faces_local16.failures.csv
dinov3__block6__faces_local96,储藏与家务辅助,uNb9QFRL6hY,no_training_in_stratum,2,cv/within_coarse/dinov3__block6__faces_local96.failures.csv
dinov3__block6__faces_local96,复合／待定,e9zR4mvMWw7;wc2JMjhGNzB,no_training_in_stratum,4,cv/within_coarse/dinov3__block6__faces_local96.failures.csv
dinov3__block6__faces_local96,工作与学习,uNb9QFRL6hY,no_training_in_stratum,7,cv/within_coarse/dinov3__block6__faces_local96.failures.csv
dinov3__block6__faces_local96,开放复合空间,7y3sRwLe3Va,no_training_in_stratum,4,cv/within_coarse/dinov3__block6__faces_local96.failures.csv
dinov3__block6__faces_local96,无法判断,wc2JMjhGNzB,no_training_in_stratum,1,cv/within_coarse/dinov3__block6__faces_local96.failures.csv
dinov3__block6__faces_local96,起居与休闲,pa4otMbVnkk;uNb9QFRL6hY,no_training_in_stratum,17,cv/within_coarse/dinov3__block6__faces_local96.failures.csv
dinov3__block6__faces_local96,通行与连接,B6ByNegPMKs,no_training_in_stratum,3,cv/within_coarse/dinov3__block6__faces_local96.failures.csv
bilayout__fg_extended__regions,储藏与家务辅助,uNb9QFRL6hY,no_training_in_stratum,2,cv/within_coarse/bilayout__fg_extended__regions.failures.csv
bilayout__fg_extended__regions,复合／待定,e9zR4mvMWw7;wc2JMjhGNzB,no_training_in_stratum,4,cv/within_coarse/bilayout__fg_extended__regions.failures.csv
bilayout__fg_extended__regions,工作与学习,uNb9QFRL6hY,no_training_in_stratum,7,cv/within_coarse/bilayout__fg_extended__regions.failures.csv
bilayout__fg_extended__regions,开放复合空间,7y3sRwLe3Va,no_training_in_stratum,4,cv/within_coarse/bilayout__fg_extended__regions.failures.csv
bilayout__fg_extended__regions,无法判断,wc2JMjhGNzB,no_training_in_stratum,1,cv/within_coarse/bilayout__fg_extended__regions.failures.csv
bilayout__fg_extended__regions,起居与休闲,pa4otMbVnkk;uNb9QFRL6hY,no_training_in_stratum,17,cv/within_coarse/bilayout__fg_extended__regions.failures.csv
bilayout__fg_extended__regions,通行与连接,B6ByNegPMKs,no_training_in_stratum,3,cv/within_coarse/bilayout__fg_extended__regions.failures.csv
dinov3__block11__faces_concat,储藏与家务辅助,uNb9QFRL6hY,no_training_in_stratum,2,cv/within_coarse/dinov3__block11__faces_concat.failures.csv
dinov3__block11__faces_concat,复合／待定,e9zR4mvMWw7;wc2JMjhGNzB,no_training_in_stratum,4,cv/within_coarse/dinov3__block11__faces_concat.failures.csv
dinov3__block11__faces_concat,工作与学习,uNb9QFRL6hY,no_training_in_stratum,7,cv/within_coarse/dinov3__block11__faces_concat.failures.csv
dinov3__block11__faces_concat,开放复合空间,7y3sRwLe3Va,no_training_in_stratum,4,cv/within_coarse/dinov3__block11__faces_concat.failures.csv
dinov3__block11__faces_concat,无法判断,wc2JMjhGNzB,no_training_in_stratum,1,cv/within_coarse/dinov3__block11__faces_concat.failures.csv
dinov3__block11__faces_concat,起居与休闲,pa4otMbVnkk;uNb9QFRL6hY,no_training_in_stratum,17,cv/within_coarse/dinov3__block11__faces_concat.failures.csv
dinov3__block11__faces_concat,通行与连接,B6ByNegPMKs,no_training_in_stratum,3,cv/within_coarse/dinov3__block11__faces_concat.failures.csv
dinov3__block6__panorama_global,储藏与家务辅助,uNb9QFRL6hY,no_training_in_stratum,2,cv/within_coarse/dinov3__block6__panorama_global.failures.csv
dinov3__block6__panorama_global,复合／待定,e9zR4mvMWw7;wc2JMjhGNzB,no_training_in_stratum,4,cv/within_coarse/dinov3__block6__panorama_global.failures.csv
dinov3__block6__panorama_global,工作与学习,uNb9QFRL6hY,no_training_in_stratum,7,cv/within_coarse/dinov3__block6__panorama_global.failures.csv
dinov3__block6__panorama_global,开放复合空间,7y3sRwLe3Va,no_training_in_stratum,4,cv/within_coarse/dinov3__block6__panorama_global.failures.csv
dinov3__block6__panorama_global,无法判断,wc2JMjhGNzB,no_training_in_stratum,1,cv/within_coarse/dinov3__block6__panorama_global.failures.csv
dinov3__block6__panorama_global,起居与休闲,pa4otMbVnkk;uNb9QFRL6hY,no_training_in_stratum,17,cv/within_coarse/dinov3__block6__panorama_global.failures.csv
dinov3__block6__panorama_global,通行与连接,B6ByNegPMKs,no_training_in_stratum,3,cv/within_coarse/dinov3__block6__panorama_global.failures.csv
da3__layer5__faces_local96,储藏与家务辅助,uNb9QFRL6hY,no_training_in_stratum,2,cv/within_coarse/da3__layer5__faces_local96.failures.csv
da3__layer5__faces_local96,复合／待定,e9zR4mvMWw7;wc2JMjhGNzB,no_training_in_stratum,4,cv/within_coarse/da3__layer5__faces_local96.failures.csv
da3__layer5__faces_local96,工作与学习,uNb9QFRL6hY,no_training_in_stratum,7,cv/within_coarse/da3__layer5__faces_local96.failures.csv
da3__layer5__faces_local96,开放复合空间,7y3sRwLe3Va,no_training_in_stratum,4,cv/within_coarse/da3__layer5__faces_local96.failures.csv
da3__layer5__faces_local96,无法判断,wc2JMjhGNzB,no_training_in_stratum,1,cv/within_coarse/da3__layer5__faces_local96.failures.csv
da3__layer5__faces_local96,起居与休闲,pa4otMbVnkk;uNb9QFRL6hY,no_training_in_stratum,17,cv/within_coarse/da3__layer5__faces_local96.failures.csv
da3__layer5__faces_local96,通行与连接,B6ByNegPMKs,no_training_in_stratum,3,cv/within_coarse/da3__layer5__faces_local96.failures.csv
dinov3__block12__panorama_mean,储藏与家务辅助,uNb9QFRL6hY,no_training_in_stratum,2,cv/within_coarse/dinov3__block12__panorama_mean.failures.csv
dinov3__block12__panorama_mean,复合／待定,e9zR4mvMWw7;wc2JMjhGNzB,no_training_in_stratum,4,cv/within_coarse/dinov3__block12__panorama_mean.failures.csv
dinov3__block12__panorama_mean,工作与学习,uNb9QFRL6hY,no_training_in_stratum,7,cv/within_coarse/dinov3__block12__panorama_mean.failures.csv
dinov3__block12__panorama_mean,开放复合空间,7y3sRwLe3Va,no_training_in_stratum,4,cv/within_coarse/dinov3__block12__panorama_mean.failures.csv
dinov3__block12__panorama_mean,无法判断,wc2JMjhGNzB,no_training_in_stratum,1,cv/within_coarse/dinov3__block12__panorama_mean.failures.csv
dinov3__block12__panorama_mean,起居与休闲,pa4otMbVnkk;uNb9QFRL6hY,no_training_in_stratum,17,cv/within_coarse/dinov3__block12__panorama_mean.failures.csv
dinov3__block12__panorama_mean,通行与连接,B6ByNegPMKs,no_training_in_stratum,3,cv/within_coarse/dinov3__block12__panorama_mean.failures.csv
hohonet__encoder_stage2__regions,储藏与家务辅助,uNb9QFRL6hY,no_training_in_stratum,2,cv/within_coarse/hohonet__encoder_stage2__regions.failures.csv
hohonet__encoder_stage2__regions,复合／待定,e9zR4mvMWw7;wc2JMjhGNzB,no_training_in_stratum,4,cv/within_coarse/hohonet__encoder_stage2__regions.failures.csv
hohonet__encoder_stage2__regions,工作与学习,uNb9QFRL6hY,no_training_in_stratum,7,cv/within_coarse/hohonet__encoder_stage2__regions.failures.csv
hohonet__encoder_stage2__regions,开放复合空间,7y3sRwLe3Va,no_training_in_stratum,4,cv/within_coarse/hohonet__encoder_stage2__regions.failures.csv
hohonet__encoder_stage2__regions,无法判断,wc2JMjhGNzB,no_training_in_stratum,1,cv/within_coarse/hohonet__encoder_stage2__regions.failures.csv
hohonet__encoder_stage2__regions,起居与休闲,pa4otMbVnkk;uNb9QFRL6hY,no_training_in_stratum,17,cv/within_coarse/hohonet__encoder_stage2__regions.failures.csv
hohonet__encoder_stage2__regions,通行与连接,B6ByNegPMKs,no_training_in_stratum,3,cv/within_coarse/hohonet__encoder_stage2__regions.failures.csv
hohonet__shared__regions,储藏与家务辅助,uNb9QFRL6hY,no_training_in_stratum,2,cv/within_coarse/hohonet__shared__regions.failures.csv
hohonet__shared__regions,复合／待定,e9zR4mvMWw7;wc2JMjhGNzB,no_training_in_stratum,4,cv/within_coarse/hohonet__shared__regions.failures.csv
hohonet__shared__regions,工作与学习,uNb9QFRL6hY,no_training_in_stratum,7,cv/within_coarse/hohonet__shared__regions.failures.csv
hohonet__shared__regions,开放复合空间,7y3sRwLe3Va,no_training_in_stratum,4,cv/within_coarse/hohonet__shared__regions.failures.csv
hohonet__shared__regions,无法判断,wc2JMjhGNzB,no_training_in_stratum,1,cv/within_coarse/hohonet__shared__regions.failures.csv
hohonet__shared__regions,起居与休闲,pa4otMbVnkk;uNb9QFRL6hY,no_training_in_stratum,17,cv/within_coarse/hohonet__shared__regions.failures.csv
hohonet__shared__regions,通行与连接,B6ByNegPMKs,no_training_in_stratum,3,cv/within_coarse/hohonet__shared__regions.failures.csv
dinov3__block6__panorama_local16,储藏与家务辅助,uNb9QFRL6hY,no_training_in_stratum,2,cv/within_coarse/dinov3__block6__panorama_local16.failures.csv
dinov3__block6__panorama_local16,复合／待定,e9zR4mvMWw7;wc2JMjhGNzB,no_training_in_stratum,4,cv/within_coarse/dinov3__block6__panorama_local16.failures.csv
dinov3__block6__panorama_local16,工作与学习,uNb9QFRL6hY,no_training_in_stratum,7,cv/within_coarse/dinov3__block6__panorama_local16.failures.csv
dinov3__block6__panorama_local16,开放复合空间,7y3sRwLe3Va,no_training_in_stratum,4,cv/within_coarse/dinov3__block6__panorama_local16.failures.csv
dinov3__block6__panorama_local16,无法判断,wc2JMjhGNzB,no_training_in_stratum,1,cv/within_coarse/dinov3__block6__panorama_local16.failures.csv
dinov3__block6__panorama_local16,起居与休闲,pa4otMbVnkk;uNb9QFRL6hY,no_training_in_stratum,17,cv/within_coarse/dinov3__block6__panorama_local16.failures.csv
dinov3__block6__panorama_local16,通行与连接,B6ByNegPMKs,no_training_in_stratum,3,cv/within_coarse/dinov3__block6__panorama_local16.failures.csv
