cohort,policy,comparator,metric,estimate,task_support,task_total,replicate_support,replicate_total,building_support,building_total,estimand_role,bootstrap_unit,bootstrap_draws,bootstrap_seed,bootstrap_success_draws,bootstrap_fail_draws,ci_low,ci_high,status,reason
historical_population_replay_78,F0,,stop@3,0.0,78,78,78000,78000,13,13,policy_development_simulation,building,1000,20260818,1000,0,0.0,0.0,ready_development_descriptive,13-building block sensitivity after task-equal aggregation
historical_population_replay_78,F0,,incremental_stop@4,0.0,78,78,78000,78000,13,13,policy_development_simulation,building,1000,20260818,1000,0,0.0,0.0,ready_development_descriptive,13-building block sensitivity after task-equal aggregation
historical_population_replay_78,F0,,reach5,1.0,78,78,78000,78000,13,13,policy_development_simulation,building,1000,20260818,1000,0,1.0,1.0,ready_development_descriptive,13-building block sensitivity after task-equal aggregation
historical_population_replay_78,F0,,mean frozen geometry submissions used,5.0,78,78,78000,78000,13,13,historical_replay_count,building,1000,20260818,1000,0,5.0,5.0,ready_development_descriptive,historical frozen-pool submission-count replay; not paid deployment cost
historical_population_replay_78,F0,,mean historical candidates examined,5.0,78,78,78000,78000,13,13,historical_replay_count,building,1000,20260818,1000,0,5.0,5.0,ready_development_descriptive,historical frozen-pool submission-count replay; not paid deployment cost
historical_population_replay_78,F0,,raw structural-failure candidates used,0.02564102564102564,78,78,78000,78000,13,13,structural_audit_lane,building,1000,20260818,1000,0,0.0,0.050505050505050504,ready_development_descriptive,13-building block sensitivity after task-equal aggregation
historical_population_replay_78,F0,,frozen repair-required candidates used,0.02564102564102564,78,78,78000,78000,13,13,repair_audit_lane,building,1000,20260818,1000,0,0.0,0.050505050505050504,ready_development_descriptive,13-building block sensitivity after task-equal aggregation
historical_population_replay_78,F0,,current-normalizer-invalid frozen candidates used,0.01282051282051282,78,78,78000,78000,13,13,parser_version_sensitivity,building,1000,20260818,1000,0,0.0,0.04054054054054054,ready_development_descriptive,13-building block sensitivity after task-equal aggregation
historical_population_replay_78,F0,,formal replacement candidates used,0.19230769230769232,78,78,78000,78000,13,13,assignment_audit_lane,building,1000,20260818,1000,0,0.1323529411764706,0.26229508196721313,ready_development_descriptive,13-building block sensitivity after task-equal aggregation
historical_population_replay_78,F0,,historical counterfactual support shortfall,0.0,78,78,78000,78000,13,13,historical_support_diagnostic,building,1000,20260818,1000,0,0.0,0.0,ready_development_descriptive,13-building block sensitivity after task-equal aggregation
historical_population_replay_78,F0,,selected-output probability,0.992474358974359,78,78,78000,78000,13,13,policy_development_simulation,building,1000,20260818,1000,0,0.9848636363636364,1.0,ready_development_descriptive,13-building block sensitivity after task-equal aggregation
historical_population_replay_78,F0,,autonomous non-delivery probability,0.007525641025641025,78,78,78000,78000,13,13,autonomous_delivery_sensitivity,building,1000,20260818,1000,0,0.0,0.015104761904761906,ready_development_descriptive,reference-evaluable autonomous-delivery sensitivity; not the full expert-fallback workflow
historical_population_replay_78,F0,,expert-escalation-required probability,0.0,78,78,78000,78000,13,13,expert_fallback_trigger,building,1000,20260818,1000,0,0.0,0.0,ready_development_descriptive,13-building block sensitivity after task-equal aggregation
historical_population_replay_78,F0,,public-GT quality,0.8782031687575551,78,78,77369,78000,13,13,diagnostic_complete_case,building,1000,20260818,1000,0,0.8573965513403283,0.9037489013552161,ready_development_descriptive,13-building block sensitivity after task-equal aggregation
historical_population_replay_78,F0,,reference-evaluable autonomous-delivery mITT quality,0.8711070511486989,78,78,77956,78000,13,13,autonomous_delivery_sensitivity,building,1000,20260818,1000,0,0.8525463351700795,0.8965457839604444,ready_development_descriptive,reference-evaluable autonomous-delivery sensitivity; not the full expert-fallback workflow
historical_population_replay_78,F0,,prefix-vs-full5 selected-output instability,,0,78,0,78000,0,13,diagnostic_complete_case,not_applicable,,,,,,,not_identifiable,no estimable task values
historical_population_replay_78,F0,,raw structural-failure probability among selected outputs,0.0,78,78,77413,78000,13,13,structural_audit_lane,building,1000,20260818,1000,0,0.0,0.0,ready_development_descriptive,13-building block sensitivity after task-equal aggregation
historical_population_replay_78,F0,,frozen-repair probability among selected outputs,0.0,78,78,77413,78000,13,13,repair_audit_lane,building,1000,20260818,1000,0,0.0,0.0,ready_development_descriptive,13-building block sensitivity after task-equal aggregation
historical_population_replay_78,F0,,current-normalizer evaluable probability among selected outputs,1.0,78,78,77413,78000,13,13,parser_version_sensitivity,building,1000,20260818,1000,0,1.0,1.0,ready_development_descriptive,13-building block sensitivity after task-equal aggregation
historical_population_replay_78,F0,,formal-replacement probability among selected outputs,0.02564102564102564,78,78,77413,78000,13,13,assignment_audit_lane,building,1000,20260818,1000,0,0.0,0.058823529411764705,ready_development_descriptive,13-building block sensitivity after task-equal aggregation
historical_population_replay_78,F0,,supported multimodality encountered,,0,78,78000,78000,0,13,separate_harm_lane,not_applicable,,,,,,,not_identifiable,no estimable task values
historical_population_replay_78,M0_corner_count_gate_geometry_medoid,,stop@3,0.846423076923077,78,78,78000,78000,13,13,policy_development_simulation,building,1000,20260818,1000,0,0.800020618556701,0.9149038461538461,ready_development_descriptive,13-building block sensitivity after task-equal aggregation
historical_population_replay_78,M0_corner_count_gate_geometry_medoid,,incremental_stop@4,0.09465384615384616,78,78,78000,78000,13,13,policy_development_simulation,building,1000,20260818,1000,0,0.05011111111111111,0.12801680672268909,ready_development_descriptive,13-building block sensitivity after task-equal aggregation
historical_population_replay_78,M0_corner_count_gate_geometry_medoid,,reach5,0.058923076923076925,78,78,78000,78000,13,13,policy_development_simulation,building,1000,20260818,1000,0,0.019074074074074073,0.08243220338983051,ready_development_descriptive,13-building block sensitivity after task-equal aggregation
historical_population_replay_78,M0_corner_count_gate_geometry_medoid,,mean frozen geometry submissions used,3.2125,78,78,78000,78000,13,13,historical_replay_count,building,1000,20260818,1000,0,3.1120943396226415,3.2765151515151514,ready_development_descriptive,historical frozen-pool submission-count replay; not paid deployment cost
historical_population_replay_78,M0_corner_count_gate_geometry_medoid,,mean historical candidates examined,3.2125,78,78,78000,78000,13,13,historical_replay_count,building,1000,20260818,1000,0,3.1120943396226415,3.2765151515151514,ready_development_descriptive,historical frozen-pool submission-count replay; not paid deployment cost
historical_population_replay_78,M0_corner_count_gate_geometry_medoid,F0,frozen geometry submission-count delta vs F0,1.7875,78,78,78000,78000,13,13,historical_replay_count,building,1000,20260818,1000,0,1.722904761904762,1.887734693877551,ready_development_descriptive,historical frozen-pool submission-count replay; not paid deployment cost
historical_population_replay_78,M0_corner_count_gate_geometry_medoid,F0,historical candidates-examined delta vs F0,1.7875,78,78,78000,78000,13,13,historical_replay_count,building,1000,20260818,1000,0,1.722904761904762,1.887734693877551,ready_development_descriptive,historical frozen-pool submission-count replay; not paid deployment cost
historical_population_replay_78,M0_corner_count_gate_geometry_medoid,,raw structural-failure candidates used,0.016538461538461537,78,78,78000,78000,13,13,structural_audit_lane,building,1000,20260818,1000,0,0.0,0.03172815533980582,ready_development_descriptive,13-building block sensitivity after task-equal aggregation
historical_population_replay_78,M0_corner_count_gate_geometry_medoid,,frozen repair-required candidates used,0.016538461538461537,78,78,78000,78000,13,13,repair_audit_lane,building,1000,20260818,1000,0,0.0,0.03172815533980582,ready_development_descriptive,13-building block sensitivity after task-equal aggregation
historical_population_replay_78,M0_corner_count_gate_geometry_medoid,,current-normalizer-invalid frozen candidates used,0.01282051282051282,78,78,78000,78000,13,13,parser_version_sensitivity,building,1000,20260818,1000,0,0.0,0.04054054054054054,ready_development_descriptive,13-building block sensitivity after task-equal aggregation
historical_population_replay_78,M0_corner_count_gate_geometry_medoid,,formal replacement candidates used,0.12369230769230768,78,78,78000,78000,13,13,assignment_audit_lane,building,1000,20260818,1000,0,0.08358653846153846,0.17208823529411765,ready_development_descriptive,13-building block sensitivity after task-equal aggregation
historical_population_replay_78,M0_corner_count_gate_geometry_medoid,,historical counterfactual support shortfall,0.0,78,78,78000,78000,13,13,historical_support_diagnostic,building,1000,20260818,1000,0,0.0,0.0,ready_development_descriptive,13-building block sensitivity after task-equal aggregation
historical_population_replay_78,M0_corner_count_gate_geometry_medoid,,selected-output probability,1.0,78,78,78000,78000,13,13,policy_development_simulation,building,1000,20260818,1000,0,1.0,1.0,ready_development_descriptive,13-building block sensitivity after task-equal aggregation
