condition,perturbation,delta_px,near_horizon,observations,valid_projections,undefined_projections,direction_error_median,abs_radius_change_median,abs_radius_change_p90,abs_radius_change_p99,abs_height_change_median
manual,bottom_y,-10,False,8273,8273,0,3.5156250000000004,0.15873505455225834,0.29733782860935642,0.96816329840055682,0.067343054497504218
manual,bottom_y,-10,True,38,30,8,3.5156250000000009,3.8003747078647541,6.029641982768303,9.8188892874604683,1.2818630844770977
manual,bottom_y,-5,False,8273,8273,0,1.7578125000000047,0.075969950560322852,0.13142084218666647,0.32997711993835893,0.03220960859487465
manual,bottom_y,-5,True,38,38,0,1.7578124999999949,0.66740036621229382,1.1127619521930474,1.3379393980160164,0.23311996225149312
manual,bottom_y,-1,False,8273,8273,0,0.35156249999999928,0.014712196136472455,0.024033229980252636,0.052729906515109295,0.0062480573270053963
manual,bottom_y,-1,True,38,38,0,0.35156249999999889,0.087169006484767442,0.11788772583293686,0.12935952536518833,0.031873040587803825
manual,bottom_y,1,False,8273,8273,0,0.35156249999999961,0.014484950387014583,0.023108999388983788,0.048133485246246617,0.0061484894230078302
manual,bottom_y,1,True,38,38,0,0.35156249999999872,0.074293122694407354,0.095457484709975851,0.10282710344525919,0.027670508547632977
manual,bottom_y,5,False,8273,8272,1,1.7578125000000047,0.07006473602682789,0.10716857027322764,0.20275882151986979,0.029751700755061505
manual,bottom_y,5,True,38,38,0,1.7578124999999951,0.28681403775576986,0.34579472740450312,0.3646599969430972,0.10950610215491408
manual,bottom_y,10,False,8273,8270,3,3.5156250000000004,0.13435059311351072,0.19646210212919243,0.33821734593622887,0.057195960889203423
manual,bottom_y,10,True,38,38,0,3.5156250000000009,0.44659339554092586,0.51457390008996551,0.53507101483899144,0.17218732961741512
manual,joint_x,-10,False,8273,8273,0,3.1587085179195928,0,0,0,0
manual,joint_x,-10,True,38,38,0,3.5124020968380174,0,0,0,0
manual,joint_x,-5,False,8273,8273,0,1.5793900786669088,0,0,0,0
manual,joint_x,-5,True,38,38,0,1.7562014271471953,0,0,0,0
manual,joint_x,-1,False,8273,8273,0,0.31588030752544105,0,0,0,0
manual,joint_x,-1,True,38,38,0,0.35124030965902153,0,0,0,0
manual,joint_x,1,False,8273,8273,0,0.31588030752539803,0,0,0,0
manual,joint_x,1,True,38,38,0,0.35124030965902109,0,0,0,0
manual,joint_x,5,False,8273,8273,0,1.579390078666866,0,0,0,0
manual,joint_x,5,True,38,38,0,1.7562014271471886,0,0,0,0
manual,joint_x,10,False,8273,8273,0,3.1587085179195538,0,0,0,0
manual,joint_x,10,True,38,38,0,3.5124020968380103,0,0,0,0
manual,top_y,-10,False,8273,8272,1,3.5156250000000009,0,0,0,0.07139994832611718
manual,top_y,-10,True,38,38,0,3.5156250000000009,0,0,0,0.52359125528566786
manual,top_y,-5,False,8273,8273,0,1.7578124999999996,0,0,0,0.034820469295536505
manual,top_y,-5,True,38,38,0,1.7578124999999944,0,0,0,0.26120176154036778
manual,top_y,-1,False,8273,8273,0,0.35156249999999911,0,0,0,0.0068137628539117756
manual,top_y,-1,True,38,38,0,0.35156249999999878,0,0,0,0.052169298506739015
manual,top_y,1,False,8273,8273,0,0.35156249999999911,0,0,0,0.0067560712334642226
manual,top_y,1,True,38,38,0,0.35156249999999878,0,0,0,0.052141694004655681
manual,top_y,5,False,8273,8263,10,1.7578124999999993,0,0,0,0.033182352740353971
manual,top_y,5,True,38,32,6,1.7578125000000004,0,0,0,0.24679464958375374
manual,top_y,10,False,8273,8184,89,3.5156250000000009,0,0,0,0.064553853981215048
manual,top_y,10,True,38,10,28,3.5156250000000009,0,0,0,0.41230748016148244
oos,bottom_y,-10,False,1250,1250,0,3.5156250000000009,0.23155373434362991,0.45191162487395503,0.73099191569829891,0.10603573655358511
oos,bottom_y,-5,False,1250,1250,0,1.7578125000000044,0.10540840379978744,0.18545805100104748,0.2688742792322194,0.048134633822150219
oos,bottom_y,-1,False,1250,1250,0,0.35156249999999911,0.019848494868639266,0.032455355317645547,0.044408496176437877,0.0089769535121224653
