beta_deg,finite_difference,analytic,error
1,-57.307416696517066,-57.30741669568765,8.2941653545276495e-10
2,-28.671174052696813,-28.671174052407352,2.8946089969394961e-10
5,-11.517540967620477,-11.517540966287267,1.33320909867507e-09
10,-5.8476088005132709,-5.8476088003261761,1.8709478410983138e-10
14.999999999999998,-4.0000000001150227,-4.0000000000000009,1.1502176988642532e-10
29.999999999999996,-2.3094010753732519,-2.3094010767585034,1.385251469088189e-09
45,-1.9999999989472752,-2,1.0527247962244246e-09
59.999999999999993,-2.309401078703921,-2.3094010767585025,1.9454184929657004e-09
