base_task_id,building_id,delta_shannon_entropy,manual_shannon_entropy,semi_shannon_entropy,semi_review_row_count,initial_quality_mean,initial_quality_median,edit_rate,edit_rmse_mean,delta_u_mean,negative_metric_change_rate_001,improving_rate_001,issue_report_rate,delta_iou_to_gt,split,metric_object,gt_variant,gt_source_type,model_sha256,gt_sha256,model_pair_encoding_valid,model_pair_count,gt_pair_count,pair_count_delta,topology_exact_bool,proposal_topology_relation,audit_problem_family,corner_f1_1pct,corner_localization_pass,corner_error_percent_diagonal,topdown_2d_iou,layoutnetv2_style_3d_iou,layout_mask_difference,boundary_rmse_px,geometry_acceptable,initialization_acceptable_bool,initialization_correct_bool,operational_initialization_band,initialization_class,difference_band,image_path,model_path,gt_path,audit_join_status,old_initial_quality_vs_current_audit_warning
7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,7y3sRwLe3Va,-0.7158003854659982,0.7158003854659982,0.0,4,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.1320394924379815,test,final_layout_as_initialization_proxy,test_hybrid_30_manual_else_official,official_mp3d_layout_label_cor_raw_not_no_occ,b0e4ed976b71a29f4a78679a739a05de841d9451c473b4d1a7275767716c8651,550b2ffb32a8ae9fe6c47215fd356c9605ea6a7758a6e00a832db74a4968cf6f,True,8,8,0,True,pair_count_exact,posthoc_strict_pass,1.0,True,0.34225762,0.96616435,0.95340149,0.02987984,3.711136,True,True,True,strict_correct,correct_initialization,correct_but_visible_difference,data/mp3d_layout/test/img/7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f.png,output/mp3d_layout/HOHO_layout_aug_efficienthc_Transen1_resnet34/7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f.txt,data/mp3d_layout/test/label_cor/7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f.txt,matched,historical U_initial is retained but is not interchangeable with current topology/continuous proposal audit
7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,7y3sRwLe3Va,0.1909542504884438,0.848766520351474,1.039720770839918,4,1.0,1.0,0.25,2.3832298038466866,-0.0256139189861418,0.75,0.0,1.0,0.0662469891928266,test,final_layout_as_initialization_proxy,test_hybrid_30_manual_else_official,official_mp3d_layout_label_cor_raw_not_no_occ,1b59c778eb1c801d65d06f227d6e084a71affb8aee698564fdf278ca1e6e8847,f77c84d8b0e2c32a02bf6538ce437b7ce78c8086d5406606904d018dcb2f996e,True,8,10,-2,False,model_fewer_pairs,model_has_fewer_corner_pairs,0.88888889,False,,0.74763298,0.73468628,0.05966553,11.016539,False,False,False,wrong_topology,wrong_initialization_topology,large_difference_topology,data/mp3d_layout/test/img/7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3.png,output/mp3d_layout/HOHO_layout_aug_efficienthc_Transen1_resnet34/7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3.txt,data/mp3d_layout/test/label_cor/7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3.txt,matched,historical U_initial is retained but is not interchangeable with current topology/continuous proposal audit
B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9,B6ByNegPMKs,-0.4498681156950466,0.4498681156950466,0.0,4,1.0,1.0,0.5,3.2471540805680994,-0.0631892323745094,0.25,0.0,0.0,0.2415786110991855,test,final_layout_as_initialization_proxy,test_hybrid_30_manual_else_official,official_mp3d_layout_label_cor_raw_not_no_occ,5a9135cc7d403ddf5327577995f448d0305a7e17431aebfc02dd868dc2fba6f1,fe7f8072e1ea8a53e42cf08b7f6a3e92533acf3323365993247008f414373fe6,True,4,4,0,True,pair_count_exact,same_pair_count_posthoc_geometry_gate_fail,1.0,True,0.58643991,0.7729039,0.71191854,0.10141063,5.989167,False,True,False,acceptable_not_strict,wrong_initialization_geometry,large_difference_geometry,data/mp3d_layout/test/img/B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9.png,output/mp3d_layout/HOHO_layout_aug_efficienthc_Transen1_resnet34/B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9.txt,data/mp3d_layout/test/label_cor/B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9.txt,matched,historical U_initial is retained but is not interchangeable with current topology/continuous proposal audit
B6ByNegPMKs_7018ca302c584d0d85024187f3568460,B6ByNegPMKs,0.5623351446188083,0.0,0.5623351446188083,4,1.0,1.0,0.5,8.372072422714815,-0.0442773249021976,0.75,0.0,0.25,-0.0026626703415877,test,final_layout_as_initialization_proxy,test_hybrid_30_manual_else_official,official_mp3d_layout_label_cor_raw_not_no_occ,f75eef4efe619cc5399ddae6107cf32d0bb44e93678aa619ad8abffad6c16062,e39016a1c87087a18f232dceee374c9bd7ee2619a58f6655eed2e55d33ab3604,True,6,4,2,False,model_more_pairs,model_has_more_corner_pairs,0.6,False,,0.96925486,0.95775578,0.06629538,20.828136,False,False,False,wrong_topology,wrong_initialization_topology,large_difference_topology,data/mp3d_layout/test/img/B6ByNegPMKs_7018ca302c584d0d85024187f3568460.png,output/mp3d_layout/HOHO_layout_aug_efficienthc_Transen1_resnet34/B6ByNegPMKs_7018ca302c584d0d85024187f3568460.txt,data/mp3d_layout/test/label_cor/B6ByNegPMKs_7018ca302c584d0d85024187f3568460.txt,matched,historical U_initial is retained but is not interchangeable with current topology/continuous proposal audit
B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,B6ByNegPMKs,0.1249633654708461,0.4373717791479621,0.5623351446188083,4,1.0,1.0,0.0,0.0,-0.0841278281664193,0.75,0.0,0.75,0.1265234361849427,test,final_layout_as_initialization_proxy,test_hybrid_30_manual_else_official,official_mp3d_layout_label_cor_raw_not_no_occ,7eb10ac01f5a5037254dbbfec5f52c8d2e2a7ef1174e7ba53088226034dda4b4,f86caf4129bdb62869e3e09d3675bd0fb82adf6cbbd434b14389c096e9e78ec6,True,6,6,0,True,pair_count_exact,same_pair_count_corner_localization_difference,0.5,False,3.55686541,0.64939513,0.61749987,0.2710269,41.783691,False,False,False,not_acceptable_same_topology,wrong_initialization_localization,large_difference_localization,data/mp3d_layout/test/img/B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37.png,output/mp3d_layout/HOHO_layout_aug_efficienthc_Transen1_resnet34/B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37.txt,data/mp3d_layout/test/label_cor/B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37.txt,matched,historical U_initial is retained but is not interchangeable with current topology/continuous proposal audit
UwV83HsGsw3_0f1385fc03994285ad8253b49516d77b,UwV83HsGsw3,-0.3465735902799727,1.3862943611198906,1.039720770839918,4,,,0.0,,,0.0,0.0,0.75,,test,final_layout_as_initialization_proxy,test_hybrid_30_manual_else_official,official_mp3d_layout_label_cor_raw_not_no_occ,5f8bd421bd8ed28200cf6acdebc7394fb50c9d99829b5ecc8a6f4135dbdd3018,45febd97ab3f12f9b06f2315b6eb96d80aa9b572a7aab2447a8a54466d2bb5f4,True,10,12,-2,False,model_fewer_pairs,model_has_fewer_corner_pairs,0.63636364,False,,0.79647289,0.74153004,0.23486766,41.849186,False,False,False,wrong_topology,wrong_initialization_topology,large_difference_topology,data/mp3d_layout/test/img/UwV83HsGsw3_0f1385fc03994285ad8253b49516d77b.png,output/mp3d_layout/HOHO_layout_aug_efficienthc_Transen1_resnet34/UwV83HsGsw3_0f1385fc03994285ad8253b49516d77b.txt,data/mp3d_layout/test/label_cor/UwV83HsGsw3_0f1385fc03994285ad8253b49516d77b.txt,matched,historical U_initial is retained but is not interchangeable with current topology/continuous proposal audit
UwV83HsGsw3_a3630444bbd94cd6ac4edbe2dc1221de,UwV83HsGsw3,0.0693147180559946,0.9704060527839232,1.039720770839918,4,1.0,1.0,0.25,5.198155501490484,-0.1125484681431876,1.0,0.0,0.5,0.017289350062248,test,final_layout_as_initialization_proxy,test_hybrid_30_manual_else_official,official_mp3d_layout_label_cor_raw_not_no_occ,e8c6489280d4f41e16d403ff95d4d7a7ceccfe990c441c53b29001c518a99ee2,f7b549e898a82f33c1f757c22f5633f27ac25f472f167d544f4b58f6a3aea6c6,True,6,6,0,True,pair_count_exact,posthoc_strict_pass,1.0,True,0.26026296,0.95124084,0.93374556,0.01945533,2.799785,True,True,True,strict_correct,correct_initialization,correct_but_visible_difference,data/mp3d_layout/test/img/UwV83HsGsw3_a3630444bbd94cd6ac4edbe2dc1221de.png,output/mp3d_layout/HOHO_layout_aug_efficienthc_Transen1_resnet34/UwV83HsGsw3_a3630444bbd94cd6ac4edbe2dc1221de.txt,data/mp3d_layout/test/label_cor/UwV83HsGsw3_a3630444bbd94cd6ac4edbe2dc1221de.txt,matched,historical U_initial is retained but is not interchangeable with current topology/continuous proposal audit
X7HyMhZNoso_b6f452209a62499795e5bd137214a7f9,X7HyMhZNoso,-0.2864313757326657,0.848766520351474,0.5623351446188083,4,1.0,1.0,0.25,1.4122071291696163,-0.0470549992912244,0.5,0.0,0.75,0.0275094209437851,test,final_layout_as_initialization_proxy,test_hybrid_30_manual_else_official,official_mp3d_layout_label_cor_raw_not_no_occ,7a592c6ca7b63154f9b3d2b84e56cf6e28c5eecbf592b88f5cbf06bfc3611d18,967a2dd46ab77bf9003737e8b42a5d425d42072aba06d5830606cce7c029dea9,True,12,4,8,False,model_more_pairs,model_has_more_corner_pairs,0.375,False,,0.77658052,0.76117745,0.1105654,18.706068,False,False,False,wrong_topology,wrong_initialization_topology,large_difference_topology,data/mp3d_layout/test/img/X7HyMhZNoso_b6f452209a62499795e5bd137214a7f9.png,output/mp3d_layout/HOHO_layout_aug_efficienthc_Transen1_resnet34/X7HyMhZNoso_b6f452209a62499795e5bd137214a7f9.txt,data/mp3d_layout/test/label_cor/X7HyMhZNoso_b6f452209a62499795e5bd137214a7f9.txt,matched,historical U_initial is retained but is not interchangeable with current topology/continuous proposal audit
Z6MFQCViBuw_2008e72476f84104858e908beeac0193,Z6MFQCViBuw,0.0,0.0,0.0,4,1.0,1.0,0.25,0.3379084411510539,-0.0004214337036422,0.0,0.0,0.0,0.060937617238794,test,final_layout_as_initialization_proxy,test_hybrid_30_manual_else_official,official_mp3d_layout_label_cor_raw_not_no_occ,c4d0199f3ad46fd7e8eac0a82abbb40eb174c98f0f2cdfb91e2612d2f4c3ccd2,982de3566bdb264cd50b028062958c98e7000ee1e695a90e1f90be57c076be76,True,4,4,0,True,pair_count_exact,same_pair_count_corner_localization_difference,0.625,False,0.78398722,0.53785469,0.45747379,0.11703947,10.963056,False,False,False,not_acceptable_same_topology,wrong_initialization_localization,large_difference_localization,data/mp3d_layout/test/img/Z6MFQCViBuw_2008e72476f84104858e908beeac0193.png,output/mp3d_layout/HOHO_layout_aug_efficienthc_Transen1_resnet34/Z6MFQCViBuw_2008e72476f84104858e908beeac0193.txt,data/mp3d_layout/test/label_cor/Z6MFQCViBuw_2008e72476f84104858e908beeac0193.txt,matched,historical U_initial is retained but is not interchangeable with current topology/continuous proposal audit
Z6MFQCViBuw_22fff6c74efb476592569c18718feb41,Z6MFQCViBuw,0.0,0.0,0.0,5,1.0,1.0,0.4,3.516633162736799,-0.0307055143610892,0.4,0.0,0.0,0.0245219054193409,test,final_layout_as_initialization_proxy,test_hybrid_30_manual_else_official,official_mp3d_layout_label_cor_raw_not_no_occ,2fe76a5460a119a47c7516297aeba77f68c6c1a62d81634dbb9e12f23a5d1b43,6bb3d5e1e7004a48905b80145343d6a7a1d6d2385688c90772181eb4c8073cbe,True,6,4,2,False,model_more_pairs,model_has_more_corner_pairs,0.8,False,,0.78854719,0.69668655,0.13130311,28.310162,False,False,False,wrong_topology,wrong_initialization_topology,large_difference_topology,data/mp3d_layout/test/img/Z6MFQCViBuw_22fff6c74efb476592569c18718feb41.png,output/mp3d_layout/HOHO_layout_aug_efficienthc_Transen1_resnet34/Z6MFQCViBuw_22fff6c74efb476592569c18718feb41.txt,data/mp3d_layout/test/label_cor/Z6MFQCViBuw_22fff6c74efb476592569c18718feb41.txt,matched,historical U_initial is retained but is not interchangeable with current topology/continuous proposal audit
