historical_proposal_topology_relation,task_count,building_count,mean_delta_shannon_entropy,mean_delta_iou_to_gt,mean_edit_rate,mean_issue_report_rate
historical_model_more_pairs,1,1,1.3862943611198906,-0.0736688499831718,0.0,0.75
historical_pair_count_exact,24,9,-0.06818450376567127,0.061938181678705205,0.2791666666666667,0.4708333333333334
