audit_problem_family,worker_issue_tokens,row_count,task_count,worker_count,mean_delta_U,compatible_rate
model_has_fewer_corner_pairs,acceptable,8,5,5,-0.06074437552768522,0.0
model_has_fewer_corner_pairs,over_parsing,7,5,7,-0.034586578720943575,0.0
model_has_fewer_corner_pairs,overextend_adjacent,3,2,2,-0.04243127740693544,0.0
model_has_fewer_corner_pairs,corner_drift,2,1,2,-0.03148466921422125,0.0
model_has_fewer_corner_pairs,corner_drift;corner_duplicate,2,1,2,,0.0
model_has_fewer_corner_pairs,corner_duplicate;over_parsing,2,1,2,,0.0
model_has_fewer_corner_pairs,corner_duplicate;underextend,2,2,2,-0.03141998658737475,1.0
model_has_fewer_corner_pairs,corner_drift;fail,1,1,1,-0.077459319294993,1.0
model_has_fewer_corner_pairs,corner_drift;fail;over_parsing;overextend_adjacent;underextend,1,1,1,,1.0
model_has_fewer_corner_pairs,corner_drift;overextend_adjacent,1,1,1,-0.0232242743141853,0.0
model_has_fewer_corner_pairs,corner_duplicate,1,1,1,0.0,0.0
model_has_fewer_corner_pairs,underextend,1,1,1,-0.1116652545636601,1.0
model_has_more_corner_pairs,acceptable,19,7,14,-0.028292164046878114,0.0
model_has_more_corner_pairs,underextend,4,2,4,-0.0670934023636279,0.0
model_has_more_corner_pairs,corner_drift,1,1,1,,0.0
model_has_more_corner_pairs,corner_drift;corner_duplicate,1,1,1,-0.005884320508868,1.0
model_has_more_corner_pairs,corner_drift;corner_duplicate;over_parsing,1,1,1,-0.2357336115391259,1.0
model_has_more_corner_pairs,corner_duplicate;over_parsing,1,1,1,-0.0892675048966655,1.0
model_has_more_corner_pairs,over_parsing,1,1,1,0.0,1.0
model_has_more_corner_pairs,overextend_adjacent,1,1,1,-0.0597750254762091,1.0
posthoc_strict_pass,acceptable,10,4,8,-0.05922984556131957,1.0
posthoc_strict_pass,corner_drift,3,2,3,-0.010934792527589533,0.0
posthoc_strict_pass,over_parsing,2,2,2,-0.0437602004150687,0.0
posthoc_strict_pass,corner_drift;topology_failure,1,1,1,0.0,0.0
posthoc_strict_pass,over_parsing;overextend_adjacent,1,1,1,0.0,0.0
posthoc_strict_pass,underextend,1,1,1,-0.0967375821698163,0.0
same_pair_count_corner_localization_difference,acceptable,14,6,13,-0.009627035572496239,0.0
same_pair_count_corner_localization_difference,corner_drift,2,2,2,-0.0562741179031524,1.0
same_pair_count_corner_localization_difference,corner_drift;over_parsing,2,1,2,-0.1291419298010746,1.0
same_pair_count_corner_localization_difference,over_parsing,2,2,2,-0.0782274530635281,0.0
same_pair_count_corner_localization_difference,overextend_adjacent,2,1,2,-0.12158347280978185,0.0
same_pair_count_corner_localization_difference,corner_drift;overextend_adjacent,1,1,1,,1.0
same_pair_count_corner_localization_difference,corner_duplicate;over_parsing,1,1,1,,0.0
same_pair_count_posthoc_geometry_gate_fail,acceptable,4,1,4,-0.06318923237450948,0.0
