split,n,topology_pair_count_exact_n,topology_pair_count_exact_rate,mean_topdown_2d_iou,mean_derived_3d_iou,posthoc_strict_pass_n,posthoc_acceptable_n,confirmed_manual_reference_n
test,458,287,0.6266375545851528,0.8211811442139738,0.7968060790611353,95,238,30
validation,190,163,0.8578947368421053,0.925797802736842,0.9163793902105265,148,156,0
