reading,representation,common_canonical,strict_preference_sign_changed,old_exact_zero,new_exact_zero,opposing_nonzero_signs,numeric_zero_tolerance,numeric_zero_old,numeric_zero_new,preference_sign_changed_with_numeric_zero,opposing_nonzero_signs_with_numeric_zero,opposing_sign_max_absolute_delta_median,opposing_sign_max_absolute_delta_p90,numeric_opposing_sign_max_absolute_delta_median,numeric_opposing_sign_max_absolute_delta_p90,max_absolute_delta_change,median_absolute_delta_change
historical_pairmap_unaveraged,pixel_center_integer,2335,47,742,742,47,1e-12,742,742,47,47,0.0013557626083186003,0.008384625687902523,0.0013557626083186003,0.008384625687902523,0.02239324386352748,8.056342122153559e-05
historical_pairmap_unaveraged,native_uv,2335,999,742,0,257,1e-12,742,0,999,257,0.0015503069714808415,0.004255754976509008,0.0015503069714808415,0.004255754976509008,0.030223900167307582,0.0012308089176717996
serialized_adjacency,pixel_center_integer,1597,28,570,570,28,1e-12,570,570,28,28,0.001562556029966078,0.0056795973895160685,0.001562556029966078,0.0056795973895160685,0.02239324386352748,5.665099358809211e-05
serialized_adjacency,native_uv,1597,748,570,0,178,1e-12,570,0,748,178,0.0015345613131202973,0.004240138282363948,0.0015345613131202973,0.004240138282363948,0.030223900167307582,0.0011981397824026851
