reading,stratum,minimum_calculable_people,representation,contexts,images,buildings,spearman_rho
historical_pairmap_unaveraged,P1|semi,2,legacy_integer,18,18,10,0.1586127601776173
historical_pairmap_unaveraged,P1|semi,2,pixel_center_integer,18,18,10,0.1586127601776173
historical_pairmap_unaveraged,P1|semi,2,native_uv,18,18,10,0.11248710010319916
historical_pairmap_unaveraged,P1|semi,3,legacy_integer,18,18,10,0.1586127601776173
historical_pairmap_unaveraged,P1|semi,3,pixel_center_integer,18,18,10,0.1586127601776173
historical_pairmap_unaveraged,P1|semi,3,native_uv,18,18,10,0.11248710010319916
historical_pairmap_unaveraged,P1|semi,5,legacy_integer,18,18,10,0.1586127601776173
historical_pairmap_unaveraged,P1|semi,5,pixel_center_integer,18,18,10,0.1586127601776173
historical_pairmap_unaveraged,P1|semi,5,native_uv,18,18,10,0.11248710010319916
serialized_adjacency,all,2,legacy_integer,190,161,20,0.15087231582859026
serialized_adjacency,all,2,pixel_center_integer,190,161,20,0.15099807154056458
serialized_adjacency,all,2,native_uv,190,161,20,0.1726490851608236
serialized_adjacency,all,3,legacy_integer,151,134,16,0.21811049435218735
serialized_adjacency,all,3,pixel_center_integer,151,134,16,0.21825508143387354
serialized_adjacency,all,3,native_uv,151,134,16,0.24765637664900922
serialized_adjacency,all,5,legacy_integer,90,87,16,0.3291865351651917
serialized_adjacency,all,5,pixel_center_integer,90,87,16,0.3302212930834761
serialized_adjacency,all,5,native_uv,90,87,16,0.3681405294003644
serialized_adjacency,C1|manual,2,legacy_integer,80,80,13,0.12748370932557623
serialized_adjacency,C1|manual,2,pixel_center_integer,80,80,13,0.12623294357321496
serialized_adjacency,C1|manual,2,native_uv,80,80,13,0.1475152367557431
serialized_adjacency,C1|manual,3,legacy_integer,69,69,13,0.16643627985098525
serialized_adjacency,C1|manual,3,pixel_center_integer,69,69,13,0.16482039363883974
serialized_adjacency,C1|manual,3,native_uv,69,69,13,0.1441724515893314
serialized_adjacency,C1|manual,5,legacy_integer,27,27,9,0.03668607159721361
serialized_adjacency,C1|manual,5,pixel_center_integer,27,27,9,0.03974324423031474
serialized_adjacency,C1|manual,5,native_uv,27,27,9,0.020757020757020756
serialized_adjacency,C1|semi,2,legacy_integer,24,24,9,-0.21933123953031095
serialized_adjacency,C1|semi,2,pixel_center_integer,24,24,9,-0.21933123953031095
serialized_adjacency,C1|semi,2,native_uv,24,24,9,-0.10002174622185106
serialized_adjacency,C1|semi,3,legacy_integer,21,21,8,-0.16737818778945796
serialized_adjacency,C1|semi,3,pixel_center_integer,21,21,8,-0.16737818778945796
serialized_adjacency,C1|semi,3,native_uv,21,21,8,0.025982463208607455
serialized_adjacency,C1|semi,5,legacy_integer,3,3,3,
serialized_adjacency,C1|semi,5,pixel_center_integer,3,3,3,
serialized_adjacency,C1|semi,5,native_uv,3,3,3,
serialized_adjacency,C2-A-RP|manual,2,legacy_integer,11,7,5,-0.036956330714167054
