image_id,representation,enclosed_status,extended_status,d_bi,numeric_warning
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,legacy_integer,computable,computable,0.006161733993663598,
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,pixel_center_integer,computable,computable,0.006165309596312674,
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,native_uv,computable,computable,0.0020958145010955276,
2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,legacy_integer,computable,computable,0.0,
2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,pixel_center_integer,computable,computable,0.0,
2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,native_uv,computable,computable,0.0003468756753352009,
2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,legacy_integer,computable,computable,0.0,
2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,pixel_center_integer,computable,computable,0.0,
2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,native_uv,computable,computable,0.0017138578689980255,
7y3sRwLe3Va_0e9fdd85e24a4a35b3dc1e8cb76ebb09,legacy_integer,computable,computable,0.007394621650847255,
7y3sRwLe3Va_0e9fdd85e24a4a35b3dc1e8cb76ebb09,pixel_center_integer,computable,computable,0.007385058839402325,
7y3sRwLe3Va_0e9fdd85e24a4a35b3dc1e8cb76ebb09,native_uv,computable,computable,0.007194826800503318,
7y3sRwLe3Va_0eb1323894e041efa23d2f3e60efbe44,legacy_integer,computable,computable,0.038522876849400034,
7y3sRwLe3Va_0eb1323894e041efa23d2f3e60efbe44,pixel_center_integer,computable,computable,0.03848192304604692,
7y3sRwLe3Va_0eb1323894e041efa23d2f3e60efbe44,native_uv,computable,computable,0.03070163068723586,
7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,legacy_integer,computable,computable,0.012139144685237024,
7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,pixel_center_integer,computable,computable,0.012160886324955045,
7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,native_uv,computable,computable,0.009708270704767874,
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,legacy_integer,computable,computable,0.0,
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,pixel_center_integer,computable,computable,0.0,
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,native_uv,computable,computable,0.0006167429206651587,
7y3sRwLe3Va_155fac2d50764bf09feb6c8f33e8fb76,legacy_integer,computable,computable,0.01315014013080984,
