condition,responses,images,workers,valid_responses,valid_images,explicit_unassisted_included,invalid_or_excluded_geometry
manual,1634,187,24,1620,187,1627,14
oos_geometry,216,9,24,212,9,216,4
semi,538,43,24,532,43,0,6
