condition,prefix_k,feature,target,images,MAE,buildings
manual,2,cold_portrait,future_new_geometry_rate,144,0.262914877836,21
manual,2,cold_portrait,future_new_point_rate,144,0.260073338055,21
manual,2,cold_portrait,future_unsupported_geometry_rate,144,0.306744654438,21
manual,2,cold_portrait,new_supported_future_mode,144,0.313056811035,21
manual,2,cold_portrait,prefix_future_mass_TV,144,0.248393236938,21
manual,2,horizon_only,future_new_geometry_rate,144,0.327416248079,21
manual,2,horizon_only,future_new_point_rate,144,0.286254153367,21
manual,2,horizon_only,future_unsupported_geometry_rate,144,0.393445076793,21
manual,2,horizon_only,new_supported_future_mode,144,0.320662011394,21
manual,2,horizon_only,prefix_future_mass_TV,144,0.284635413521,21
manual,2,portrait_plus_prefix,future_new_geometry_rate,144,0.249745806766,21
manual,2,portrait_plus_prefix,future_new_point_rate,144,0.250853452429,21
manual,2,portrait_plus_prefix,future_unsupported_geometry_rate,144,0.137026306863,21
manual,2,portrait_plus_prefix,new_supported_future_mode,144,0.309447414097,21
manual,2,portrait_plus_prefix,prefix_future_mass_TV,144,0.21333532057,21
manual,2,prefix_only,future_new_geometry_rate,144,0.284962573804,21
manual,2,prefix_only,future_new_point_rate,144,0.257765001021,21
manual,2,prefix_only,future_unsupported_geometry_rate,144,0.130217582521,21
manual,2,prefix_only,new_supported_future_mode,144,0.302221208553,21
manual,2,prefix_only,prefix_future_mass_TV,144,0.229232415572,21
manual,3,cold_portrait,future_new_geometry_rate,133,0.287461750324,20
manual,3,cold_portrait,future_new_point_rate,133,0.244471319522,20
manual,3,cold_portrait,future_unsupported_geometry_rate,133,0.303993332663,20
manual,3,cold_portrait,new_supported_future_mode,133,0.252831325399,20
manual,3,cold_portrait,prefix_future_mass_TV,133,0.243628764636,20
manual,3,horizon_only,future_new_geometry_rate,133,0.329628293969,20
manual,3,horizon_only,future_new_point_rate,133,0.268857126556,20
manual,3,horizon_only,future_unsupported_geometry_rate,133,0.395829033668,20
manual,3,horizon_only,new_supported_future_mode,133,0.248636048137,20
manual,3,horizon_only,prefix_future_mass_TV,133,0.275694569572,20
manual,3,portrait_plus_prefix,future_new_geometry_rate,133,0.262473224568,20
manual,3,portrait_plus_prefix,future_new_point_rate,133,0.237715875102,20
manual,3,portrait_plus_prefix,future_unsupported_geometry_rate,133,0.211342341001,20
manual,3,portrait_plus_prefix,new_supported_future_mode,133,0.248601195735,20
manual,3,portrait_plus_prefix,prefix_future_mass_TV,133,0.207176465629,20
manual,3,prefix_only,future_new_geometry_rate,133,0.266164677318,20
