condition,prefix_k,target,feature,baseline,method_MAE,baseline_MAE,n,groups,delta,lo,hi
manual,3,prefix_future_mass_TV,prefix_only,cold_portrait,0.20068498764,0.243628764636,133,20,-0.0429437769961,-0.0655768260758,-0.0147288141646
manual,3,prefix_future_mass_TV,portrait_plus_prefix,prefix_only,0.207176465629,0.20068498764,133,20,0.00649147798918,-0.010557686751,0.0211196150014
manual,3,prefix_future_mass_TV,portrait_plus_prefix,cold_portrait,0.207176465629,0.243628764636,133,20,-0.0364522990069,-0.0486817055823,-0.0203469387555
manual,3,prefix_future_mass_TV,cold_portrait,horizon_only,0.243628764636,0.275694569572,133,20,-0.0320658049359,-0.0607779360659,-0.0095903110955
manual,5,future_new_geometry_rate,prefix_only,cold_portrait,0.200275018231,0.260079717009,71,17,-0.0598046987779,-0.12419124015,-0.0107498107561
manual,5,future_new_geometry_rate,portrait_plus_prefix,prefix_only,0.232626014889,0.200275018231,71,17,0.0323509966572,-0.00324046618115,0.080138207633
manual,5,future_new_geometry_rate,portrait_plus_prefix,cold_portrait,0.232626014889,0.260079717009,71,17,-0.0274537021207,-0.0481380220524,-0.00943966140161
manual,5,future_new_geometry_rate,cold_portrait,horizon_only,0.260079717009,0.301495287184,71,17,-0.0414155701747,-0.0886539761414,0.0167876472183
manual,5,future_new_point_rate,prefix_only,cold_portrait,0.143890990041,0.151562276396,71,17,-0.00767128635469,-0.049870509885,0.0256053069069
manual,5,future_new_point_rate,portrait_plus_prefix,prefix_only,0.147363178068,0.143890990041,71,17,0.00347218802628,-0.0234135515261,0.0346006200424
manual,5,future_new_point_rate,portrait_plus_prefix,cold_portrait,0.147363178068,0.151562276396,71,17,-0.00419909832841,-0.0199679168304,0.00708536010391
manual,5,future_new_point_rate,cold_portrait,horizon_only,0.151562276396,0.175889380634,71,17,-0.0243271042382,-0.0518203269058,0.0150292584984
manual,5,future_unsupported_geometry_rate,prefix_only,cold_portrait,0.185885696195,0.332380548281,71,17,-0.146494852086,-0.224302369629,-0.0831488203403
manual,5,future_unsupported_geometry_rate,portrait_plus_prefix,prefix_only,0.223046273198,0.185885696195,71,17,0.0371605770023,0.0113523304945,0.0732704224765
manual,5,future_unsupported_geometry_rate,portrait_plus_prefix,cold_portrait,0.223046273198,0.332380548281,71,17,-0.109334275084,-0.155923038054,-0.0668166514449
manual,5,future_unsupported_geometry_rate,cold_portrait,horizon_only,0.332380548281,0.407421340598,71,17,-0.0750407923164,-0.118208007362,-0.0250994418
manual,5,new_supported_future_mode,prefix_only,cold_portrait,0.285931397186,0.317613751151,71,17,-0.031682353965,-0.0817391231793,0.00554916947225
manual,5,new_supported_future_mode,portrait_plus_prefix,prefix_only,0.300512846523,0.285931397186,71,17,0.0145814493371,-0.0141209620729,0.060718475065
manual,5,new_supported_future_mode,portrait_plus_prefix,cold_portrait,0.300512846523,0.317613751151,71,17,-0.017100904628,-0.0334400733994,-0.000165095112871
manual,5,new_supported_future_mode,cold_portrait,horizon_only,0.317613751151,0.339161233103,71,17,-0.021547481952,-0.0630102514205,0.0420336299377
manual,5,prefix_future_mass_TV,prefix_only,cold_portrait,0.13714151675,0.266113015482,71,17,-0.128971498731,-0.184255575341,-0.0864319342709
manual,5,prefix_future_mass_TV,portrait_plus_prefix,prefix_only,0.175736792254,0.13714151675,71,17,0.0385952755032,0.0148913118683,0.0751323505339
manual,5,prefix_future_mass_TV,portrait_plus_prefix,cold_portrait,0.175736792254,0.266113015482,71,17,-0.0903762232279,-0.125465693885,-0.0614159359246
manual,5,prefix_future_mass_TV,cold_portrait,horizon_only,0.266113015482,0.272703121506,71,17,-0.00659010602445,-0.0460093789438,0.0354286957739
semi,2,future_new_geometry_rate,prefix_only,cold_portrait,0.245702436458,0.330049409693,43,12,-0.0843469732352,-0.13420188795,-0.0364298363807
semi,2,future_new_geometry_rate,portrait_plus_prefix,prefix_only,0.328745001337,0.245702436458,43,12,0.083042564879,0.0406184107644,0.12558117173
semi,2,future_new_geometry_rate,portrait_plus_prefix,cold_portrait,0.328745001337,0.330049409693,43,12,-0.00130440835627,-0.016304632124,0.0116544552416
semi,2,future_new_geometry_rate,cold_portrait,horizon_only,0.330049409693,0.259202680056,43,12,0.0708467296366,0.0250225487841,0.126910693513
semi,2,future_new_point_rate,prefix_only,cold_portrait,0.214780005971,0.240814148646,43,12,-0.0260341426745,-0.0790898351727,0.0175741833885
semi,2,future_new_point_rate,portrait_plus_prefix,prefix_only,0.245368538925,0.214780005971,43,12,0.0305885329539,-0.015851223345,0.0821494549479
semi,2,future_new_point_rate,portrait_plus_prefix,cold_portrait,0.245368538925,0.240814148646,43,12,0.00455439027944,-0.00784157961709,0.0185887605987
semi,2,future_new_point_rate,cold_portrait,horizon_only,0.240814148646,0.210359155923,43,12,0.0304549927229,-0.00269902623173,0.0783680647476
semi,2,future_unsupported_geometry_rate,prefix_only,cold_portrait,0.142043403506,0.509732012624,43,12,-0.367688609117,-0.419423909693,-0.288595516707
semi,2,future_unsupported_geometry_rate,portrait_plus_prefix,prefix_only,0.218695625357,0.142043403506,43,12,0.0766522218503,0.0430242919099,0.101580659443
semi,2,future_unsupported_geometry_rate,portrait_plus_prefix,cold_portrait,0.218695625357,0.509732012624,43,12,-0.291036387267,-0.335441302796,-0.227022372859
semi,2,future_unsupported_geometry_rate,cold_portrait,horizon_only,0.509732012624,0.422694051543,43,12,0.0870379610804,0.00203417343293,0.142255919974
semi,2,new_supported_future_mode,prefix_only,cold_portrait,0.263212541079,0.354548854561,43,12,-0.0913363134819,-0.175289285479,-0.0233145717711
semi,2,new_supported_future_mode,portrait_plus_prefix,prefix_only,0.373083015572,0.263212541079,43,12,0.109870474493,0.0436000726428,0.198339499272
semi,2,new_supported_future_mode,portrait_plus_prefix,cold_portrait,0.373083015572,0.354548854561,43,12,0.0185341610112,-0.000845227667311,0.0475745893233
semi,2,new_supported_future_mode,cold_portrait,horizon_only,0.354548854561,0.259712122148,43,12,0.094836732413,0.0342649884418,0.173439861585
semi,2,prefix_future_mass_TV,prefix_only,cold_portrait,0.18627752682,0.351909965312,43,12,-0.165632438492,-0.211962228202,-0.117300021569
semi,2,prefix_future_mass_TV,portrait_plus_prefix,prefix_only,0.243396286844,0.18627752682,43,12,0.057118760024,0.0297540337728,0.0832675174124
semi,2,prefix_future_mass_TV,portrait_plus_prefix,cold_portrait,0.243396286844,0.351909965312,43,12,-0.108513678468,-0.142297695457,-0.0748787788177
