image_id,building,condition,scene,candidate,selection_source,training_workers,actual_workers,n_subgroup,n_all,training_recovery,subgroup_stable_fraction,matched_n_untyped_stable_fraction,delta,control_draws,control_orders,not_independent_population_samples,reason
B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993,B6ByNegPMKs,manual,通行与连接,local_Q,training_local_recovery,W001;W006;W008;W010;W011;W012;W013;W014;W028;W029;W030;W031;W032;W033;W034;W035;W036;W037,W001;W006;W008;W010;W011;W012;W013;W014;W028;W029;W030;W031;W032;W033;W034;W035;W036;W037,17,23,0.888888888889,0,0,0,20,4,True,subgroup_has_invalid_person_but_control_was_all_geometry_valid; not_same_denominator
B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993,B6ByNegPMKs,manual,通行与连接,continuous_tail_manual__log_active_seconds_high,training_score_quartile_not_a_global_typology,W027;W029;W032;W033;W036;W037,W027;W029;W032;W033;W036;W037,5,23,,0,0,0,20,4,True,subgroup_has_invalid_person_but_control_was_all_geometry_valid; not_same_denominator
B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993,B6ByNegPMKs,manual,通行与连接,continuous_tail_manual__point_count_high,training_score_quartile_not_a_global_typology,W001;W002;W011;W017;W027;W032,W001;W002;W011;W017;W027;W032,5,23,,0,0,0,20,4,True,subgroup_has_invalid_person_but_control_was_all_geometry_valid; not_same_denominator
B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993,B6ByNegPMKs,manual,通行与连接,continuous_tail_manual__reference_band_bias_low,training_score_quartile_not_a_global_typology,W001;W012;W027;W032;W034;W035,W001;W012;W027;W032;W034;W035,5,23,,0,0,0,20,4,True,subgroup_has_invalid_person_but_control_was_all_geometry_valid; not_same_denominator
B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993,B6ByNegPMKs,manual,通行与连接,continuous_tail_semi__point_count_high,training_score_quartile_not_a_global_typology,W006;W011;W015;W021;W032;W037,W006;W011;W015;W021;W032;W037,5,23,,0,0,0,20,4,True,subgroup_has_invalid_person_but_control_was_all_geometry_valid; not_same_denominator
S9hNv5qa7GM_0c2a97f049db4a429776940850fedf2e,S9hNv5qa7GM,manual,卫浴,local_T,training_local_recovery,W001;W002;W006;W010;W012;W013;W017;W021;W030,W001;W002;W006;W010;W012;W013;W017;W030,7,19,1,0,0,0,20,4,True,subgroup_has_invalid_person_but_control_was_all_geometry_valid; not_same_denominator
S9hNv5qa7GM_0c2a97f049db4a429776940850fedf2e,S9hNv5qa7GM,manual,卫浴,local_TB,training_local_recovery,W001;W002;W010;W012;W013;W017;W018;W030,W001;W002;W010;W012;W013;W017;W030,6,19,0.8375,0,0.0375,-0.0375,20,4,True,subgroup_has_invalid_person_but_control_was_all_geometry_valid; not_same_denominator
S9hNv5qa7GM_0c2a97f049db4a429776940850fedf2e,S9hNv5qa7GM,manual,卫浴,continuous_tail_manual__point_count_high,training_score_quartile_not_a_global_typology,W001;W002;W011;W017;W027;W032,W001;W002;W011;W017;W032,4,19,,0,0.0875,-0.0875,20,4,True,subgroup_has_invalid_person_but_control_was_all_geometry_valid; not_same_denominator
S9hNv5qa7GM_0c2a97f049db4a429776940850fedf2e,S9hNv5qa7GM,manual,卫浴,continuous_tail_semi__point_count_low,training_score_quartile_not_a_global_typology,W002;W027;W028;W029;W030;W034,W002;W028;W029;W030;W034,4,19,,0,0.075,-0.075,20,4,True,subgroup_has_invalid_person_but_control_was_all_geometry_valid; not_same_denominator
UwV83HsGsw3_a3630444bbd94cd6ac4edbe2dc1221de,UwV83HsGsw3,manual,卧室,local_Q,training_local_recovery,W001;W006;W008;W010;W011;W012;W013;W014;W028;W029;W030;W031;W032;W033;W034;W035;W036;W037,W001;W013;W014;W030;W031;W035,5,6,0.837719298246,0,0,0,20,4,True,subgroup_has_invalid_person_but_control_was_all_geometry_valid; not_same_denominator
VFuaQ6m2Qom_ad4c387f8175498491966703c8441e0d,VFuaQ6m2Qom,manual,卫浴,local_Q,training_local_recovery,W001;W006;W008;W010;W011;W012;W013;W014;W028;W029;W030;W031;W032;W033;W034;W035;W036;W037,W001;W006;W008;W010;W011;W012;W013;W028;W029;W030;W031;W032;W033;W034;W035;W036;W037,16,19,0.857142857143,0,0.0875,-0.0875,20,4,True,subgroup_has_invalid_person_but_control_was_all_geometry_valid; not_same_denominator
