image_id,building,condition,information,metric,mixed,pure_margin_matched,delta
7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,7y3sRwLe3Va,semi,B,same_topology_median_d,0.0555735784809,0.0525042896582,0.00345539890735
B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,B6ByNegPMKs,manual,B,same_topology_median_d,0.206713351619,0.178395445282,0.0526100187048
B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,B6ByNegPMKs,manual,S,same_topology_median_d,0.186726897694,0.26721068549,-0.0621289008121
UwV83HsGsw3_7482b1a2655e4655ae4ab58749f43f65,UwV83HsGsw3,manual,B,same_topology_median_d,0.114515628402,0.0692003476015,0.0531701231289
VFuaQ6m2Qom_5fb269a812f349b4bc2ad5dfac000b85,VFuaQ6m2Qom,manual,T,same_topology_median_d,0.0429127866977,0.061559079679,-0.0175584627663
q9vSo1VnCiC_9c9fb1fccf4e46a597a9510a1938c8b4,q9vSo1VnCiC,manual,B,same_topology_median_d,0.116633860651,0.171672575947,-0.0521817072631
q9vSo1VnCiC_a412536ff52747d3b078f66e764cf103,q9vSo1VnCiC,semi,B,same_topology_median_d,0.0281009497588,0.0211200536432,0.00699716454534
q9vSo1VnCiC_e74e843601574864a14517f990c748a0,q9vSo1VnCiC,manual,B,same_topology_median_d,0.0464994632982,0.0521701247141,-0.00520307501866
rPc6DW4iMge_fbc169773c954580baea6d2798c0d486,rPc6DW4iMge,manual,Q,same_topology_median_d,0.110867480633,0.100036946325,0.00551025579893
uNb9QFRL6hY_3b9e548b46af4410b97e1d12781ec3c9,uNb9QFRL6hY,manual,B,same_topology_median_d,0.11801892391,0.119109280176,-0.00165879761073
uNb9QFRL6hY_978d7a8eb0794936bd8fd092306e1dc5,uNb9QFRL6hY,manual,B,same_topology_median_d,0.0725015751136,0.091791363849,-0.0188109864251
uNb9QFRL6hY_a372582c11864f31a9dd174e4a0ae6ad,uNb9QFRL6hY,manual,S,same_topology_median_d,0.128904508561,0.141042681933,-0.0118192108024
uNb9QFRL6hY_a372582c11864f31a9dd174e4a0ae6ad,uNb9QFRL6hY,manual,T,same_topology_median_d,0.107770960591,0.119423948634,0.0238490352562
uNb9QFRL6hY_aed830f085ee4ad88ef6bed7f66f1359,uNb9QFRL6hY,semi,B,same_topology_median_d,0.0294118986775,0.0300859325716,-0.000636624821526
wc2JMjhGNzB_9087f0358178420a8b9ac7b17a8919c7,wc2JMjhGNzB,manual,T,same_topology_median_d,0.0297462043381,0.0385577988652,-0.011532376815
