image_id,building,condition,scene,candidate,selection_source,training_workers,actual_workers,n_subgroup,n_all,training_recovery,subgroup_stable_fraction,matched_n_untyped_stable_fraction,delta,control_draws,control_orders,not_independent_population_samples
7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,7y3sRwLe3Va,manual,开放复合空间,local_Q,training_local_recovery,W001;W006;W008;W010;W011;W012;W013;W014;W028;W029;W030;W031;W032;W033;W034;W035;W036;W037,W006;W010;W028;W030,4,5,0.857142857143,0,0.35,-0.35,20,4,True
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,manual,复合／待定,local_Q,training_local_recovery,W001;W006;W008;W010;W011;W012;W013;W014;W028;W029;W030;W031;W032;W033;W034;W035;W036;W037,W001;W006;W008;W010;W011;W012;W013;W014;W028;W029;W030;W031;W032;W033;W034;W035;W036;W037,18,24,0.857142857143,1,1,0,20,4,True
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,manual,复合／待定,local_QB,training_local_recovery,W001;W012;W029;W030;W031;W034;W035;W037,W001;W012;W029;W030;W031;W034;W035;W037,8,24,0.888888888889,1,1,0,20,4,True
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,manual,复合／待定,local_TB,training_local_recovery,W001;W002;W010;W012;W013;W017;W018;W030,W001;W002;W010;W012;W013;W017;W018;W030,8,24,0.875,1,1,0,20,4,True
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,manual,复合／待定,local_QTB,training_local_recovery,W001;W010;W012;W013;W030,W001;W010;W012;W013;W030,5,24,0.8,0.7,0.9125,-0.2125,20,4,True
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,manual,复合／待定,continuous_tail_manual__reference_error_low,training_score_quartile_not_a_global_typology,W002;W015;W017;W018;W021;W027,W002;W015;W017;W018;W021;W027,6,24,,1,0.925,0.075,20,4,True
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,manual,复合／待定,continuous_tail_manual__reference_error_high,training_score_quartile_not_a_global_typology,W012;W014;W029;W034;W035;W037,W012;W014;W029;W034;W035;W037,6,24,,1,0.9125,0.0875,20,4,True
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,manual,复合／待定,continuous_tail_manual__log_active_seconds_low,training_score_quartile_not_a_global_typology,W001;W006;W012;W013;W018;W021,W001;W006;W012;W013;W018;W021,6,24,,0.9,0.9375,-0.0375,20,4,True
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,manual,复合／待定,continuous_tail_manual__log_active_seconds_high,training_score_quartile_not_a_global_typology,W027;W029;W032;W033;W036;W037,W027;W029;W032;W033;W036;W037,6,24,,1,0.9,0.1,20,4,True
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,manual,复合／待定,continuous_tail_manual__point_count_low,training_score_quartile_not_a_global_typology,W008;W029;W030;W034;W036;W037,W008;W029;W030;W034;W036;W037,6,24,,1,0.95,0.05,20,4,True
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,manual,复合／待定,continuous_tail_manual__point_count_high,training_score_quartile_not_a_global_typology,W001;W002;W011;W017;W027;W032,W001;W002;W011;W017;W027;W032,6,24,,0.525,0.9375,-0.4125,20,4,True
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,manual,复合／待定,continuous_tail_manual__reference_band_bias_low,training_score_quartile_not_a_global_typology,W001;W012;W021;W032;W034;W035,W001;W012;W021;W032;W034;W035,6,24,,1,0.9,0.1,20,4,True
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,manual,复合／待定,continuous_tail_manual__reference_band_bias_high,training_score_quartile_not_a_global_typology,W010;W018;W028;W031;W036;W037,W010;W018;W028;W031;W036;W037,6,24,,1,0.9625,0.0375,20,4,True
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,manual,复合／待定,continuous_tail_semi__point_count_low,training_score_quartile_not_a_global_typology,W027;W028;W029;W030;W033;W034,W027;W028;W029;W030;W033;W034,6,24,,1,0.9625,0.0375,20,4,True
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,manual,复合／待定,continuous_tail_semi__point_count_high,training_score_quartile_not_a_global_typology,W006;W011;W015;W021;W032;W037,W006;W011;W015;W021;W032;W037,6,24,,1,0.9,0.1,20,4,True
7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,7y3sRwLe3Va,semi,通行与连接,local_Q,training_local_recovery,W001;W006;W008;W010;W011;W012;W013;W014;W028;W029;W030;W031;W032;W033;W034;W035;W036;W037,W001;W006;W008;W010;W011;W012;W013;W014;W028;W029;W030;W031;W032;W033;W034;W035;W036;W037,18,24,0.857142857143,0,0,0,20,4,True
7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,7y3sRwLe3Va,semi,通行与连接,local_QB,training_local_recovery,W001;W012;W029;W030;W031;W034;W035;W037,W001;W012;W029;W030;W031;W034;W035;W037,8,24,0.888888888889,0,0.05,-0.05,20,4,True
