condition,expert_tag,review_draft_grade,image_condition_units
manual,中等,medium_candidate,1
manual,中等,not_classified,9
manual,中等,simple_candidate,1
manual,困难,difficult_candidate,2
manual,困难,medium_candidate,2
manual,困难,not_classified,7
manual,简单,difficult_candidate,1
manual,简单,medium_candidate,2
manual,简单,not_classified,5
manual,简单,simple_candidate,3
semi,中等,not_classified,1
semi,中等,simple_candidate,1
semi,简单,medium_candidate,1
semi,简单,not_classified,4
semi,简单,simple_candidate,1
