source_path,snapshot_path,exists,bytes,file_count,source_kind,snapshot_cutoff_at,data_complete,completion_basis,notes,sha256
export_label\stage1_chinese\project-28-at-2026-07-01-07-14-56a198ba.json,analysis_results\prescreen_closeout_final_gold_v2_20260701\raw_inputs\project-28-at-2026-07-01-07-14-56a198ba.json,True,1547456,1,raw_label_studio_export,2026-07-01T09:39:01.875900+00:00,true,formal_prescreen_20260701_consolidated_final_gold_v2,raw Label Studio export snapshot; do not edit in closeout audit,a40ea344c04cc6259c5841f40a427cc82fa44258916dee672b4a7599d2cf8c69
export_label\stage1_chinese\project-29-at-2026-06-30-09-00-e7ea6931.json,analysis_results\prescreen_closeout_final_gold_v2_20260701\raw_inputs\project-29-at-2026-06-30-09-00-e7ea6931.json,True,1478893,1,raw_label_studio_export,2026-07-01T09:39:01.875900+00:00,true,formal_prescreen_20260701_consolidated_final_gold_v2,raw Label Studio export snapshot; do not edit in closeout audit,63b34e8adce3790c76f41f1e77302ea926dfdcbb0bc2950f6258a8d90d8ccdd1
export_label\stage1_chinese\project-30-at-2026-06-30-09-00-69d8051b.json,analysis_results\prescreen_closeout_final_gold_v2_20260701\raw_inputs\project-30-at-2026-06-30-09-00-69d8051b.json,True,474932,1,raw_label_studio_export,2026-07-01T09:39:01.875900+00:00,true,formal_prescreen_20260701_consolidated_final_gold_v2,raw Label Studio export snapshot; do not edit in closeout audit,2f274f31c2ac9dd48128593357f1d0f4cae98dfc8fc62cf77a40e7df2641c4d7
export_label\stage1_English\project-39-at-2026-06-28-05-14-65ca3316.json,analysis_results\prescreen_closeout_final_gold_v2_20260701\raw_inputs\project-39-at-2026-06-28-05-14-65ca3316.json,True,1266031,1,raw_label_studio_export,2026-07-01T09:39:01.875900+00:00,true,formal_prescreen_20260701_consolidated_final_gold_v2,raw Label Studio export snapshot; do not edit in closeout audit,f79fb49ae72195c4fbea4934f17ac6235d75da513fa8fbfc11c993ad726a84ae
export_label\stage1_English\project-40-at-2026-06-28-05-14-bb74a057.json,analysis_results\prescreen_closeout_final_gold_v2_20260701\raw_inputs\project-40-at-2026-06-28-05-14-bb74a057.json,True,1276775,1,raw_label_studio_export,2026-07-01T09:39:01.875900+00:00,true,formal_prescreen_20260701_consolidated_final_gold_v2,raw Label Studio export snapshot; do not edit in closeout audit,1ce8a32e5708aa87c11f4e9957efebccd183b60e6d12066ceee69ce87d763305
export_label\stage1_English\project-41-at-2026-06-28-05-13-8641854f.json,analysis_results\prescreen_closeout_final_gold_v2_20260701\raw_inputs\project-41-at-2026-06-28-05-13-8641854f.json,True,453267,1,raw_label_studio_export,2026-07-01T09:39:01.875900+00:00,true,formal_prescreen_20260701_consolidated_final_gold_v2,raw Label Studio export snapshot; do not edit in closeout audit,307f6e6974a836a21193af64e93e72a0a907d7193be3bff6729f386aeac12fe2
active_logs\prescreen,analysis_results\prescreen_closeout_final_gold_v2_20260701\raw_inputs\prescreen,True,9141916,60,raw_active_log_snapshot,2026-07-01T09:39:01.875900+00:00,true,formal_prescreen_20260701_consolidated_final_gold_v2,active-log directory snapshot carries aggregate sha256 over copied files,116f44bc568df7099ac14c2e6052002709ad648cee7e32922aa44e833b1b173f
export_label\groudTruth.json,analysis_results\prescreen_closeout_final_gold_v2_20260701\raw_inputs\groudTruth.json,True,3373620,1,reference_geometry_gt_snapshot,2026-07-01T09:39:01.875900+00:00,true,formal_prescreen_20260701_consolidated_final_gold_v2,read-only frozen geometry GT snapshot for synthetic/source geometry binding,39b1868da0b5b7c0f5b89689f0350148b8faf7aa19a0d42667fd633e33ba0950
analysis_results\prescreen_closeout_final_gold_v2_20260701\final_gold_records_v2_p1_closeout_corrected.jsonl,analysis_results\prescreen_closeout_final_gold_v2_20260701\raw_inputs\final_gold_records_v2_p1_closeout_corrected.jsonl,True,121490,1,reference_gold_snapshot,2026-07-01T09:39:01.875900+00:00,true,formal_prescreen_20260701_consolidated_final_gold_v2,raw/audit snapshot retained; primary eligibility decided in closeout audit layer,82dbcb1d08754476e4f2a447b70550bd297689c2c50df9f96aeb270b37f163d6
analysis_results\prescreen_closeout_final_gold_v2_20260701\prescreen_final_gold_v2_correction_audit.json,analysis_results\prescreen_closeout_final_gold_v2_20260701\raw_inputs\prescreen_final_gold_v2_correction_audit.json,True,1016,1,reference_gold_snapshot,2026-07-01T09:39:01.875900+00:00,true,formal_prescreen_20260701_consolidated_final_gold_v2,raw/audit snapshot retained; primary eligibility decided in closeout audit layer,13c5ac6b3ef96e9daa3084686e032cfea7b4f8a08aaa4fe529576740b8507af9
analysis_results\prescreen_closeout_final_gold_v2_20260701\prescreen_closeout_run_config_final_gold_v2_20260701.json,analysis_results\prescreen_closeout_final_gold_v2_20260701\raw_inputs\prescreen_closeout_run_config_final_gold_v2_20260701.json,True,7048,1,reference_gold_snapshot,2026-07-01T09:39:01.875900+00:00,true,formal_prescreen_20260701_consolidated_final_gold_v2,raw/audit snapshot retained; primary eligibility decided in closeout audit layer,fa43c0eef15537c4603ee8c34a6200826049d847a98d03b6bba31a0773d46613
analysis_results\prescreen_closeout\prescreen_worker_roster.csv,analysis_results\prescreen_closeout_final_gold_v2_20260701\raw_inputs\prescreen_worker_roster.csv,True,2687,1,audit_control_input,2026-07-01T09:39:01.875900+00:00,true,formal_prescreen_20260701_consolidated_final_gold_v2,"audit control input / fixed closeout contract, not a raw worker submission source",d25a7002b10d90c3501a2c7cc46d45fd3c54efb453244ff7e70c278ced4185e2
analysis_results\prescreen_closeout\prescreen_manual_overrides_20260701.json,analysis_results\prescreen_closeout_final_gold_v2_20260701\raw_inputs\prescreen_manual_overrides_20260701.json,True,2707,1,audit_reference_input,2026-07-01T09:39:01.875900+00:00,true,formal_prescreen_20260701_consolidated_final_gold_v2,raw/audit snapshot retained; primary eligibility decided in closeout audit layer,69ac62b8370e757af951dda2351cb6a379a41cc461dc89db3c7dc312e0140094
analysis_results\prescreen_closeout\prescreen_scope_unknown_gold_allowlist.csv,analysis_results\prescreen_closeout_final_gold_v2_20260701\raw_inputs\prescreen_scope_unknown_gold_allowlist.csv,True,26,1,audit_control_input,2026-07-01T09:39:01.875900+00:00,true,formal_prescreen_20260701_consolidated_final_gold_v2,"audit control input / fixed closeout contract, not a raw worker submission source",85c03fda0b05cc0a199500d973c09f35148ce63fb7319935ea32c965c5d615d9
analysis_results\prescreen_closeout\prescreen_synthetic_expert_review.csv,analysis_results\prescreen_closeout_final_gold_v2_20260701\raw_inputs\prescreen_synthetic_expert_review.csv,True,1377,1,audit_reference_input,2026-07-01T09:39:01.875900+00:00,true,formal_prescreen_20260701_consolidated_final_gold_v2,raw/audit snapshot retained; primary eligibility decided in closeout audit layer,86327ae603df857547dd7e12ff9cc111a775bcd59126f9471374583d77351ddb
analysis_results\prescreen_closeout\prescreen_semi_synthetic_trap_issue_review.csv,analysis_results\prescreen_closeout_final_gold_v2_20260701\raw_inputs\prescreen_semi_synthetic_trap_issue_review.csv,True,637,1,audit_reference_input,2026-07-01T09:39:01.875900+00:00,true,formal_prescreen_20260701_consolidated_final_gold_v2,raw/audit snapshot retained; primary eligibility decided in closeout audit layer,fcc16b76334897415cabc4ea850dad62a066c5ea9155c49ff930c04058ec6af7
analysis_results\prescreen_closeout\w_max_locked.json,analysis_results\prescreen_closeout_final_gold_v2_20260701\raw_inputs\w_max_locked.json,True,833,1,audit_reference_input,2026-07-01T09:39:01.875900+00:00,true,formal_prescreen_20260701_consolidated_final_gold_v2,raw/audit snapshot retained; primary eligibility decided in closeout audit layer,770a52f8c3aa7b380e3bdb66cfe00c116ccac2dba51daf32aee8eab9099122c6
analysis_results\trap_collection_freeze_20260320\semi_synthetic_disjoint_candidate_bank_v2.jsonl,analysis_results\prescreen_closeout_final_gold_v2_20260701\raw_inputs\semi_synthetic_disjoint_candidate_bank_v2.jsonl,True,67220,1,audit_reference_input,2026-07-01T09:39:01.875900+00:00,true,formal_prescreen_20260701_consolidated_final_gold_v2,raw/audit snapshot retained; primary eligibility decided in closeout audit layer,7f0d6ac3fa1deac9a35358719ca293e07e4bf5de5be5642ca6059e8ea4b5c419
analysis_results\phase1_progress_20260324\prescreen_semi_final_selection_v10.json,analysis_results\prescreen_closeout_final_gold_v2_20260701\raw_inputs\prescreen_semi_final_selection_v10.json,True,15648,1,audit_reference_input,2026-07-01T09:39:01.875900+00:00,true,formal_prescreen_20260701_consolidated_final_gold_v2,raw/audit snapshot retained; primary eligibility decided in closeout audit layer,f9b0c279e4981778c5e61464e29385e847c665dacbfc7e268f01bdd8de04920e
