annotator_id,scene,n,r_u_s,ci_low,ci_high
1,model_issue::fail,2,0.7502751350402832,0.7502751350402832,0.7502751350402832
1,scene::none,20,1.0,0.797660231590271,1.0
2,difficulty::low_texture,2,0.9681299924850464,0.9681299924850464,0.9681299924850464
2,difficulty::occlusion,14,0.9681299924850464,0.8105500936508179,1.0
2,difficulty::residual,2,0.8105500936508179,0.8105500936508179,0.8105500936508179
2,model_issue::corner_drift,6,0.9681299924850464,0.9026068449020386,1.0
2,model_issue::corner_duplicate,6,0.9026068449020386,0.8381608724594116,0.9152792096138
2,model_issue::fail,2,0.8105500936508179,0.8105500936508179,0.8105500936508179
2,model_issue::overextend_adjacent,4,0.8767200410366058,0.8381608724594116,0.9152792096138
2,scene::none,4,1.0,1.0,1.0
3,difficulty::low_texture,4,0.8083012700080872,0.7958537340164185,0.8207488059997559
3,difficulty::occlusion,12,0.943620502948761,0.7958537340164185,1.0
3,difficulty::residual,4,0.8839077651500702,0.7958537340164185,0.971961796283722
3,model_issue::corner_drift,4,0.985980898141861,0.971961796283722,1.0
3,model_issue::corner_duplicate,6,0.8381608724594116,0.8207488059997559,0.9152792096138
3,model_issue::fail,2,0.7958537340164185,0.7958537340164185,0.7958537340164185
3,model_issue::overextend_adjacent,4,0.8767200410366058,0.8381608724594116,0.9152792096138
3,scene::none,6,1.0,1.0,1.0
4,model_issue::fail,2,0.8105500936508179,0.8105500936508179,0.8105500936508179
4,scene::none,8,0.8803170919418335,0.8381608724594116,1.0
