field,level,meaning
scope,raw,原始范围标注
scope_clean,clean,标准化 scope
scope_missing,clean,scope 是否缺失
is_oos_clean,clean,是否 OOS
is_normal_clean,clean,是否 In-scope
layout_used_clean,clean,标准 layout 指标是否可计算
data_valid_for_main,mask,性能主分析样本掩码
data_valid_for_layout_3d,mask,3D 指标样本掩码
data_valid_for_reliability,mask,可靠性分析样本掩码
tag_difficulty,derived,difficulty 标签列表
tag_model_issue,derived,model_issue 标签列表
