tier,n_rows,coverage_vs_T
T_total,174,1.0
I_in_scope_main,122,0.7011494252873564
M_layout_usable,120,0.6896551724137931
gate_fail::low_coverage,2,0.011494252873563218
scope_missing,28,0.16091954022988506
annotator_id_unknown_or_missing,0,0.0
task_id_unknown_or_missing,0,0.0
