tag,n,median_active_time,median_iou,median_reliability
corner_drift,18,81.968,0.9863475031130946,0.971961796283722
corner_duplicate,18,61.912,0.8439403608516564,0.8703838586807251
overextend_adjacent,10,61.912,0.8051130063025252,0.8767200410366058
fail,8,129.4965,0.49172857794854197,0.8032019138336182
corner_mismatch,2,216.681,0.8329934895081764,0.8207488059997559
