delta_bin,n_rows,median_iou,median_boundary_rmse_px,median_active_time
<=-2,18,0.8439403608516564,3.6204268449384234,61.912
-1,6,0.9687300574345884,2.080129588748631,42.12
0,94,1.0,0.0,21.39
1,0,,,
2,2,0.885411899909876,45.91803903253873,29.42
>=3,0,,,
