image_id,building,condition,cut,k,isolated_from_all_observed,singleton_events,future_support_rate,future_support_count_mean,n_total,n_future
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,manual,0.05,3,False,4,1,13,24,21
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,manual,0.05,4,False,4,1,14,24,20
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,manual,0.05,5,False,5,1,11.2,24,19
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,manual,0.05,6,False,4,1,10,24,18
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,manual,0.05,7,False,2,1,10,24,17
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,manual,0.05,8,False,6,1,10.8333333333,24,16
7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,7y3sRwLe3Va,semi,0.05,2,True,52,0.596153846154,5.76923076923,24,22
7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,7y3sRwLe3Va,semi,0.05,3,False,2,1,1,24,21
7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,7y3sRwLe3Va,semi,0.05,3,True,59,0.559322033898,3.15254237288,24,21
7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,7y3sRwLe3Va,semi,0.05,4,False,2,1,1,24,20
7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,7y3sRwLe3Va,semi,0.05,4,True,67,0.522388059701,1.89552238806,24,20
7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,7y3sRwLe3Va,semi,0.05,5,False,2,1,7,24,19
7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,7y3sRwLe3Va,semi,0.05,5,True,78,0.461538461538,1,24,19
7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,7y3sRwLe3Va,semi,0.05,6,False,4,1,1,24,18
7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,7y3sRwLe3Va,semi,0.05,6,True,81,0.41975308642,0.765432098765,24,18
7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,7y3sRwLe3Va,semi,0.05,7,False,8,1,1,24,17
