condition,prefix_grade,full_grade,subsets,images,mean_future_coverage
manual,,,212,25,0.82300530275
manual,,difficult_candidate,120,10,0.454438997821
manual,,medium,1,1,1
manual,simple,,88,16,0.92910724896
manual,simple,medium,11,1,1
manual,simple,simple,36,3,1
semi,,,108,13,0.862654320988
semi,,difficult_candidate,12,1,0.759259259259
semi,,medium,6,1,1
semi,simple,,48,11,0.908564814815
semi,simple,medium,6,1,1
