condition,cut,k,isolated_from_all_observed,images,image_macro_future_support,median_future_people
manual,0.05,2,True,38,0.687796566153,22
manual,0.05,3,False,23,0.972826086957,21
manual,0.05,3,True,38,0.619481956717,21
manual,0.05,4,False,27,0.971043771044,20
manual,0.05,4,True,38,0.557056470731,20
manual,0.05,5,False,28,0.924888801675,19
manual,0.05,5,True,37,0.499334784608,19
manual,0.05,6,False,32,0.885643826659,18
manual,0.05,6,True,37,0.454483778028,18
manual,0.05,7,False,32,0.887101085699,17
manual,0.05,7,True,37,0.425270417592,17
manual,0.05,8,False,33,0.88496545542,16
manual,0.05,8,True,36,0.378763216129,16
manual,0.1,2,True,34,0.730091954217,22
manual,0.1,3,False,20,0.975,21
manual,0.1,3,True,33,0.545618608407,21
manual,0.1,4,False,22,0.937770562771,20
manual,0.1,4,True,34,0.484345193868,20
manual,0.1,5,False,23,0.897584541063,19
manual,0.1,5,True,34,0.454103441768,19
manual,0.1,6,False,25,0.866025641026,18
manual,0.1,6,True,33,0.408830298426,18
manual,0.1,7,False,26,0.826964433416,17
manual,0.1,7,True,32,0.372537471016,17
manual,0.1,8,False,28,0.867105110337,16
manual,0.1,8,True,32,0.346245657468,16
manual,0.2,2,True,32,0.773536385366,22
manual,0.2,3,False,6,1,21
manual,0.2,3,True,32,0.60802020844,21
manual,0.2,4,False,7,0.880952380952,20
manual,0.2,4,True,31,0.560750693304,20
manual,0.2,5,False,14,0.857142857143,19
manual,0.2,5,True,31,0.530097601261,19
manual,0.2,6,False,15,0.873333333333,18
manual,0.2,6,True,31,0.506741434834,18
manual,0.2,7,False,15,0.85444741533,17
manual,0.2,7,True,31,0.490955429493,17
manual,0.2,8,False,17,0.741978609626,16
manual,0.2,8,True,31,0.466354181418,16
semi,0.05,2,True,15,0.780748107466,22
semi,0.05,3,False,10,1,21
semi,0.05,3,True,15,0.659517435916,21
semi,0.05,4,False,10,0.985714285714,20
semi,0.05,4,True,15,0.60080612842,20
semi,0.05,5,False,11,0.866115702479,19
semi,0.05,5,True,15,0.558946949244,19
semi,0.05,6,False,11,0.870707070707,18
semi,0.05,6,True,15,0.53571563229,18
semi,0.05,7,False,12,0.788008288008,17
semi,0.05,7,True,15,0.52102847956,17
semi,0.05,8,False,12,0.771097285068,16
semi,0.05,8,True,15,0.504094349219,16
semi,0.1,2,True,13,0.800660621055,22
semi,0.1,3,False,7,1,21
semi,0.1,3,True,13,0.691612176917,21
semi,0.1,4,False,6,0.972222222222,20
semi,0.1,4,True,13,0.654821995005,20
semi,0.1,5,False,10,0.88,19
semi,0.1,5,True,12,0.589664382552,19
semi,0.1,6,False,11,0.890909090909,18
semi,0.1,6,True,13,0.604658172037,18
semi,0.1,7,False,11,0.886363636364,17
semi,0.1,7,True,12,0.55198112793,17
semi,0.1,8,False,11,0.890909090909,16
semi,0.1,8,True,12,0.540262686432,16
semi,0.2,2,True,10,0.910657051282,22
semi,0.2,3,False,3,1,21
semi,0.2,3,True,10,0.83505952381,21
semi,0.2,4,False,4,1,20
semi,0.2,4,True,10,0.830947368421,20
semi,0.2,5,False,5,1,19
semi,0.2,5,True,10,0.827294041556,19
semi,0.2,6,False,5,1,18
semi,0.2,6,True,10,0.826510446076,18
semi,0.2,7,False,5,1,17
semi,0.2,7,True,10,0.823352347521,17
semi,0.2,8,False,5,1,16
semi,0.2,8,True,10,0.816126070991,16
