design_id,n_workers,n_tasks,n_edges,n_connected_components,worker_task_graph_connected,duplicate_worker_task_count,min_bridge_task_support,max_worker_stratum_imbalance
rehearsal_a2_b2_u6,23,8,92,1,true,0,7,1
rehearsal_a3_b3_u9,23,12,138,1,true,0,4,0
rehearsal_a4_b4_u9,23,13,184,1,true,0,8,1
