design_id,worker_id,current_interval_half_width,projected_interval_half_width,ordinary_support,stress_support,common_anchor_support,bridge_support,unique_image_coverage,building_coverage,common_bridge_with_other_min
rehearsal_a2_b2_u6,1,0.98,0.43826932358995874,0,0,2,2,4,0,0
rehearsal_a2_b2_u6,10,0.98,0.43826932358995874,0,0,2,2,4,0,0
rehearsal_a2_b2_u6,11,0.98,0.43826932358995874,0,0,2,2,4,0,0
rehearsal_a2_b2_u6,12,0.98,0.43826932358995874,0,0,2,2,4,0,0
rehearsal_a2_b2_u6,13,0.98,0.43826932358995874,0,0,2,2,4,0,0
rehearsal_a2_b2_u6,14,0.98,0.43826932358995874,0,0,2,2,4,0,0
rehearsal_a2_b2_u6,15,0.98,0.43826932358995874,0,0,2,2,4,0,0
rehearsal_a2_b2_u6,17,0.98,0.43826932358995874,0,0,2,2,4,0,0
rehearsal_a2_b2_u6,18,0.98,0.43826932358995874,0,0,2,2,4,0,0
rehearsal_a2_b2_u6,2,0.98,0.43826932358995874,0,0,2,2,4,0,0
rehearsal_a2_b2_u6,27,0.98,0.43826932358995874,0,0,2,2,4,0,0
rehearsal_a2_b2_u6,28,0.98,0.43826932358995874,0,0,2,2,4,0,0
rehearsal_a2_b2_u6,29,0.98,0.43826932358995874,0,0,2,2,4,0,0
rehearsal_a2_b2_u6,30,0.98,0.43826932358995874,0,0,2,2,4,0,0
rehearsal_a2_b2_u6,31,0.98,0.43826932358995874,0,0,2,2,4,0,0
rehearsal_a2_b2_u6,32,0.98,0.43826932358995874,0,0,2,2,4,0,0
rehearsal_a2_b2_u6,33,0.98,0.43826932358995874,0,0,2,2,4,0,0
rehearsal_a2_b2_u6,34,0.98,0.43826932358995874,0,0,2,2,4,0,0
rehearsal_a2_b2_u6,35,0.98,0.43826932358995874,0,0,2,2,4,0,0
rehearsal_a2_b2_u6,36,0.98,0.43826932358995874,0,0,2,2,4,0,0
rehearsal_a2_b2_u6,37,0.98,0.43826932358995874,0,0,2,2,4,0,0
rehearsal_a2_b2_u6,6,0.98,0.43826932358995874,0,0,2,2,4,0,0
rehearsal_a2_b2_u6,8,0.98,0.43826932358995874,0,0,2,2,4,0,0
rehearsal_a3_b3_u9,1,0.98,0.37040518354904267,0,0,3,3,6,0,1
rehearsal_a3_b3_u9,10,0.98,0.37040518354904267,0,0,3,3,6,0,1
rehearsal_a3_b3_u9,11,0.98,0.37040518354904267,0,0,3,3,6,0,1
rehearsal_a3_b3_u9,12,0.98,0.37040518354904267,0,0,3,3,6,0,1
rehearsal_a3_b3_u9,13,0.98,0.37040518354904267,0,0,3,3,6,0,1
rehearsal_a3_b3_u9,14,0.98,0.37040518354904267,0,0,3,3,6,0,1
rehearsal_a3_b3_u9,15,0.98,0.37040518354904267,0,0,3,3,6,0,1
rehearsal_a3_b3_u9,17,0.98,0.37040518354904267,0,0,3,3,6,0,1
rehearsal_a3_b3_u9,18,0.98,0.37040518354904267,0,0,3,3,6,0,1
rehearsal_a3_b3_u9,2,0.98,0.37040518354904267,0,0,3,3,6,0,1
rehearsal_a3_b3_u9,27,0.98,0.37040518354904267,0,0,3,3,6,0,1
rehearsal_a3_b3_u9,28,0.98,0.37040518354904267,0,0,3,3,6,0,1
rehearsal_a3_b3_u9,29,0.98,0.37040518354904267,0,0,3,3,6,0,1
rehearsal_a3_b3_u9,30,0.98,0.37040518354904267,0,0,3,3,6,0,1
rehearsal_a3_b3_u9,31,0.98,0.37040518354904267,0,0,3,3,6,0,1
rehearsal_a3_b3_u9,32,0.98,0.37040518354904267,0,0,3,3,6,0,1
rehearsal_a3_b3_u9,33,0.98,0.37040518354904267,0,0,3,3,6,0,1
rehearsal_a3_b3_u9,34,0.98,0.37040518354904267,0,0,3,3,6,0,1
rehearsal_a3_b3_u9,35,0.98,0.37040518354904267,0,0,3,3,6,0,1
rehearsal_a3_b3_u9,36,0.98,0.37040518354904267,0,0,3,3,6,0,1
rehearsal_a3_b3_u9,37,0.98,0.37040518354904267,0,0,3,3,6,0,1
rehearsal_a3_b3_u9,6,0.98,0.37040518354904267,0,0,3,3,6,0,1
rehearsal_a3_b3_u9,8,0.98,0.37040518354904267,0,0,3,3,6,0,1
rehearsal_a4_b4_u9,1,0.98,0.32666666666666666,0,0,4,4,8,0,1
rehearsal_a4_b4_u9,10,0.98,0.32666666666666666,0,0,4,4,8,0,1
rehearsal_a4_b4_u9,11,0.98,0.32666666666666666,0,0,4,4,8,0,1
rehearsal_a4_b4_u9,12,0.98,0.32666666666666666,0,0,4,4,8,0,1
rehearsal_a4_b4_u9,13,0.98,0.32666666666666666,0,0,4,4,8,0,1
rehearsal_a4_b4_u9,14,0.98,0.32666666666666666,0,0,4,4,8,0,1
rehearsal_a4_b4_u9,15,0.98,0.32666666666666666,0,0,4,4,8,0,1
rehearsal_a4_b4_u9,17,0.98,0.32666666666666666,0,0,4,4,8,0,1
rehearsal_a4_b4_u9,18,0.98,0.32666666666666666,0,0,4,4,8,0,1
rehearsal_a4_b4_u9,2,0.98,0.32666666666666666,0,0,4,4,8,0,1
rehearsal_a4_b4_u9,27,0.98,0.32666666666666666,0,0,4,4,8,0,1
rehearsal_a4_b4_u9,28,0.98,0.32666666666666666,0,0,4,4,8,0,1
rehearsal_a4_b4_u9,29,0.98,0.32666666666666666,0,0,4,4,8,0,1
rehearsal_a4_b4_u9,30,0.98,0.32666666666666666,0,0,4,4,8,0,1
rehearsal_a4_b4_u9,31,0.98,0.32666666666666666,0,0,4,4,8,0,1
rehearsal_a4_b4_u9,32,0.98,0.32666666666666666,0,0,4,4,8,0,1
rehearsal_a4_b4_u9,33,0.98,0.32666666666666666,0,0,4,4,8,0,1
rehearsal_a4_b4_u9,34,0.98,0.32666666666666666,0,0,4,4,8,0,1
rehearsal_a4_b4_u9,35,0.98,0.32666666666666666,0,0,4,4,8,0,1
rehearsal_a4_b4_u9,36,0.98,0.32666666666666666,0,0,4,4,8,0,1
rehearsal_a4_b4_u9,37,0.98,0.32666666666666666,0,0,4,4,8,0,1
rehearsal_a4_b4_u9,6,0.98,0.32666666666666666,0,0,4,4,8,0,1
rehearsal_a4_b4_u9,8,0.98,0.32666666666666666,0,0,4,4,8,0,1
