relative_path,project_line_guess,recommended_action,reason,risk_level,safe_to_delete_now,needs_manual_review,suggested_archive_path
%SystemDrive%/ProgramData/SogouInput/conf/,unknown,delete_candidate,empty directory,low,true,false,
.agents/,unknown,delete_candidate,empty directory,low,true,false,
.DS_Store,unknown,delete_candidate,cache/OS/test-run artifact,low,true,false,
.gitignore,unknown,keep_tracked,tracked project file outside cleanup target,low,false,false,
.pytest_cache/.gitignore,unknown,delete_candidate,cache/OS/test-run artifact,low,true,false,
.pytest_cache/CACHEDIR.TAG,unknown,delete_candidate,cache/OS/test-run artifact,low,true,false,
.pytest_cache/README.md,unknown,delete_candidate,cache/OS/test-run artifact,low,true,false,
.pytest_cache/v/cache/lastfailed,unknown,delete_candidate,cache/OS/test-run artifact,low,true,false,
.pytest_cache/v/cache/nodeids,unknown,delete_candidate,cache/OS/test-run artifact,low,true,false,
.pytest_cache/v/cache/stepwise,unknown,delete_candidate,cache/OS/test-run artifact,low,true,false,
.stfolder/syncthing-folder-3b6e1c.txt,unknown,delete_candidate,untracked temporary/debug artifact,low,true,false,
.vscode/settings.json,unknown,keep_tracked,tracked project file outside cleanup target,low,false,false,
__pycache__/eval_layout.cpython-312.pyc,unknown,delete_candidate,cache/OS/test-run artifact,low,true,false,
__pycache__/test_depth.cpython-311-pytest-7.4.0.pyc,unknown,delete_candidate,cache/OS/test-run artifact,low,true,false,
__pycache__/test_depth.cpython-312-pytest-9.0.2.pyc,unknown,delete_candidate,cache/OS/test-run artifact,low,true,false,
__pycache__/test_layout.cpython-311-pytest-7.4.0.pyc,unknown,delete_candidate,cache/OS/test-run artifact,low,true,false,
__pycache__/test_layout.cpython-312-pytest-9.0.2.pyc,unknown,delete_candidate,cache/OS/test-run artifact,low,true,false,
__pycache__/test_sem.cpython-311-pytest-7.4.0.pyc,unknown,delete_candidate,cache/OS/test-run artifact,low,true,false,
__pycache__/test_sem.cpython-312-pytest-9.0.2.pyc,unknown,delete_candidate,cache/OS/test-run artifact,low,true,false,
active_logs/active_logs/active_times_2025-12-03.jsonl,unknown,keep_tracked,tracked project file outside cleanup target,low,false,false,
active_logs/active_logs/active_times_2025-12-20.jsonl,unknown,keep_tracked,tracked project file outside cleanup target,low,false,false,
active_logs/active_logs/active_times_2025-12-22.jsonl,unknown,keep_tracked,tracked project file outside cleanup target,low,false,false,
active_logs/active_logs/active_times_2026-01-15.jsonl,unknown,keep_tracked,tracked project file outside cleanup target,low,false,false,
active_logs/active_logs/active_times_2026-01-16.jsonl,unknown,keep_tracked,tracked project file outside cleanup target,low,false,false,
active_logs/active_logs/active_times_2026-01-17.jsonl,unknown,keep_tracked,tracked project file outside cleanup target,low,false,false,
active_logs/active_logs/active_times_2026-01-19.jsonl,unknown,keep_tracked,tracked project file outside cleanup target,low,false,false,
active_logs/active_logs/active_times_2026-01-20.jsonl,unknown,keep_tracked,tracked project file outside cleanup target,low,false,false,
active_logs/active_logs/active_times_2026-01-30.jsonl,unknown,keep_tracked,tracked project file outside cleanup target,low,false,false,
active_logs/active_logs/active_times_2026-02-08.jsonl,unknown,keep_tracked,tracked project file outside cleanup target,low,false,false,
active_logs/active_logs/active_times_2026-02-09.jsonl,unknown,keep_tracked,tracked project file outside cleanup target,low,false,false,
