relative_path,backup_absolute_path,size_bytes,original_sha256,backup_sha256,backup_verified,git_rm_cached_executed,local_file_still_exists,action_status,notes
active_logs/new_server/active_logs/active_times_2026-02-28.jsonl,D:/Work/HOHONET_ARCHIVE/active_logs_backup_20260630/active_logs/new_server/active_logs/active_times_2026-02-28.jsonl,46559,6c1ef4bbb721cc3dd92f5581742d754ef91ba5f8c0f82ee9c553b5e46ea5265e,6c1ef4bbb721cc3dd92f5581742d754ef91ba5f8c0f82ee9c553b5e46ea5265e,true,true,true,git_rm_cached_done,
active_logs/new_server/active_times_2026-04-20.jsonl,D:/Work/HOHONET_ARCHIVE/active_logs_backup_20260630/active_logs/new_server/active_times_2026-04-20.jsonl,53948,7bc2267e6ae1e302e5dd43b9c0e4c7848c3f5e69625606dcdee3541139164ae6,7bc2267e6ae1e302e5dd43b9c0e4c7848c3f5e69625606dcdee3541139164ae6,true,true,true,git_rm_cached_done,
active_logs/new_server/active_times_2026-04-21.jsonl,D:/Work/HOHONET_ARCHIVE/active_logs_backup_20260630/active_logs/new_server/active_times_2026-04-21.jsonl,67989,f6668fdf9993518a7b3886a4e4b395651717e3624ebd6246a01fcc0ea65de385,f6668fdf9993518a7b3886a4e4b395651717e3624ebd6246a01fcc0ea65de385,true,true,true,git_rm_cached_done,
active_logs/new_server/active_times_2026-04-22.jsonl,D:/Work/HOHONET_ARCHIVE/active_logs_backup_20260630/active_logs/new_server/active_times_2026-04-22.jsonl,29646,80f966a152b48a424c6f30ecf1e2ad6b37fa637a75ce5ac03234d6710f8f0f57,80f966a152b48a424c6f30ecf1e2ad6b37fa637a75ce5ac03234d6710f8f0f57,true,true,true,git_rm_cached_done,
active_logs/new_server/active_times_2026-04-23.jsonl,D:/Work/HOHONET_ARCHIVE/active_logs_backup_20260630/active_logs/new_server/active_times_2026-04-23.jsonl,27084,69c9aee6890722c086c6bcc3e6dd01343111ee1f46dc62be04583aa8954ea91e,69c9aee6890722c086c6bcc3e6dd01343111ee1f46dc62be04583aa8954ea91e,true,true,true,git_rm_cached_done,
active_logs/new_server/active_times_2026-04-25.jsonl,D:/Work/HOHONET_ARCHIVE/active_logs_backup_20260630/active_logs/new_server/active_times_2026-04-25.jsonl,54900,52ed5890e9cca054e06293f37b44f7f5d8cbe565f67d45d43a2f5993e52e561c,52ed5890e9cca054e06293f37b44f7f5d8cbe565f67d45d43a2f5993e52e561c,true,true,true,git_rm_cached_done,
active_logs/new_server/active_times_2026-04-26.jsonl,D:/Work/HOHONET_ARCHIVE/active_logs_backup_20260630/active_logs/new_server/active_times_2026-04-26.jsonl,27446,3ac9887ea75b937720024484b9d1ebeccbc8842a505bf81118c58c004e9f5af2,3ac9887ea75b937720024484b9d1ebeccbc8842a505bf81118c58c004e9f5af2,true,true,true,git_rm_cached_done,
active_logs/new_server/active_times_2026-04-27.jsonl,D:/Work/HOHONET_ARCHIVE/active_logs_backup_20260630/active_logs/new_server/active_times_2026-04-27.jsonl,31302,60493f01e792bcc235cb337b5ca6adfe2b6d8c4a75bd0e6d69517e8aa0d6c894,60493f01e792bcc235cb337b5ca6adfe2b6d8c4a75bd0e6d69517e8aa0d6c894,true,true,true,git_rm_cached_done,
active_logs/new_server/active_times_2026-04-28.jsonl,D:/Work/HOHONET_ARCHIVE/active_logs_backup_20260630/active_logs/new_server/active_times_2026-04-28.jsonl,47946,6cbd1315014d6c297ce20b896e9bf03bb81905940c57c90e9eb4205cf8f0558c,6cbd1315014d6c297ce20b896e9bf03bb81905940c57c90e9eb4205cf8f0558c,true,true,true,git_rm_cached_done,
active_logs/new_server/active_times_2026-04-29.jsonl,D:/Work/HOHONET_ARCHIVE/active_logs_backup_20260630/active_logs/new_server/active_times_2026-04-29.jsonl,23686,f95938a109f79ed9c4dccf3501f5ad0f407a4f444dbb835dc497d6b60e7fe502,f95938a109f79ed9c4dccf3501f5ad0f407a4f444dbb835dc497d6b60e7fe502,true,true,true,git_rm_cached_done,
