order,inner_id
1,1
2,4
3,2
4,9
5,16
6,3
7,21
8,4
9,5
10,6
11,7
12,8
13,9
14,10
15,11
16,12
17,48
18,5
19,65
20,29
21,51
22,34
23,16
24,8
25,12
26,46
27,72
28,66
29,55
30,10
31,23
32,56
33,1
