order,inner_id
1,1
2,1
3,2
4,7
5,12
6,3
7,18
8,4
9,24
10,5
11,6
12,7
13,8
14,9
15,10
16,11
17,12
18,38
19,57
20,60
21,11
22,36
23,30
24,18
25,12
26,70
27,6
28,26
29,71
30,37
31,21
32,63
33,7
