order,inner_id
1,1
2,6
3,12
4,2
5,16
6,3
7,22
8,4
9,5
10,6
11,7
12,8
13,9
14,10
15,11
16,12
17,17
18,5
19,62
20,35
21,2
22,68
23,16
24,9
25,31
26,41
27,72
28,66
29,49
30,58
31,47
32,24
33,1
