path,bytes,rows,column_count,relevance_score,worker_columns,task_columns,quality_columns,meta_columns,time_columns,geometry_columns,assignment_columns,error
analysis_results/post_block2_analysis_pack_20260817_v2/post_block2_submission_master.csv,9118672,2501,113,7,worker_id|upstream_annotator_id|gt_user_correction_status|gt_user_verification_scope,task_id|base_task_id|task_stratum|image_id|runtime_task_id|upstream_task_key|upstream_task_label|upstream_planned_task_id|planned_task_id,canonical_valid|gt_population_role|gt_provenance_class|gt_user_correction_status|gt_user_verification_scope|gt_source_artifact|gt_source_sha256|gt_provenance_version|frozen_gt_sidecar_status|upstream_parse_error|frozen_c1_gt_sidecar_status|c1_iou_to_gt|c1_gt_reference_status|c1_gt_primary_analysis_eligible|c1_gt_quality_interpretation_status|c1_gt_source_artifact|c1_gt_source_sha256,gt_user_verification_scope,upstream_active_time_key|upstream_lead_time_seconds|upstream_active_time|upstream_active_time_source|upstream_active_time_match_status|upstream_active_time_source_file|upstream_active_time_session_count|upstream_active_time_event_count|upstream_primary_active_time_eligible|upstream_sensitivity_active_time_eligible|annotation_lead_time_seconds|active_time_seconds|active_time_status|active_time_event_count|active_time_session_count|active_time_script_version|active_time_page_gate_status|active_time_store_mismatch|active_time_source_artifact|active_time_source_sha256,canonical_geometry|corners_px|n_corners|geometry_hash|geometry_source|upstream_duplicate_geometry_type|consensus_cluster_status|consensus_medoid_annotation_id|consensus_medoid_geometry_sha256|frozen_c1_cluster_status|frozen_c1_cluster_membership_json|frozen_c1_medoid_annotation_id|frozen_c1_medoid_geometry_sha256|upstream_ordered_geometry,stage|condition|exclusion_stage|upstream_formal_assignment_eligible|upstream_assignment_batch_id|c2a_assignment_manifest_sha256|c2a_block_assignment_sha256,
analysis_results/post_block2_analysis_pack_20260817_v3/post_block2_submission_master.csv,9118672,2501,113,7,worker_id|upstream_annotator_id|gt_user_correction_status|gt_user_verification_scope,task_id|base_task_id|task_stratum|image_id|runtime_task_id|upstream_task_key|upstream_task_label|upstream_planned_task_id|planned_task_id,canonical_valid|gt_population_role|gt_provenance_class|gt_user_correction_status|gt_user_verification_scope|gt_source_artifact|gt_source_sha256|gt_provenance_version|frozen_gt_sidecar_status|upstream_parse_error|frozen_c1_gt_sidecar_status|c1_iou_to_gt|c1_gt_reference_status|c1_gt_primary_analysis_eligible|c1_gt_quality_interpretation_status|c1_gt_source_artifact|c1_gt_source_sha256,gt_user_verification_scope,upstream_active_time_key|upstream_lead_time_seconds|upstream_active_time|upstream_active_time_source|upstream_active_time_match_status|upstream_active_time_source_file|upstream_active_time_session_count|upstream_active_time_event_count|upstream_primary_active_time_eligible|upstream_sensitivity_active_time_eligible|annotation_lead_time_seconds|active_time_seconds|active_time_status|active_time_event_count|active_time_session_count|active_time_script_version|active_time_page_gate_status|active_time_store_mismatch|active_time_source_artifact|active_time_source_sha256,canonical_geometry|corners_px|n_corners|geometry_hash|geometry_source|upstream_duplicate_geometry_type|consensus_cluster_status|consensus_medoid_annotation_id|consensus_medoid_geometry_sha256|frozen_c1_cluster_status|frozen_c1_cluster_membership_json|frozen_c1_medoid_annotation_id|frozen_c1_medoid_geometry_sha256|upstream_ordered_geometry,stage|condition|exclusion_stage|upstream_formal_assignment_eligible|upstream_assignment_batch_id|c2a_assignment_manifest_sha256|c2a_block_assignment_sha256,
analysis_results/post_block2_analysis_pack_20260817_v4/post_block2_submission_master.csv,9234751,2501,115,7,worker_id|upstream_annotator_id|gt_user_correction_status|gt_user_verification_scope,task_id|base_task_id|task_stratum|image_id|runtime_task_id|upstream_task_key|upstream_task_label|building_id|building_id_source|upstream_planned_task_id|planned_task_id,canonical_valid|gt_population_role|gt_provenance_class|gt_user_correction_status|gt_user_verification_scope|gt_source_artifact|gt_source_sha256|gt_provenance_version|frozen_gt_sidecar_status|upstream_parse_error|frozen_c1_gt_sidecar_status|c1_iou_to_gt|c1_gt_reference_status|c1_gt_primary_analysis_eligible|c1_gt_quality_interpretation_status|c1_gt_source_artifact|c1_gt_source_sha256,gt_user_verification_scope,upstream_active_time_key|upstream_lead_time_seconds|upstream_active_time|upstream_active_time_source|upstream_active_time_match_status|upstream_active_time_source_file|upstream_active_time_session_count|upstream_active_time_event_count|upstream_primary_active_time_eligible|upstream_sensitivity_active_time_eligible|annotation_lead_time_seconds|active_time_seconds|active_time_status|active_time_event_count|active_time_session_count|active_time_script_version|active_time_page_gate_status|active_time_store_mismatch|active_time_source_artifact|active_time_source_sha256,canonical_geometry|corners_px|n_corners|geometry_hash|geometry_source|upstream_duplicate_geometry_type|consensus_cluster_status|consensus_medoid_annotation_id|consensus_medoid_geometry_sha256|frozen_c1_cluster_status|frozen_c1_cluster_membership_json|frozen_c1_medoid_annotation_id|frozen_c1_medoid_geometry_sha256|upstream_ordered_geometry,stage|condition|exclusion_stage|upstream_formal_assignment_eligible|upstream_assignment_batch_id|c2a_assignment_manifest_sha256|c2a_block_assignment_sha256,
analysis_results/post_block2_analysis_pack_20260817_v2/post_block2_task_context_master.csv,874358,327,29,7,observed_worker_ids|gt_user_correction_status|gt_user_verification_scope,task_id|base_task_id,valid_geometry_count|owner_valid_active_time_count|gt_provenance_class|gt_user_correction_status|gt_user_verification_scope|gt_source_artifact|gt_source_sha256,gt_user_verification_scope,owner_valid_active_time_count,valid_geometry_count|consensus_cluster_status|cluster_membership_json|cluster_count|largest_cluster_support|largest_cluster_medoid_annotation_id|largest_cluster_medoid_geometry_sha256,stage|condition,
analysis_results/post_block2_analysis_pack_20260817_v3/post_block2_task_context_master.csv,874358,327,29,7,observed_worker_ids|gt_user_correction_status|gt_user_verification_scope,task_id|base_task_id,valid_geometry_count|owner_valid_active_time_count|gt_provenance_class|gt_user_correction_status|gt_user_verification_scope|gt_source_artifact|gt_source_sha256,gt_user_verification_scope,owner_valid_active_time_count,valid_geometry_count|consensus_cluster_status|cluster_membership_json|cluster_count|largest_cluster_support|largest_cluster_medoid_annotation_id|largest_cluster_medoid_geometry_sha256,stage|condition,
analysis_results/post_block2_analysis_pack_20260817_v4/post_block2_task_context_master.csv,874358,327,29,7,observed_worker_ids|gt_user_correction_status|gt_user_verification_scope,task_id|base_task_id,valid_geometry_count|owner_valid_active_time_count|gt_provenance_class|gt_user_correction_status|gt_user_verification_scope|gt_source_artifact|gt_source_sha256,gt_user_verification_scope,owner_valid_active_time_count,valid_geometry_count|consensus_cluster_status|cluster_membership_json|cluster_count|largest_cluster_support|largest_cluster_medoid_annotation_id|largest_cluster_medoid_geometry_sha256,stage|condition,
analysis_results/rerun_20260308/base_direct/quality_report_20260308.csv,139221,220,81,7,annotator_id,task_id|image_url|task_scope_n_total|task_scope_n_in_scope|task_scope_n_oos|task_scope_n_unknown|task_scope_oos_rate|task_scope_unknown_rate|task_scope_majority|task_scope_is_mixed|task_scope_has_unknown,iou|iou_manual|iou_corner|layout_2d_iou|layout_3d_iou|iou_to_consensus|iou_to_consensus_loo|iou_to_others_median|quality,scope|difficulty|model_issue|scope_filled|difficulty_filled|difficulty_has_trivial|difficulty_conflict|model_issue_required|model_issue_filled|model_issue_has_acceptable|model_issue_conflict|model_issue_missing_required|has_model_issue|model_issue_types|model_issue_primary|scope_missing|difficulty_missing|model_issue_missing|difficulty_conflict_v2|model_issue_conflict_v2|is_occlusion|task_scope_n_total|task_scope_n_in_scope|task_scope_n_oos|task_scope_n_unknown|task_scope_oos_rate|task_scope_unknown_rate|task_scope_majority|task_scope_is_mixed|task_scope_has_unknown,active_time,iou_corner|n_corners,condition|iou_manual|model_issue|model_issue_required|model_issue_filled|model_issue_has_acceptable|model_issue_conflict|model_issue_missing_required|has_model_issue|model_issue_types|model_issue_primary|model_issue_missing|model_issue_conflict_v2|has_manual_poly,
analysis_results/rerun_20260308/quality_report_formal_20260308.csv,127668,220,74,7,annotator_id,task_id|image_url|task_scope_n_total|task_scope_n_in_scope|task_scope_n_oos|task_scope_n_unknown|task_scope_oos_rate|task_scope_unknown_rate|task_scope_majority|task_scope_is_mixed|task_scope_has_unknown,iou|iou_manual|iou_corner|layout_2d_iou|layout_3d_iou|iou_to_consensus|iou_to_consensus_loo|iou_to_others_median|quality,scope|difficulty|model_issue|scope_filled|difficulty_filled|difficulty_has_trivial|difficulty_conflict|model_issue_required|model_issue_filled|model_issue_has_acceptable|model_issue_conflict|model_issue_missing_required|has_model_issue|model_issue_primary|is_occlusion|task_scope_n_total|task_scope_n_in_scope|task_scope_n_oos|task_scope_n_unknown|task_scope_oos_rate|task_scope_unknown_rate|task_scope_majority|task_scope_is_mixed|task_scope_has_unknown,active_time,iou_corner|n_corners,condition|iou_manual|model_issue|model_issue_required|model_issue_filled|model_issue_has_acceptable|model_issue_conflict|model_issue_missing_required|has_model_issue|model_issue_primary|has_manual_poly,
analysis_results/registry_20260308/annotation_registry_v1.csv,109136,189,38,7,annotator_id,task_id|base_task_id|image|task_join_status,quality_choices,scope_choices|difficulty_choices|model_issue_choices|normalized_scope|normalized_difficulty|normalized_model_issue|scope_missing|difficulty_missing|model_issue_missing,lead_time_seconds,geometry_present,runtime_condition|planned_stage|planned_condition|model_issue_choices|normalized_model_issue|model_issue_missing,
analysis_results/rerun_20260308/latest_only/quality_report_formal_20260308.csv,115188,189,74,7,annotator_id,task_id|image_url|task_scope_n_total|task_scope_n_in_scope|task_scope_n_oos|task_scope_n_unknown|task_scope_oos_rate|task_scope_unknown_rate|task_scope_majority|task_scope_is_mixed|task_scope_has_unknown,iou|iou_manual|iou_corner|layout_2d_iou|layout_3d_iou|iou_to_consensus|iou_to_consensus_loo|iou_to_others_median|quality,scope|difficulty|model_issue|scope_filled|difficulty_filled|difficulty_has_trivial|difficulty_conflict|model_issue_required|model_issue_filled|model_issue_has_acceptable|model_issue_conflict|model_issue_missing_required|has_model_issue|model_issue_primary|is_occlusion|task_scope_n_total|task_scope_n_in_scope|task_scope_n_oos|task_scope_n_unknown|task_scope_oos_rate|task_scope_unknown_rate|task_scope_majority|task_scope_is_mixed|task_scope_has_unknown,active_time,iou_corner|n_corners,condition|iou_manual|model_issue|model_issue_required|model_issue_filled|model_issue_has_acceptable|model_issue_conflict|model_issue_missing_required|has_model_issue|model_issue_primary|has_manual_poly,
