image_id,building_id,threshold,pointset_n,cluster_count,supported_m2_clusters,supported_m3_clusters,singleton_clusters,singleton_share,cluster_sizes_json
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,0.975,25,2.0,1.0,1.0,1.0,0.04,"[24, 1]"
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,0.95,25,2.0,1.0,1.0,1.0,0.04,"[24, 1]"
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,0.925,25,2.0,1.0,1.0,1.0,0.04,"[24, 1]"
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,0.9,25,2.0,1.0,1.0,1.0,0.04,"[24, 1]"
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,0.85,25,2.0,1.0,1.0,1.0,0.04,"[24, 1]"
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,0.8,25,2.0,1.0,1.0,1.0,0.04,"[24, 1]"
7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,7y3sRwLe3Va,0.975,25,13.0,3.0,2.0,10.0,0.4,"[10, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,7y3sRwLe3Va,0.95,25,10.0,3.0,2.0,7.0,0.28,"[12, 4, 2, 1, 1, 1, 1, 1, 1, 1]"
7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,7y3sRwLe3Va,0.925,25,9.0,3.0,2.0,6.0,0.24,"[13, 4, 2, 1, 1, 1, 1, 1, 1]"
7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,7y3sRwLe3Va,0.9,25,9.0,3.0,2.0,6.0,0.24,"[13, 4, 2, 1, 1, 1, 1, 1, 1]"
7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,7y3sRwLe3Va,0.85,25,8.0,4.0,2.0,4.0,0.16,"[13, 4, 2, 2, 1, 1, 1, 1]"
7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,7y3sRwLe3Va,0.8,25,8.0,4.0,2.0,4.0,0.16,"[13, 4, 2, 2, 1, 1, 1, 1]"
B6ByNegPMKs_cee80ced97274e248d4ccaa582e12624,B6ByNegPMKs,0.975,25,4.0,2.0,2.0,2.0,0.08,"[18, 5, 1, 1]"
B6ByNegPMKs_cee80ced97274e248d4ccaa582e12624,B6ByNegPMKs,0.95,25,2.0,2.0,1.0,0.0,0.0,"[23, 2]"
B6ByNegPMKs_cee80ced97274e248d4ccaa582e12624,B6ByNegPMKs,0.925,25,2.0,2.0,1.0,0.0,0.0,"[23, 2]"
B6ByNegPMKs_cee80ced97274e248d4ccaa582e12624,B6ByNegPMKs,0.9,25,2.0,2.0,1.0,0.0,0.0,"[23, 2]"
B6ByNegPMKs_cee80ced97274e248d4ccaa582e12624,B6ByNegPMKs,0.85,25,2.0,2.0,1.0,0.0,0.0,"[23, 2]"
B6ByNegPMKs_cee80ced97274e248d4ccaa582e12624,B6ByNegPMKs,0.8,25,2.0,2.0,1.0,0.0,0.0,"[23, 2]"
