config,lookahead,min_support,epsilon,rate,image_n,identified_images,not_reached_images,unknown_images,identified_onset_median,identified_onset_min,identified_onset_max,identified_onset_lt5_images,both_onset_endpoints_finite_images,finite_interval_unknown_images,endpoint_unknown_images,onset_interval_width_le2_images,guaranteed_onset_lt5_images,possible_onset_median,guaranteed_onset_median,guaranteed_onset_min,guaranteed_onset_max,mean_unknown_width
q_0.975,3,1,0.05,0.8,55,4,17,34,7.0,1.0,15.0,1,4,0,34,4,1,13.0,7.0,1.0,15.0,0.4115293483545053
q_0.975,3,1,0.1,0.8,55,5,15,35,5.0,1.0,19.0,1,5,0,35,5,1,11.0,5.0,1.0,19.0,0.4115293483545053
q_0.975,3,1,0.2,0.8,55,6,14,35,6.0,1.0,16.0,3,6,0,35,6,3,10.0,6.0,1.0,16.0,0.4115293483545053
q_0.975,3,2,0.05,0.8,55,7,10,38,17.0,7.0,19.0,0,9,2,36,8,1,13.0,17.0,2.0,19.0,0.5061586610407728
q_0.975,3,2,0.1,0.8,55,6,10,39,7.0,5.0,7.0,0,10,4,35,8,1,7.0,7.0,2.0,20.0,0.5061586610407729
q_0.975,3,2,0.2,0.8,55,0,10,45,,,,0,10,10,35,7,7,5.0,3.0,2.0,20.0,0.5061586610407728
q_0.975,3,3,0.05,0.8,55,8,10,37,17.0,7.0,19.0,0,10,2,35,9,1,12.0,17.0,3.0,19.0,0.582567735304686
q_0.975,3,3,0.1,0.8,55,9,7,39,7.0,5.0,15.0,0,12,3,36,11,1,7.0,7.0,3.0,17.0,0.5825677353046862
q_0.975,3,3,0.2,0.8,55,2,5,48,11.0,10.0,12.0,0,13,11,37,5,8,1.0,4.0,3.0,17.0,0.5825677353046862
q_0.975,5,1,0.05,0.8,55,2,21,32,8.0,1.0,15.0,1,2,0,32,2,1,11.0,8.0,1.0,15.0,0.4531910533910534
q_0.975,5,1,0.1,0.8,55,2,21,32,6.0,1.0,11.0,1,2,0,32,2,1,11.0,6.0,1.0,11.0,0.4531910533910534
q_0.975,5,1,0.2,0.8,55,2,21,32,6.0,1.0,11.0,1,2,0,32,2,1,9.5,6.0,1.0,11.0,0.4531910533910534
q_0.975,5,2,0.05,0.8,55,6,13,36,17.0,8.0,18.0,0,8,2,34,7,1,12.5,17.0,2.0,19.0,0.5472219336219336
q_0.975,5,2,0.1,0.8,55,6,10,39,7.0,5.0,8.0,0,10,4,35,9,1,8.0,7.0,2.0,20.0,0.5472219336219336
q_0.975,5,2,0.2,0.8,55,4,10,41,4.0,4.0,4.0,4,10,6,35,7,7,4.0,4.0,2.0,20.0,0.5472219336219336
q_0.975,5,3,0.05,0.8,55,7,12,36,17.0,8.0,18.0,0,9,2,34,8,1,13.0,17.0,3.0,19.0,0.6230248196248196
q_0.975,5,3,0.1,0.8,55,7,10,38,7.0,5.0,8.0,0,10,3,35,9,1,7.0,7.0,3.0,17.0,0.6230248196248196
q_0.975,5,3,0.2,0.8,55,2,7,46,11.5,10.0,13.0,0,12,10,36,5,8,1.0,4.0,3.0,17.0,0.6230248196248196
q_0.950,3,1,0.05,0.8,55,11,19,25,7.0,1.0,22.0,1,11,0,25,11,1,11.0,7.0,1.0,22.0,0.3019190093212995
q_0.950,3,1,0.1,0.8,55,11,17,27,5.0,1.0,19.0,1,13,2,25,11,1,9.0,5.0,1.0,19.0,0.30191900932129945
q_0.950,3,1,0.2,0.8,55,11,15,29,3.0,1.0,16.0,7,14,3,26,12,8,8.0,3.0,1.0,18.0,0.30191900932129945
q_0.950,3,2,0.05,0.8,55,13,16,26,7.0,7.0,22.0,0,14,1,25,14,1,13.0,7.0,2.0,22.0,0.38278616944262434
q_0.950,3,2,0.1,0.8,55,15,11,29,7.0,5.0,21.0,0,18,3,26,16,1,9.0,7.0,2.0,21.0,0.38278616944262434
q_0.950,3,2,0.2,0.8,55,4,11,40,16.5,9.0,20.0,0,18,14,26,14,12,6.0,3.0,2.0,20.0,0.38278616944262434
q_0.950,3,3,0.05,0.8,55,15,14,26,15.0,7.0,22.0,0,16,1,25,16,1,14.0,11.0,3.0,22.0,0.4553399320454017
q_0.950,3,3,0.1,0.8,55,18,7,30,7.0,5.0,22.0,0,21,3,27,19,1,8.5,7.0,3.0,22.0,0.4553399320454017
q_0.950,3,3,0.2,0.8,55,4,6,45,13.0,10.0,18.0,0,21,17,28,10,14,1.0,4.0,3.0,18.0,0.4553399320454017
q_0.950,5,1,0.05,0.8,55,4,26,25,15.5,1.0,16.0,1,4,0,25,4,1,13.0,15.5,1.0,16.0,0.32894567099567096
q_0.950,5,1,0.1,0.8,55,5,25,25,11.0,1.0,18.0,1,5,0,25,5,1,11.5,11.0,1.0,18.0,0.32894567099567096
q_0.950,5,1,0.2,0.8,55,4,23,28,10.0,1.0,16.0,1,6,2,26,5,1,11.0,13.5,1.0,20.0,0.32894567099567096
q_0.950,5,2,0.05,0.8,55,11,18,26,15.0,8.0,18.0,0,12,1,25,12,1,12.0,11.5,2.0,18.0,0.41198311688311695
q_0.950,5,2,0.1,0.8,55,13,14,28,5.0,5.0,18.0,0,16,3,25,15,1,9.0,6.0,2.0,18.0,0.4119831168831169
q_0.950,5,2,0.2,0.8,55,9,12,34,4.0,4.0,20.0,5,18,9,25,15,12,6.0,4.0,2.0,20.0,0.4119831168831169
