k,stable_lower,stable_upper,building_id,image_n,common_k_max
1,0.0,1.0,uNb9QFRL6hY,12,18
2,0.1679166666666667,0.7487499999999999,uNb9QFRL6hY,12,18
3,0.14791666666666667,0.5058333333333334,uNb9QFRL6hY,12,18
4,0.1391666666666667,0.38916666666666666,uNb9QFRL6hY,12,18
5,0.22875,0.42333333333333334,uNb9QFRL6hY,12,18
6,0.24666666666666667,0.4275,uNb9QFRL6hY,12,18
7,0.26916666666666667,0.45416666666666666,uNb9QFRL6hY,12,18
8,0.3308333333333333,0.52625,uNb9QFRL6hY,12,18
9,0.3491666666666667,0.5541666666666667,uNb9QFRL6hY,12,18
10,0.38666666666666666,0.61125,uNb9QFRL6hY,12,18
11,0.3879166666666667,0.6204166666666667,uNb9QFRL6hY,12,18
12,0.39458333333333334,0.6383333333333333,uNb9QFRL6hY,12,18
13,0.39875,0.6579166666666667,uNb9QFRL6hY,12,18
14,0.42208333333333337,0.69625,uNb9QFRL6hY,12,18
15,0.45208333333333334,0.7362500000000001,uNb9QFRL6hY,12,18
16,0.4683333333333333,0.7633333333333333,uNb9QFRL6hY,12,18
17,0.47291666666666665,0.78375,uNb9QFRL6hY,12,18
18,0.48708333333333337,0.8133333333333334,uNb9QFRL6hY,12,18
1,0.0,1.0,yqstnuAEVhm,7,18
2,0.21642857142857141,0.7757142857142857,yqstnuAEVhm,7,18
3,0.20428571428571426,0.562142857142857,yqstnuAEVhm,7,18
4,0.19642857142857142,0.4628571428571429,yqstnuAEVhm,7,18
5,0.26785714285714285,0.4957142857142857,yqstnuAEVhm,7,18
6,0.27999999999999997,0.5028571428571429,yqstnuAEVhm,7,18
7,0.28285714285714286,0.5128571428571428,yqstnuAEVhm,7,18
8,0.3085714285714286,0.5485714285714286,yqstnuAEVhm,7,18
9,0.31857142857142856,0.5735714285714285,yqstnuAEVhm,7,18
10,0.34142857142857147,0.6121428571428572,yqstnuAEVhm,7,18
11,0.33714285714285713,0.63,yqstnuAEVhm,7,18
12,0.375,0.6892857142857143,yqstnuAEVhm,7,18
13,0.36,0.6971428571428572,yqstnuAEVhm,7,18
14,0.37928571428571434,0.725,yqstnuAEVhm,7,18
15,0.39142857142857146,0.7528571428571428,yqstnuAEVhm,7,18
16,0.3771428571428571,0.7621428571428571,yqstnuAEVhm,7,18
17,0.4007142857142857,0.7935714285714285,yqstnuAEVhm,7,18
