threshold,image_n,pointset_n,q_valid_n,q_invalid_n,complete_geometry_images,full_unique_images,full_nonunique_images,full_truncated_images,geometry_unknown_images,unique_q_subset_images,accepted_pair_n
0.975,55,1337,1311,26,34,23,11,0,21,38,7193
0.95,55,1337,1311,26,34,30,4,0,21,50,8033
0.925,55,1337,1311,26,34,31,3,0,21,48,8490
0.9,55,1337,1311,26,34,33,1,0,21,51,8702
0.85,55,1337,1311,26,34,34,0,0,21,54,8896
0.8,55,1337,1311,26,34,34,0,0,21,54,8982
