feature,n_images,n_buildings,rps_mean,brier_mean,accuracy,balanced_accuracy,macro_f1,building_macro_rps,simple_recall,medium_recall,hard_recall,simple_n,medium_n,hard_n,n_components,component_macro_rps
dinov3__block12__panorama_mean__nn1,54,8,0.0185184629648,0.0740738518583,0.962962962963,0.82183908046,0.870302437434,0.0159721833352,1,0.965517241379,0.5,23,29,2,9,0.0190475650812
dinov3__block3__panorama_mean__nn1,54,8,0.0462961666686,0.185184629637,0.907407407407,0.78135932034,0.78286252354,0.0534720833353,0.913043478261,0.931034482759,0.5,23,29,2,9,0.0523808095258
dinov3__cls__panorama__nn1,54,8,0.0185184629648,0.0740738518583,0.962962962963,0.82183908046,0.870302437434,0.0159721833352,1,0.965517241379,0.5,23,29,2,9,0.0190475650812
feedback__point_counts__fixed_ridge,54,8,0.0327289038487,0.130915636476,0.888888888889,0.925037481259,0.922619047619,0.0333084845929,0.913043478261,0.862068965517,1,23,29,2,9,0.0354503199825
same_room_frequency,54,8,0.0510225318478,0.195382185875,0.851851851852,0.591704147926,0.579022988506,0.0594389272713,0.913043478261,0.862068965517,0,23,29,2,9,0.0587795019203
